あいしゅう	a̠iɕɨᵝː
あいせき	a̠ise̞kʲi
あおうなばら	a̠o̞ɯ̟ᵝna̠ba̠ɾa̠
あおもの	a̠o̞mo̞no̞
あからめる	a̠ka̠ɾa̠me̞ɾɯ̟ᵝ
あきさめ	a̠kʲisa̠me̞
あきはばら	a̠kʲiha̠ba̠ɾa̠
あさひ	a̠sa̠çi̥
あしたれぼし	a̠ɕita̠ɾe̞bo̞ɕi
あじみ	a̠ʑimʲi
あっせい	a̠sːe̞ː
あつくるしい	a̠t͡sɨᵝkɯ̟ᵝɾɯ̟ᵝɕiː
あなうさぎ	a̠na̠ɯ̟ᵝsa̠ɡʲi
あまねく	a̠ma̠ne̞kɯ̟ᵝ
あらし	a̠ɾa̠ɕi
あらぬ	a̠ɾa̠nɯ̟ᵝ
ありがと	a̠ɾʲiɡa̠to̞
あわれむ	a̠ɰᵝa̠ɾe̞mɯ̟ᵝ
あんていざい	ã̠nte̞ːza̠i
いえじ	ie̞ʑi
いきごむ	ikʲiɡo̞mɯ̟ᵝ
いしむかで	iɕimɯ̟ᵝka̠de̞
いせいじん	ise̞ːʑĩɴ
いちい	it͡ɕii
いちじくか	it͡ɕiʑikɯ̟ᵝka̠
いちやく	it͡ɕija̠kɯ̟ᵝ
いっぴょう	ip̚ʲpʲo̞ː
いぬがみ	inɯ̟ᵝɡa̠mʲi
いぬつげ	inɯ̟ᵝt͡sɨᵝɡe̞
いばしょ	iba̠ɕo̞
いばら	iba̠ɾa̠
いみん	imʲĩɴ
いろあせる	iɾo̞a̠se̞ɾɯ̟ᵝ
いろむじ	iɾo̞mɯ̟ᵝʑi
いわう	iɰᵝa̠ɯ̟ᵝ
いんきゃ	ĩŋʲkʲa̠
いんきょくせんかん	ĩŋʲkʲo̞kɯ̟̊ᵝsẽ̞ŋkã̠ɴ
うえる	ɯ̟ᵝe̞ɾɯ̟ᵝ
うきゅう	ɯ̟ᵝkʲɨᵝː
うけもつ	ɯ̟ᵝke̞mo̞t͡sɨᵝ
うせる	ɯ̟ᵝse̞ɾɯ̟ᵝ
うちぜい	ɯ̟ᵝt͡ɕize̞ː
うちわ	ɯ̟ᵝt͡ɕiɰᵝa̠
うで	ɯ̟ᵝde̞
うどのき	ɯ̟ᵝdo̞no̞kʲi
うなばら	ɯ̟ᵝna̠ba̠ɾa̠
うなる	ɯ̟ᵝna̠ɾɯ̟ᵝ
うまれかわる	ɯ̟ᵝma̠ɾe̞ka̠ɰᵝa̠ɾɯ̟ᵝ
うわる	ɯ̟ᵝɰᵝa̠ɾɯ̟ᵝ
えいしゃ	e̞ːɕa̠
えつ	e̞t͡sɨᵝ
おいこむ	o̞iko̞mɯ̟ᵝ
おいつく	o̞it͡sɨᵝkɯ̟ᵝ
おうけ	o̞ːke̞
おおおおじおじ	oːoːod͡ʑiod͡ʑi
おおかみざ	o̞ːka̠mʲiza̠
おおざっぱ	o̞ːza̠p̚pa̠
おおめ	o̞ːme̞
おちつく	o̞t͡ɕit͡sɨᵝkɯ̟ᵝ
おっさん	o̞sːã̠ɴ
おつかれ	o̞t͡sɨᵝka̠ɾe̞
おとす	o̞to̞sɨᵝ
おとひめ	o̞to̞çime̞
おとる	o̞to̞ɾɯ̟ᵝ
おね	o̞ne̞
おねえさん	o̞ne̞ːsã̠ɴ
おも	a̠ɾɯ̟ᵝʑi
おもいまどう	o̞mo̞ima̠do̞ː
おもう	o̞mo̞ɯ̟ᵝ
おやじ	o̞ja̠ʑi
おんいん	õ̞ɰ̃ĩɴ
かいおん	ka̠iõ̞ɴ
かいかく	ka̠ika̠kɯ̟ᵝ
かいがんせん	ka̠iɡã̠ɰ̃sẽ̞ɴ
かいし	ka̠iɕi
かいじ	ka̠iʑi
かいせい	ka̠ise̞ː
かいてんずし	ka̠itẽ̞nd͡zɨᵝɕi
かいへん	ka̠ihẽ̞ɴ
かがくてき	ka̠ɡa̠kɯ̟̊ᵝte̞kʲi
かきゅうてき	ka̠kʲɨᵝːte̞kʲi
かぎっこ	ka̠ɡʲik̚ko̞
かくしょうたい	ka̠kɯ̟ᵝɕo̞ːta̠i
かくひつ	kakuçitsu
かざんがん	ka̠zã̠ŋɡã̠ɴ
かたくむじょう	ka̠ta̠kɯ̟ᵝmɯ̟ᵝʑo̞ː
かつひろ	ka̠t͡sɨᵝçiɾo̞
かつま	ka̠t͡sɨᵝma̠
かと	ka̠to̞
かなしばり	ka̠na̠ɕiba̠ɾʲi
かぶせる	ka̠bɯ̟ᵝse̞ɾɯ̟ᵝ
かようび	ka̠jo̞ːbʲi
かれる	ka̠ɾe̞ɾɯ̟ᵝ
かろうし	ka̠ɾo̞ːɕi
かわき	ka̠ɰᵝa̠kʲi
かわせみ	ka̠ɰᵝa̠se̞mʲi
かんけつ	kã̠ŋke̞t͡sɨᵝ
かんばしい	kã̠mba̠ɕii
かんり	kã̠nɾʲi
かんろ	kã̠nɾo̞
がくしゃ	ɡa̠kɯ̟ᵝɕa̠
がらんどう	ɡa̠ɾã̠ndo̞ː
きぐう	kʲiɡɯ̟ᵝː
きざし	kʲiza̠ɕi
きざむ	kʲiza̠mɯ̟ᵝ
きずいせん	kʲizɨᵝisẽ̞ɴ
きてい	kʲite̞ː
きてん	kʲitẽ̞ɴ
きぼう	kʲibo̞ː
きゅうけつき	kʲɨᵝːke̞t͡sɨ̥ᵝkʲi
きょうけんびょう	kʲo̞ːkẽ̞mbʲo̞ː
きょうだい	kʲo̞ːda̠i
きょうはくじょう	kʲo̞ːha̠kɯ̟ᵝʑo̞ː
きょうりょく	kʲo̞ːɾʲo̞kɯ̟ᵝ
きよ	kʲijo̞
きんせん	kʲĩɰ̃sẽ̞ɴ
きんてい	kʲĩnte̞ː
きんぱつ	kʲĩmpa̠t͡sɨᵝ
きんぴん	kʲĩmpʲĩɴ
ぎそく	ɡʲiso̞kɯ̟ᵝ
ぎったんばっこん	ɡʲit̚tã̠mba̠k̚kõ̞ɴ
ぎもんふ	ɡʲimõ̞ɰ̃ɸɯ̟ᵝ
ぎんかん	ɡʲĩŋkã̠ɴ
ぎんざめ	ɡʲĩnd͡za̠me̞
くうき	kɯ̟ᵝːkʲi
くうどう	kɯ̟ᵝːdo̞ː
くぎゅ	kɯ̟ᵝɡʲɨᵝ
くずしじ	kɯ̟ᵝzɨᵝɕiʑi
くちぶえ	kɯ̟ᵝt͡ɕibɯ̟ᵝe̞
くちぶり	kɯ̟ᵝt͡ɕibɯ̟ᵝɾʲi
くちよせ	kɯ̟ᵝt͡ɕijo̞se̞
くび	kɯ̟ᵝbʲi
くむ	kɯ̟ᵝmɯ̟ᵝ
くもん	kɯ̟ᵝmõ̞ɴ
くりかえし	kɯ̟ᵝɾʲika̠e̞ɕi
くるみわり	kɯ̟ᵝɾɯ̟ᵝmʲiɰᵝa̠ɾʲi
くろい	kɯ̟ᵝɾo̞i
くんどく	kɯ̟̃ᵝndo̞kɯ̟ᵝ
ぐうぞうすうはい	ɡɯ̟ᵝːzo̞ːsɨᵝːha̠i
ぐうているい	ɡɯ̟ᵝːte̞ːɾɯ̟ᵝi
ぐれん	ɡɯ̟ᵝɾẽ̞ɴ
けびいし	ke̞bʲiːɕi
けんさつ	kẽ̞ɰ̃sa̠t͡sɨᵝ
けんどう	kẽ̞ndo̞ː
げんし	ɡẽ̞ɰ̃ɕi
げんしょう	ɡẽ̞ɰ̃ɕo̞ː
げんそう	ɡẽ̞ɰ̃so̞ː
げんちご	ɡẽ̞ɲ̟t͡ɕiɡo̞
こうせつ	ko̞ːse̞t͡sɨᵝ
こうつうきかん	ko̞ːt͡sɨᵝːkʲikã̠ɴ
こうつごう	ko̞ːt͡sɨᵝɡo̞ː
こうていてき	ko̞ːte̞ːte̞kʲi
こくがん	ko̞kɯ̟ᵝɡã̠ɴ
こげる	ko̞ɡe̞ɾɯ̟ᵝ
こたま	ko̞da̠ma̠
こだいさんき	ko̞da̠isã̠ŋʲkʲi
こっきん	ko̞k̚ʲkʲĩɴ
こと	ko̞to̞
ことがら	ko̞to̞ɡa̠ɾa̠
ことわざ	ko̞to̞ɰᵝa̠za̠
こぼく	ko̞bo̞kɯ̟ᵝ
こぼね	ko̞bo̞ne̞
こんざい	kõ̞nd͡za̠i
ごうご	ɡo̞ːɡo̞
ごげん	ɡo̞ɡẽ̞ɴ
ごげんがく	ɡo̞ɡẽ̞ŋɡa̠kɯ̟ᵝ
ごしきひわ	ɡo̞ɕikʲiçiɰᵝa̠
ごぜん	ɡo̞zẽ̞ɴ
さいしゅうびん	sa̠iɕɨᵝːbʲĩɴ
さいでん	sa̠idẽ̞ɴ
さかえる	sa̠ka̠e̞ɾɯ̟ᵝ
さかさ	sa̠ka̠sa̠
さぎちょう	sa̠ɡʲit͡ɕo̞ː
さげもの	sa̠ɡe̞mo̞no̞
させん	sa̠sẽ̞ɴ
さつえい	sa̠t͡sɨᵝe̞ː
さようなら	sa̠jo̞ːna̠ɾa̠
さらいげつ	sa̠ɾa̠iɡe̞t͡sɨᵝ
さんえつ	sã̠ɰ̃e̞t͡sɨᵝ
さんがつ	sã̠ŋɡa̠t͡sɨᵝ
さんだつ	sã̠nda̠t͡sɨᵝ
ざつがく	d͡za̠t͡sɨᵝɡa̠kɯ̟ᵝ
ざら	d͡za̠ɾa̠
ざんねんかい	d͡zã̠nːẽ̞ŋka̠i
