აბო	ɑbɔ
აბსოლუტურად	ɑbsɔlutʼurɑd
აგრესიულად	ɑɡrɛsiulɑd
აგრესიული	ɑɡrɛsiuli
ადვილი	ɑdvili
ავაზა	ɑvɑzɑ
ავანპოსტი	ɑvɑnpʼɔstʼɪ
ავრცელებს	ɑvrtsɛlɛbs
აზრიანად	ɑzrɪɑnɑd
აისბერგი	ɑɪsbɛrɡɪ
ამაზე	ɑmɑzɛ
ამზადებს	ɑmzɑdɛbs
ამოცანა	ɑmɔtsɑnɑ
ამოცნობა	ɑmɔtsnɔbɑ
არანაირი	ɑrɑnɑiri
არაოფიციალური	ɑrɑɔpʰitsiɑluri
არაფორმალური	ɑrɑpʰɔrmɑlurɪ
არგენტინის	ɑrɡɛntʼɪnɪs
არნახული	ɑrnɑχulɪ
აროდეს	ɑrɔdɛs
არქეოლოგიური	ɑrkʰɛɔlɔɡɪurɪ
ასანთი	ɑsɑntʰɪ
ასე	ɑsɛ
ასი	ɑsi
აფრიკული	ɑpʰrɪkʼulɪ
აქედან	ɑkʰɛdɑn
აქსიომური	ɑkʰsɪɔmurɪ
აჯანყება	ɑdʒɑnqʼɛbɑ
ბაგრატიონი	bɑɡrɑtʼiɔni
ბაზა	bɑzɑ
ბათუმი	bɑtʰumi
ბალი	bɑli
ბარგი	bɑrɡɪ
ბიოლოგიის	bɪɔlɔɡɪɪs
ბიჭუნა	bitʃʼunɑ
ბოთლი	bɔtʰli
ბორცვი	bɔrtsvi
ბრალდება	brɑldɛbɑ
ბრალეულობა	brɑlɛulɔbɑ
ბრალი	brɑli
ბრძნულად	brdznulɑd
ბრძოლას	brdzɔlɑs
ბურთი	burtʰi
გადასახადი	ɡɑdɑsɑxɑdi
გადახდა	ɡɑdɑxdɑ
გაკოტრებული	ɡɑkʼɔtʼrɛbulɪ
გალობა	ɡɑlɔbɑ
გამომდინარე	ɡɑmɔmdinɑrɛ
გამორჩეული	ɡɑmɔrtʃɛuli
გამოსახულება	ɡɑmɔsɑχulɛbɑ
გამოჩენილი	ɡɑmɔtʃɛnili
გამძლე	ɡɑmdzlɛ
გამჭვირვალედ	ɡɑmtʃʼvɪrvɑlɛd
განსხვავებულად	ɡɑnsχvɑvɛbulɑd
გასაჭირი	ɡɑsɑtʃʼiri
გასული	ɡɑsuli
გასწვრივ	ɡɑstsʼvriv
გაცილებით	ɡɑtsɪlɛbɪtʰ
გერმანია	ɡɛrmɑniɑ
გერმანიის	ɡɛrmɑnɪɪs
გვერდითი	ɡvɛrditʰi
გვიან	ɡvɪɑn
გვქონდა	ɡvkʰɔndɑ
გინდა	ɡɪndɑ
გმირობა	ɡmirɔbɑ
გოლიათი	ɡɔlɪɑtʰɪ
გონივრულად	ɡɔnɪvrulɑd
გულგრილი	ɡulɡrili
გულითადი	ɡulitʰɑdi
გუნდი	ɡundɪ
გურიამ	ɡurɪɑm
გურიას	ɡurɪɑs
დავა	dɑvɑ
დაკავშირებული	dɑkʼɑvʃɪrɛbulɪ
დამარცხებული	dɑmɑrtsχɛbulɪ
დამაჯერებელი	dɑmɑdʒɛrɛbɛlɪ
დარწმუნებული	dɑrtsʼmunɛbulɪ
დასავლური	dɑsɑvlurɪ
დასვენება	dɑsvɛnɛbɑ
დაუშვებელი	dɑuʃvɛbɛlɪ
დაფიქრებული	dɑpʰɪkʰrɛbulɪ
დაცვით	dɑtsvɪtʰ
დაცული	dɑtsuli
დახმარებას	dɑχmɑrɛbɑs
დგას	dɡɑs
დემოგრაფიული	dɛmɔɡrɑpʰɪulɪ
დეფიციტი	dɛpʰɪtsɪtʼɪ
დიდი	didi
დიდხანს	dɪdχɑns
დიზელი	dɪzɛlɪ
დინამიკა	dɪnɑmɪkʼɑ
დისკომფორტი	dɪskʼɔmpʰɔrtʼɪ
დომხალი	dɔmxɑli
დროდადრო	drɔdɑdrɔ
დროებით	drɔɛbitʰ
დროზე	drɔzɛ
დროით	drɔɪtʰ
დღევანდელი	dɣɛvɑndɛli
ეგენი	ɛɡɛni
ეზო	ɛzɔ
ეთნიკურად	ɛtʰnikʼurɑd
ეკვივალენტი	ɛkʼvɪvɑlɛntʼɪ
ეკონომიკის	ɛkʼɔnɔmɪkʼɪs
ეპიცენტრი	ɛpʼɪtsɛntʼrɪ
ერაყი	ɛrɑqʼi
ერთგულება	ɛrtʰɡulɛbɑ
ესპანეთის	ɛspʼɑnɛtʰɪs
ეფექტურობა	ɛpʰɛkʰtʼurɔbɑ
ექიმი	ɛkʰimi
ექსპედიცია	ɛkʰspʼɛditsiɑ
ვაკანსია	vɑkʼɑnsɪɑ
ვალუტა	vɑlutʼɑ
ვაჟა	vɑʒɑ
ვაჟკაცური	vɑʒkʼɑtsuri
ვარსკვლავი	vɑrskʼvlɑvi
ვეება	vɛɛbɑ
ვერდიქტი	vɛrdɪkʰtʼɪ
ვინმე	vinmɛ
ვირტუოზი	virtʼuɔzi
ვიცი	vɪtsɪ
ვრცლად	vrtslɑd
ზედაპირული	zɛdɑpʼɪrulɪ
ზომიერება	zɔmɪɛrɛbɑ
ზონა	zɔnɑ
ზრდის	zrdis
ზღვა	zɣvɑ
თავდაცვითი	tʰɑvdɑtsvɪtʰɪ
თაიგული	tʰɑɪɡulɪ
თამასა	tʰɑmɑsɑ
თანაც	tʰɑnɑts
თანდათან	tʰɑndɑtʰɑn
თანხა	tʰɑnχɑ
თაობა	tʰɑɔbɑ
თაღლითური	tʰɑʁlɪtʰurɪ
თაყაიშვილი	tʰɑqʼɑiʃvili
თეთრი	tʰɛtʰri
თვისება	tʰvisɛbɑ
თქმა	tʰkʰmɑ
თხილი	tʰxili
ია	iɑ
იგი	iɡi
იდეალურად	ɪdɛɑlurɑd
იდენტური	idɛntʼuri
ილუზიონისტი	ɪluzɪɔnɪstʼɪ
ინვენტარი	invɛntʼɑri
ინსტრუმენტი	instʼrumɛntʼi
ინტონაცია	ɪntʼɔnɑtsɪɑ
ინფანტილიზმი	ɪnpʰɑntʼɪlɪzmɪ
ინფორმატორი	ɪnpʰɔrmɑtʼɔrɪ
ისტერიული	istʼɛriuli
იქით	ɪkʰɪtʰ
იხვი	ixvi
კავკასია	kʼɑvkʼɑsiɑ
კავკასიის	kʼɑvkʼɑsɪɪs
კალათა	kʼɑlɑtʰɑ
კანაფი	kʼɑnɑpʰɪ
კანონიერი	kʼɑnɔniɛri
კანონმდებელი	kʼɑnɔnmdɛbɛlɪ
კატასტროფული	kʼɑtʼɑstʼrɔpʰulɪ
კაცო	kʼɑtsɔ
კედელი	kʼɛdɛli
კედლები	kʼɛdlɛbi
კეთილშობილი	kʼɛtʰilʃɔbili
კენჭისყრა	kʼɛntʃʼisqʼrɑ
კერი	kʼɛrɪ
კვადრატული	kʼvɑdrɑtʼulɪ
კმ	kʼm
კოზირი	kʼɔzɪrɪ
კოლონიური	kʼɔlɔnɪurɪ
კომენტარი	kʼɔmɛntʼɑrɪ
კომპეტენტური	kʼɔmpʼɛtʼɛntʼurɪ
კონსტანტინე	kʼɔnstʼɑntʼinɛ
კორეა	kʼɔrɛɑ
კორპორაციული	kʼɔrpʼɔrɑtsɪulɪ
კრიტიკოსი	kʼrɪtʼɪkʼɔsɪ
ლაურეატი	lɑurɛɑtʼɪ
ლიანა	lɪɑnɑ
ლიბერალი	lɪbɛrɑlɪ
ლიდერი	lidɛri
ლიცეუმი	lɪtsɛumɪ
ლოგარითმი	lɔɡɑrɪtʰmɪ
ლოგიკური	lɔɡikʼuri
ლუკმა	lukʼmɑ
მადლობელი	mɑdlɔbɛlɪ
მაია	mɑiɑ
მამაჩემს	mɑmɑtʃɛms
მარათონი	mɑrɑtʰɔnɪ
მართალი	mɑrtʰɑli
მართვა	mɑrtʰvɑ
მართლმადიდებლობა	mɑrtʰlmɑdidɛblɔbɑ
მარცხი	mɑrtsχɪ
მაქსიმუმ	mɑkʰsɪmum
მაშასადამე	mɑʃɑsɑdɑmɛ
მაჭარი	mɑtʃʼɑri
მგონია	mɡɔniɑ
მდგომი	mdɡɔmi
მდიდარი	mdidɑri
მდუმარე	mdumɑrɛ
მეგობარი	mɛɡɔbɑri
მედდა	mɛddɑ
მეორადი	mɛɔrɑdɪ
მერაბიშვილი	mɛrɑbiʃvili
მეტეორული	mɛtʼɛɔrulɪ
მეუღლე	mɛuɣlɛ
მეფის	mɛpʰɪs
მეწარმე	mɛtsʼɑrmɛ
მეწყერი	mɛtsʼqʼɛrɪ
მზადყოფნა	mzɑdqʼɔpʰnɑ
მითითებული	mɪtʰɪtʰɛbulɪ
მიტევება	mɪtʼɛvɛbɑ
მიუხედავად	mɪuχɛdɑvɑd
მკვდარი	mkʼvdɑri
მკვეთრად	mkʼvɛtʰrɑd
მოძრაობა	mɔdzrɑɔbɑ
მრავალმხრივი	mrɑvɑlmχrɪvɪ
მსოფლიო	msɔpʰliɔ
მსუყე	msuqʼɛ
მუზა	muzɑ
მური	murɪ
მუქი	mukʰi
მუხრუჭი	muxrutʃʼi
მცდარად	mtsdɑrɑd
მცხეთა	mtsxɛtʰɑ
მძაფრი	mdzɑpʰri
მძევალი	mdzɛvɑlɪ
მწვერვალი	mtsʼvɛrvɑlɪ
მხატვრული	mxɑtʼvruli
მხცოვანი	mχtsɔvɑnɪ
ნათელი	nɑtʰɛli
ნათლობა	nɑtʰlɔbɑ
ნაურუ	nɑuru
ნაწილი	nɑtsʼili
ნებართვა	nɛbɑrtʰvɑ
ნოე	nɔɛ
ნორმატიული	nɔrmɑtʼɪulɪ
ობიექტურად	ɔbɪɛkʰtʼurɑd
ოკუპაცია	ɔkʼupʼɑtsiɑ
ომი	ɔmi
ოპერატიული	ɔpʼɛrɑtʼɪulɪ
ოპტიმალური	ɔpʼtʼɪmɑlurɪ
ორგანიზაცია	ɔrɡɑnɪzɑtsɪɑ
ორმაგი	ɔrmɑɡi
ორპარტიული	ɔrpʼɑrtʼɪulɪ
ორსული	ɔrsuli
ორჯერ	ɔrdʒɛr
ოფისი	ɔpʰɪsɪ
ოქრო	ɔkʰrɔ
ოქტომბერი	ɔkʰtʼɔmbɛri
პაკეტი	pʼɑkʼɛtʼi
პარალელი	pʼɑrɑlɛlɪ
პარიზი	pʼɑrizi
პარტნიორი	pʼɑrtʼniɔri
პატივსაცემი	pʼɑtʼɪvsɑtsɛmɪ
პატრიარქი	pʼɑtʼriɑrkʰi
პერიოდი	pʼɛrɪɔdɪ
პერიოდულად	pʼɛrɪɔdulɑd
პიკანტური	pʼikʼɑntʼuri
პირი	pʼiri
პირმა	pʼɪrmɑ
პლურალიზმი	pʼlurɑlɪzmɪ
პონტი	pʼɔntʼɪ
პორტი	pʼɔrtʼɪ
პოსტი	pʼɔstʼɪ
პრემია	pʼrɛmɪɑ
პრემიამ	pʼrɛmɪɑm
პრემიას	pʼrɛmɪɑs
პრივილეგია	pʼrɪvɪlɛɡɪɑ
პრინციპი	pʼrɪntsɪpʼɪ
პრინციპული	pʼrɪntsɪpʼulɪ
პროკურორი	pʼrɔkʼurɔrɪ
პუბლიკაცია	pʼublɪkʼɑtsɪɑ
რადიკალურად	rɑdɪkʼɑlurɑd
რადიო	rɑdɪɔ
რას	rɑs
რაუნდი	rɑundɪ
რეალური	rɛɑluri
რეგისტრაცია	rɛɡɪstʼrɑtsɪɑ
რეგულარული	rɛɡulɑrulɪ
რეზო	rɛzɔ
რეპერტუარი	rɛpʼɛrtʼuɑrɪ
რო	rɔ
რომანი	rɔmɑnɪ
რომაული	rɔmɑulɪ
რომელი	rɔmɛli
საბავშვო	sɑbɑvʃvɔ
საექსპორტო	sɑɛkʰspʼɔrtʼɔ
სავსე	sɑvsɛ
სათანადო	sɑtʰɑnɑdɔ
სათვალე	sɑtʰvɑlɛ
საიდუმლო	sɑɪdumlɔ
სამი	sɑmi
სამუშაო	sɑmuʃɑɔ
სამღვდელოება	sɑmʁvdɛlɔɛbɑ
სამცხე	sɑmtsxɛ
სანახავად	sɑnɑχɑvɑd
საოჯახო	sɑɔdʒɑχɔ
საპატიმრო	sɑpʼɑtʼimrɔ
სარა	sɑrɑ
სარგებლობა	sɑrɡɛblɔbɑ
სარდალი	sɑrdɑlɪ
სარწმუნოდ	sɑrtsʼmunɔd
სასარგებლო	sɑsɑrɡɛblɔ
სასმელი	sɑsmɛli
სასქესო	sɑskʰɛsɔ
საუბარი	sɑubɑrɪ
საქმიანად	sɑkʰmɪɑnɑd
საღი	sɑɣi
საყვარლები	sɑqʼvɑrlɛbi
საშუალო	sɑʃuɑlɔ
საჩივარი	sɑtʃɪvɑrɪ
სახასიათო	sɑχɑsɪɑtʰɔ
სერგო	sɛrɡɔ
სიკეთე	sikʼɛtʰɛ
სიმკაცრე	simkʼɑtsrɛ
სიმპათია	sɪmpʼɑtʰɪɑ
სიმტკიცე	sɪmtʼkʼɪtsɛ
სირია	siriɑ
სისტემამ	sɪstʼɛmɑm
სკანდალური	skʼɑndɑlurɪ
სპექტრი	spʼɛkʰtʼrɪ
სტანდარტი	stʼɑndɑrtʼɪ
სტიმული	stʼɪmulɪ
სტუდენტი	stʼudɛntʼi
სუფთად	supʰtʰɑd
სწავლა	stsʼɑvlɑ
სწორი	stsʼɔri
სხვანაირად	sχvɑnɑɪrɑd
ტაძარს	tʼɑdzɑrs
ტემპერატურა	tʼɛmpʼɛrɑtʼurɑ
ტერიტორია	tʼɛrɪtʼɔrɪɑ
ტვირთი	tʼvirtʰi
ტიპის	tʼɪpʼɪs
ტკბილეული	tʼkʼbɪlɛulɪ
ტოლი	tʼɔli
ტოპოგრაფიული	tʼɔpʼɔɡrɑpʰiuli
ტრანზიტი	tʼrɑnzɪtʼɪ
ტუჩები	tʼutʃɛbi
ტუჩის	tʼutʃis
ტყუილად	tʼqʼuɪlɑd
უადგილო	uɑdɡilɔ
უანგარო	uɑnɡɑrɔ
უარი	uɑri
უაღრესად	uɑʁrɛsɑd
უბანი	ubɑni
უეცრად	uɛtsrɑd
უთანაბრო	utʰɑnɑbrɔ
უკან	ukʼɑn
უმანკოება	umɑnkʼɔɛbɑ
უმთავრესად	umtʰɑvrɛsɑd
უმი	umi
უსასრულო	usɑsrulɔ
უყურადღებოდ	uqʼurɑdʁɛbɔd
უშველის	uʃvɛlis
უცბად	utsbɑd
უცებ	utsɛb
უწინ	utsʼin
უწყინარი	utsʼqʼɪnɑrɪ
ფაიზაღი	pʰɑɪzɑʁɪ
ფასეულობა	pʰɑsɛulɔbɑ
ფასი	pʰɑsi
ფეიერვერკი	pʰɛɪɛrvɛrkʼɪ
ფერი	pʰɛrɪ
ფიგურა	pʰɪɡurɑ
ფილმი	pʰɪlmɪ
ფილმის	pʰɪlmɪs
ფილმს	pʰɪlms
ფიფია	pʰipʰiɑ
ფლოტი	pʰlɔtʼi
ფრანგი	pʰrɑnɡi
ფრთხილად	pʰrtʰxilɑd
ფსონი	pʰsɔni
ფული	pʰuli
ქარბუქი	kʰɑrbukʰɪ
ქართველი	kʰɑrtʰvɛli
ქართლის	kʰɑrtʰlɪs
ქედი	kʰɛdi
ქედის	kʰɛdɪs
ქვეყანას	kʰvɛqʼɑnɑs
ქირავდება	kʰirɑvdɛbɑ
ქრონიკა	kʰrɔnɪkʼɑ
ქრონოლოგიურად	kʰrɔnɔlɔɡɪurɑd
ღუზა	ɣuzɑ
ყოველდღე	qʼɔvɛldʁɛ
ყოველთვიური	qʼɔvɛltʰvɪurɪ
შაბათი	ʃɑbɑtʰi
შემადგენლობა	ʃɛmɑdɡɛnlɔbɑ
შენ	ʃɛn
შესახებ	ʃɛsɑχɛb
შეუძლებლად	ʃɛudzlɛblɑd
შეფარდებული	ʃɛpʰɑrdɛbulɪ
შვილი	ʃvili
შთამბეჭდავი	ʃtʰɑmbɛtʃʼdɑvɪ
შურისძიება	ʃurɪsdzɪɛbɑ
ჩაი	tʃɑɪ
ჩახმახი	tʃɑxmɑxi
ჩელსი	tʃɛlsɪ
ჩეჩნეთი	tʃɛtʃnɛtʰi
ჩვენ	tʃvɛn
ჩილემ	tʃɪlɛm
ჩინეთის	tʃɪnɛtʰɪs
ჩრდილოეთით	tʃrdɪlɔɛtʰɪtʰ
ჩურჩხელა	tʃurtʃxɛlɑ
ცალკეული	tsɑlkʼɛulɪ
ცარცი	tsɑrtsɪ
ცდა	tsdɑ
ცეკვა	tsɛkʼvɑ
ცენტრი	tsɛntʼri
ცნება	tsnɛbɑ
ცოცხი	tsɔtsxi
ცუდი	tsudi
ძალზე	dzɑlzɛ
ძლევამოსილი	dzlɛvɑmɔsɪlɪ
წავა	tsʼɑvɑ
წარმატებულად	tsʼɑrmɑtʼɛbulɑd
წარმოშობას	tsʼɑrmɔʃɔbɑs
წარსული	tsʼɑrsulɪ
წარწერა	tsʼɑrtsʼɛrɑ
წევს	tsʼɛvs
წვნიანი	tsʼvnɪɑnɪ
წინანდელი	tsʼɪnɑndɛlɪ
წლიანი	tsʼliɑni
წონა	tsʼɔnɑ
წუნი	tsʼuni
წყალმა	tsʼqʼɑlmɑ
წყაროდ	tsʼqʼɑrɔd
წყაროს	tsʼqʼɑrɔs
წყეული	tsʼqʼɛulɪ
წყლით	tsʼqʼlɪtʰ
ჭარბად	tʃʼɑrbɑd
ჭარბი	tʃʼɑrbi
ჭკვიანად	tʃʼkʼvɪɑnɑd
ჭკვიანი	tʃʼkʼvɪɑnɪ
ხანგრძლივობა	χɑnɡrdzlɪvɔbɑ
ხარისხი	χɑrɪsχɪ
ხარისხით	xɑrisxitʰ
ხარისხის	xɑrisxis
ხარისხს	xɑrisxs
ხედვა	χɛdvɑ
ხევსურული	χɛvsurulɪ
ხელით	χɛlɪtʰ
ხელს	χɛls
ხვრინვა	χvrɪnvɑ
ხმამაღლა	χmɑmɑʁlɑ
ჯანდაბა	dʒɑndɑbɑ
ჯერ	dʒɛr
ჯვარი	dʒvɑri
ჯო	dʒɔ
ჯუნგლი	dʒunɡlɪ
ჰემოროი	hɛmɔrɔɪ
ჰოლანდია	hɔlɑndɪɑ
