가능성	ka̠ːnɯŋs͈ʌ̹ŋ
가래	ka̠ɾe̞
가령	ka̠ːɾjʌ̹ŋ
가르치다	ka̠ɾɯt͡ɕʰida̠
가발	ka̠ba̠ɭ
가솔린	ka̠sʰo̞ɭʎin
가지	ka̠d͡ʑi
간부	ka̠nbu
감각적	ka̠mɡa̠k̚t͡ɕ͈ʌ̹k̚
감동	ka̠ːmdo̞ŋ
갑자기	ka̠p̚t͡ɕ͈a̠ɡi
강냉이	ka̠ŋne̞ŋi
강대국	ka̠ŋde̞ɡuk̚
강력	ka̠ŋɲjʌ̹k̚
강요	ka̠ːŋjo
강판	ka̠ŋpʰa̠n
개방	ke̞ba̠ŋ
개벽	ke̞bjʌ̹k̚
개학	ke̞ɦa̠k̚
거세	kʌ̹sʰe̞
거지	kɘːd͡ʑi
겨자	kjʌ̹d͡ʑa̠
결국	kjʌ̹ɭɡuk̚
결론	kjʌ̹ɭɭo̞n
결코	kjʌ̹ɭkʰo̞
경계	kjʌ̹ŋɡje̞
경력	kjʌ̹ŋɲjʌ̹k̚
경영	kjʌ̹ŋjʌ̹ŋ
계산원	kje̞ːsʰa̠nwʌ̹n
계좌	kje̞ːd͡ʑwa̠
계획	kje̞ːβwe̞k̚
고개	ko̞ɡe̞
고고학	ko̞ɡo̞ɦa̠k̚
고루	ko̞ɾu
고리	ko̞ɾi
고민	ko̞min
고발	ko̞ːba̠ɭ
고백	ko̞be̞k̚
곡식	ko̞kɕ͈ik̚
공세	ko̞ːŋsʰe̞
공중	ko̞ŋd͡ʑuŋ
과일	kwa̠ːiɭ
관심	kwa̠nɕʰim
굉장히	kwe̞ŋd͡ʑa̠ŋʝi
교미하다	kjomiɦa̠da̠
교수	kjoːsʰu
교역	kjojʌ̹k̚
국내선	kuŋne̞sʰʌ̹n
국제화	kuk̚t͡ɕ͈e̞βwa̠
국회	kukʰwe̞
군국주의	kunɡuk̚t͡ɕ͈uɰi
굽이	kubi
귀환	kɥiːβwa̠n
규약	kjuja̠k̚
그것	kɯɡʌ̹t̚
그대로	kɯde̞ɾo̞
그래프	kɯɾe̞pʰɯ
그러면	kɯɾʌ̹mjʌ̹n
그러하다	kɯɾʌ̹ɦa̠da̠
그릇	kɯɾɯt̚
극히	kɯkçi
근데	kɯnde̞
근처	kɯːnt͡ɕʰʌ̹
글쎄	kɯɭs͈e̞
기도	kido̞
기사	kisʰa̠
기선	kisʰʌ̹n
기숙사	kisʰuks͈a̠
기원	kiwʌ̹n
길이	kiɾi
깨끗이	k͈e̞k͈ɯɕʰi
꺽지	k͈ʌ̹k̚t͡ɕ͈i
꽁치	k͈o̞ŋt͡ɕʰi
나머지	na̠mʌ̹d͡ʑi
난리	na̠ːɭʎi
날리다	na̠ɭʎida̠
날마다	na̠ɭma̠da̠
남편	na̠mpʰjʌ̹n
내각	ne̞ːɡa̠k̚
내전	ne̞d͡ʑʌ̹n
내지	ne̞ːd͡ʑi
냉동	ne̞ːŋdo̞ŋ
너머로	nʌ̹mʌ̹ɾo̞
네거리	ne̞ːɡʌ̹ɾi
노사	no̞ːsʰa̠
노인	no̞ːin
놀이터	no̞ɾitʰʌ̹
누이동생	nuido̞ŋsʰe̞ŋ
뉴스	ɲjusʰɯ
니켈	nikʰe̞ɭ
달성	ta̠ɭs͈ʌ̹ŋ
