ئابووری	.ʔa.bû.rî
ئابوورییان	.ʔa.bû.rî.yan
ئابوورییەوە	.ʔa.bû.rî.ye.we
ئابی	.ʔa.bî
ئاخافتن	.ʔa.xaf.tin
ئاخاوتن	.ʔa.xaw.tin
ئاخۆ	.ʔa.xo
ئادانا	.ʔa.da.na
ئارام	.ʔa.ram
ئارامدا	.ʔa.ram.da
ئاراوە	.ʔa.ra.we
ئارخا	.ʔar.xa
ئازاد	.ʔa.zad
ئازادانە	.ʔa.za.da.ne
ئازادی	.ʔa.za.dî
ئازادیێ	.ʔa.zad.yê
ئازادییا	.ʔa.za.dî.ya
ئازادە	.ʔa.za.de
ئازاری	.ʔa.za.rî
ئاژاولەی	.ʔa.jaw.ley
ئاسانتر	.ʔa.san.tir
ئاسایشی	.ʔa.sa.yi.şî
ئاسایی	.ʔa.sa.yî
ئاساییترین	.ʔa.sa.yît.rîn
ئاساییی	.ʔa.sa.yîy
ئاسایییە	.ʔa.sa.yî.ye
ئاسایییەکان	.ʔa.sa.yî.ye.kan
ئاستێکدان	.ʔas.têk.dan
ئاستی	.ʔas.tî
ئاستەنگەکان	.ʔas.ten.ge.kan
ئاسوودەتر	.ʔa.sû.de.tir
ئاسۆ	.ʔa.so
ئاشکرا	.ʔaş.ki.ra
ئاشکرایە	.ʔaş.ki.ra.ye
ئاشوورییەوە	.ʔa.şû.rî.ye.we
ئافراند	.ʔaf.rand
ئافراندنی	.ʔaf.ran.di.nî
ئاڤەستا	.ʔa.ves.ta
ئاقارێکدا	.ʔa.qa.rêk.da
ئاقارێکی	.ʔa.qa.rê.kî
ئاقاری	.ʔa.qa.rî
ئاقارەدا	.ʔa.qa.re.da
ئاقارەکە	.ʔa.qa.re.ke
ئاکادمی	.ʔa.kad.mî
ئاکار	.ʔa.kar
ئاکاری	.ʔa.ka.rî
ئاکارەکانی	.ʔa.ka.re.ka.nî
ئاکامدا	.ʔa.kam.da
ئاکامی	.ʔa.ka.mî
ئاکامە	.ʔa.ka.me
ئاکامەکان	.ʔa.ka.me.kan
ئاکشەنەر	.ʔak.şe.ner
ئاکینان	.ʔa.kî.nan
ئاگادارنەبوونی	.ʔa.ga.dar.ne.bû.nî
ئاگاداری	.ʔa.ga.da.rî
ئاگادارینامەکان	.ʔa.ga.da.rî.na.me.kan
