و	.we
لە	.le
بە	.be
کە	.ke
بۆ	.bo
ئەو	.ʔew
ئەم	.ʔem
کوردستان	.kur.dis.tan
هەر	.her
بەڵام	.be.łam
بوو	.bû
خۆی	.xoy
لەگەڵ	.le.geł
لەسەر	.le.ser
ئەوەی	.ʔe.wey
وەک	.wek
لەو	.lew
زۆر	.zor
سەر	.ser
هەموو	.he.mû
دا	.da
کرد	.kird
هەیە	.he.ye
دەبێت	.de.bêt
کورد	.kurd
دەکات	.de.kat
عێراق	.ƹê.raq
یان	.yan
تا	.ta
بێ	.bê
من	.min
ئەگەر	.ʔe.ger
لەم	.lem
دوو	.dû
هیچ	.hîç
بێت	.bêt
ئەوە	.ʔe.we
بکات	.bi.kat
چەند	.çend
ئێران	.ʔê.ran
نییە	.nî.ye
تەنیا	.ten.ya
دوای	.dway
خۆیان	.xo.yan
ئێمە	.ʔê.me
ئێستا	.ʔês.ta
بوون	.bûn
چونکە	.çun.ke
سیاسی	.sya.sî
ساڵی	.sa.łî
هەروەها	.her.we.ha
هەرێمی	.he.rê.mî
بووە	.bu.we
گوتی	.gu.tî
زیاتر	.zya.tir
دەکەن	.de.ken
کردووە	.kir.du.we
سەرۆکی	.se.ro.kî
دەست	.dest
بکەن	.bi.ken
بەو	.bew
شاری	.şa.rî
ناو	.naw
بۆیە	.bo.ye
یەک	.yek
خەڵکی	.xeł.kî
نێوان	.nê.wan
لەلایەن	.le.la.yen
یانەی	.ya.ney
تر	.tir
کەس	.kes
دەکرێت	.de.ki.rêt
هەولێر	.hew.lêr
ڕۆژی	.řo.jî
حکومەتی	.ḧi.ku.me.tî
کوردی	.kur.dî
پێی	.pêy
کردنی	.kir.di.nî
هەندێک	.hen.dêk
پێ	.pê
یەکێتی	.ye.kê.tî
کاری	.ka.rî
دەڵێت	.de.łêt
سەرۆک	.se.rok
وە	.we
سلێمانی	.si.lê.ma.nî
لێ	.lê
ناوی	.na.wî
هۆی	.hoy
ئەمە	.ʔe.me
ئەوان	.ʔe.wan
بەسەر	.be.ser
دەستی	.des.tî
پارتی	.par.tî
بەپێی	.be.pêy
بەر	.ber
یەکەم	.ye.kem
بەهۆی	.be.hoy
هەرێم	.he.rêm
دیکە	.dî.ke
مرۆڤ	.mi.rov
وەکو	.we.ku
بەم	.bem
گشتی	.giş.tî
کوردستانی	.kur.dis.ta.nî
پێویستە	.pê.wîs.te
بوونی	.bû.nî
سێ	.sê
کۆتایی	.ko.ta.yî
ڕایگەیاند	.řay.ge.yand
تورکیا	.turk.ya
کاتێک	.ka.têk
سەبارەت	.se.ba.ret
دروست	.di.rust
لای	.lay
پێش	.pêş
حیزبی	.ḧîz.bî
دەکرد	.de.kird
تایبەت	.tay.bet
بەرەو	.be.rew
مافی	.ma.fî
بەڵکو	.beł.ku
یەکێک	.ye.kêk
ئەنجومەنی	.ʔen.cu.me.nî
چەندین	.çen.dîn
ئیسلامی	.ʔîs.la.mî
ساڵ	.sał
ئەمڕۆ	.ʔem.řo
چ	.çi
بەرامبەر	.be.ram.ber
نێو	.nêw
لایەن	.la.yen
نەک	.nek
کار	.kar
ماوەی	.ma.wey
تۆ	.to
چۆن	.çon
ژیانی	.jya.nî
ئەمەش	.ʔe.meş
کۆماری	.ko.ma.rî
پاش	.paş
لەبەر	.le.ber
هەزار	.he.zar
خەڵک	.xełk
بکرێت	.bi.ki.rêt
عەلی	.ƹe.lî
واتە	.wa.te
داوای	.da.way
کردن	.kir.din
نە	.ne
نوێ	.nwê
ئەوەیە	.ʔe.we.ye
بکەین	.bi.keyn
هەبێت	.he.bêt
کراوە	.ki.ra.we
زۆری	.zo.rî
بن	.bin
باسی	.ba.sî
گوتیشی	.gu.tî.şî
بەردەوام	.ber.de.wam
ئازادی	.ʔa.za.dî
کاتی	.ka.tî
دژی	.di.jî
وا	.wa
هەمان	.he.man
کردەوە	.kir.de.we
دەوڵەتی	.dew.łe.tî
تەنانەت	.te.na.net
بەشی	.be.şî
داعش	.da.ƹiş
ئەمریکا	.ʔem.rî.ka
گەورە	.gew.re
یا	.ya
لەناو	.le.naw
جۆرە	.co.re
وەزارەتی	.we.za.re.tî
گەلی	.ge.lî
دەرەوەی	.de.re.wey
باس	.bas
وەزیری	.we.zî.rî
ئەحمەد	.ʔeḧ.med
پەیوەندی	.pey.wen.dî
کەم	.kem
ئەوا	.ʔe.wa
دێموکراتی	.dê.muk.ra.tî
نەبێت	.ne.bêt
جیهانی	.cî.ha.nî
ژێر	.jêr
ئاستی	.ʔas.tî
دواتر	.dwa.tir
هێزەکانی	.hê.ze.ka.nî
هێزی	.hê.zî
زمانی	.zi.ma.nî
بارزانی	.bar.za.nî
کەرکوک	.ker.kuk
نەبوو	.ne.bû
ئەویش	.ʔe.wîş
ژنان	.ji.nan
هێزە	.hê.ze
حکومەت	.ḧi.ku.met
هەمیشە	.he.mî.şe
بەشداری	.beş.da.rî
هەردوو	.her.dû
ئەنجام	.ʔen.cam
تەواوی	.te.wa.wî
جار	.car
محەمەد	.mi.ḧe.med
ڕاگەیاند	.řa.ge.yand
کرا	.ki.ra
ئەوەش	.ʔe.weş
بەغدا	.beẍ.da
ژیان	.jyan
چی	.çî
داوە	.da.we
ئایا	.ʔa.ya
دەکەین	.de.keyn
پەرلەمانی	.per.le.ma.nî
دیکەی	.dî.key
ئەندامی	.ʔen.da.mî
تێدا	.tê.da
ناوەندی	.na.wen.dî
هەبوو	.he.bû
جگە	.ci.ge
خۆ	.xo
زۆربەی	.zor.bey
جیهان	.cî.han
تایبەتی	.tay.be.tî
هەتا	.he.ta
دەسەڵاتی	.de.se.ła.tî
ڕۆژ	.řoj
وایە	.wa.ye
عێراقی	.ƹê.ra.qî
چوار	.çwar
پەرلەمان	.per.le.man
با	.ba
بواری	.bwa.rî
تری	.ti.rî
خولی	.xu.lî
وڵاتانی	.wi.ła.ta.nî
دووەم	.du.wem
دەنگی	.den.gî
دەدات	.de.dat
پێشمەرگە	.pêş.mer.ge
مانگی	.man.gî
دەبێتە	.de.bê.te
ڕێکخراوی	.řêk.xi.ra.wî
ڕژێمی	.ři.jê.mî
ڕابردوو	.řa.bir.dû
وڵاتی	.wi.ła.tî
بەلام	.be.lam
ئەمەریکا	.ʔe.me.rî.ka
بدات	.bi.dat
ئاژانسی	.ʔa.jan.sî
ڕووی	.řûy
کێشەی	.kê.şey
سوریا	.sur.ya
کۆمەڵایەتی	.ko.me.ła.ye.tî
نەتەوەیی	.ne.te.we.yî
نزیک	.ni.zîk
باش	.baş
هەواڵی	.he.wa.łî
وڵاتە	.wi.ła.te
ئەوانەی	.ʔe.wa.ney
ژن	.jin
لەوە	.le.we
تەواو	.te.waw
کەسێک	.ke.sêk
ئاماژەی	.ʔa.ma.jey
لەبارەی	.le.ba.rey
خاوەن	.xa.wen
پڕ	.piř
سوپای	.su.pay
تێیدا	.têy.da
ڕێگای	.řê.gay
ناوچەی	.naw.çey
پارێزگای	.pa.rêz.gay
خۆم	.xom
خۆیدا	.xoy.da
دەسەڵات	.de.se.łat
حیزب	.ḧîzb
یە	.ye
پاشان	.pa.şan
لەنێوان	.le.nê.wan
ڕێگەی	.řê.gey
کات	.kat
نا	.na
گۆڕان	.go.řan
ئەنجامی	.ʔen.ca.mî
ڕەنگە	.řen.ge
سەرجەم	.ser.cem
خۆمان	.xo.man
کردوە	.kir.dwe
شەڕی	.şe.řî
ئازاد	.ʔa.zad
شتێک	.şi.têk
پاراستنی	.pa.ras.ti.nî
ڕۆژهەڵاتی	.řoj.he.ła.tî
هاوکات	.haw.kat
دە	.de
ناوبراو	.naw.bi.raw
سەرەکی	.se.re.kî
پرۆسەی	.pi.ro.sey
پێویستی	.pê.wîs.tî
ئابووری	.ʔa.bû.rî
سەردانی	.ser.da.nî
لەوەی	.le.wey
فیلمی	.fîl.mî
هێشتا	.hêş.ta
پێویست	.pê.wîst
سیاسیی	.sya.sîy
بەدەست	.be.dest
بەبێ	.be.bê
بڕیاری	.biř.ya.rî
هەوڵی	.hew.łî
ئەندامانی	.ʔen.da.ma.nî
شوێنی	.şwê.nî
هاتووە	.ha.tu.we
یاسای	.ya.say
لیستی	.lîs.tî
یاری	.ya.rî
بەناوی	.be.na.wî
دەتوانێت	.de.twa.nêt
لایەنە	.la.ye.ne
ژمارەی	.ji.ma.rey
بەشێکی	.be.şê.kî
ملیۆن	.mil.yon
کۆمەڵێک	.ko.me.łêk
هەڵبژاردنی	.heł.bi.jar.di.nî
حەسەن	.ḧe.sen
پێشکەش	.pêş.keş
هەست	.hest
وڵات	.wi.łat
بیر	.bîr
خاوەنی	.xa.we.nî
هاوکاری	.haw.ka.rî
دیارە	.dya.re
کاک	.kak
دەکەم	.de.kem
دوور	.dûr
ئەی	.ʔey
مێژووی	.mê.jûy
ڕۆڵی	.řo.łî
هونەری	.hu.ne.rî
بڵاو	.bi.ław
سیاسەتی	.sya.se.tî
سەری	.se.rî
ڕوو	.řû
مەبەستی	.me.bes.tî
گەورەی	.gew.rey
عەرەبی	.ƹe.re.bî
بەڕێوەبەری	.be.řê.we.be.rî
لێی	.lêy
دیاری	.dya.rî
چاوی	.ça.wî
ئیتر	.ʔî.tir
پێشتر	.pêş.tir
بدەن	.bi.den
ئاماژە	.ʔa.ma.je
دەکاتەوە	.de.ka.te.we
بەتایبەتی	.be.tay.be.tî
حکوومەتی	.ḧi.kû.me.tî
ئێوە	.ʔê.we
دەوڵەت	.dew.łet
هەم	.hem
بەشێک	.be.şêk
بەشێوەیەکی	.be.şê.we.ye.kî
هۆکاری	.ho.ka.rî
