abejingesnis	ɐbʲɛjɪnɡʲɛsʲnʲɪs
abėcėlėje	ɐbʲeːtʲsʲeːlʲeːjɛ
abėcėlės	ɐbʲeːtʲsʲeːlʲeːs
airiškaisiais	ɐjrʲɪʃkɐjsʲɛjs
airiškoje	ɐjrʲɪʃkojɛ
airišką	ɐjrʲɪʃkaː
aklasis	ɐklɐsʲɪs
angliškiesiems	aːnʲɡʲlʲɪʃʲkʲjɛsʲjems
apipjaustymu	ɐpʲɪpʲjæuːsʲtʲiːmʊ
aplaižyti	ɐplɐjʒiːtɪ
archyvai	ɐrʲxʲiːʋɐj
armėnija	ɐrmʲeːnʲɪjɛ
armėnijai	ɐrmʲeːnʲɪjɛj
atiduosiantieji	ɐtʲɪduɔsʲɛnʲtʲjɛjɪ
atiduosiančiojoje	ɐtʲɪduɔsʲɛnʲtʲʃʲojojɛ
atiduosiančioms	ɐtʲɪduɔsʲɛnʲtʲʃʲoms
atkeliaujančiomis	ɐtkʲɛlʲæʊjɛnʲtʲʃʲomʲɪs
atkeliauti	ɐtʲkʲɛlʲæʊtʲɪ
augo	äʊ̯ɡoː
aukštaitiškai	ɐʊkʃtɐjtʲɪʃkɐj
aukštaitiškais	ɐʊkʃtɐjtʲɪʃkɐjs
aukštaitiškas	ɐʊkʃtɐjtʲɪʃkɐs
aukštaitiško	ɐʊkʃtɐjtʲɪʃko
aukštaitiškomis	ɐʊkʃtɐjtʲɪʃkomʲɪs
aukštaitiškosiose	ɐʊkʃtɐjtʲɪʃkosʲosʲɛ
aukštaitiškų	ɐʊkʃtɐjtʲɪʃkuː
aukštaitės	ɐʊkʃtɐjtʲeːs
ausis	ɐʊsʲɪs
balsai	bɐlsɐj
bedieviškiausiesiems	bʲɛdʲjɛʋʲɪʃʲkʲæːʊsʲjɛsʲjɛms
bedieviškumą	bʲɛdʲjɛʋʲɪʃkʊmaː
bekraujis	bʲɛkrɐuːjɪs
bevertis	bʲɛʋʲɛrʲtʲɪs
blizgančiuoju	bʲlʲɪzɡɐnʲtʲʃʲʊojʊ
blogaisiais	bloɡɐjsʲɛjs
blogajai	bloːɡɐjɛj
blogesniame	bloɡʲɛsʲnʲɛmʲɛ
blogiausia	bloɡʲæːʊsʲɛ
blogiausiajai	bloɡʲæːʊsʲɛjɛj
blogiausiose	bloɡʲæːʊsʲosʲɛ
blogiems	bloɡʲjɛms
blogo	bloːɡo
bloguosius	bloɡuɔsʲʊs
broliais	bɾoːlʲɛjs
broliuose	bɾoːlʲʊosʲɛ
buldogams	bʊldoɡɐms
buldogų	bʊldoɡuː
bulgarijos	bʊlɡaːrʲɪjos
buvusia	bʊʋʊsʲɛ
buvusiajai	bʊʋʊsʲɛjɛj
buvusioje	bʊʋʊsʲojɛ
bybis	bʲiːbʲɪs
bėgančiosioms	bʲeːɡɐnʲtʲʃʲosʲoms
bėgančius	bʲeːɡɐnʲtʲʃʲʊs
bėgsiančiame	bʲeːɡʲsʲɛnʲtʲʃʲɛmʲɛ
būdavusios	buːdɐʋʊsʲos
būsiantieji	busʲɛnʲtʲjɛjɪ
būsiančiojo	busʲɛnʲtʲʃʲojo
dabar	d̪ɐbɐr
daiktas	dajktɐs
dainuojantis	dɐjnuɔjɐnʲtʲɪs
dainuojančioje	dɐjnuɔjɛnʲtʲʃʲojɛ
dainuojančiomis	dɐjnuɔjɛnʲtʲʃʲomʲɪs
dainuojančių	dɐjnuɔjɛnʲtʲʃʲuː
danija	daːnʲɪjɛ
danijos	daːnʲɪjos
daniją	daːnʲɪjæː
daniškąja	daːnʲɪʃkaːjɛ
davusią	daːʋʊsʲæː
dešimt	dʲæ̌ːʃɪmt
dieviškiausiosiomis	dʲjɛʋʲɪʃʲkʲæːʊsʲosʲomʲɪs
dieviškumas	dʲjɛʋʲɪʃkʊmɐs
