aalenian	aːlenian
absolutizam	absolutizam
abunde	abunde
accept	akt͡ʃept
acestora	at͡ʃestora
acrea	akre̯a
admirai	admiraj
admiram	admiram
admirase	admirase
admirat	admirat
admiri	admirʲ
adorm	adorm
adormim	adormim
adăuga	adəuɡa
afgan	afɡan
ajunge	aʒund͡ʒe
alege	aled͡ʒe
ales	ales
alte	alte
alteram	alteram
analizasem	analizasem
analizaserăți	analizaserətsʲ
analizați	analizat͡sʲ
analizăm	analizəm
animalitate	animalitate
anus	anus
anusului	anusuluj
anusurile	anusurile
anusurilor	anusurilor
apar	apar
apare	apare
apari	aparʲ
aprobi	aprobʲ
apui	apuj
apun	apun
armei	armej
armă	armə
articol	artikol
artificializai	artifit͡ʃializaj
aspirai	aspiraj
asurzitele	asurzitele
atrage	atradʒe
atrase	atrase
atrasei	atrasej
augmentai	auɡmentaj
augmentase	auɡmentase
avantaj	avantaʒ
aventurai	aventuraj
avivai	avivaj
azeră	azerə
bage	bad͡ʒe
barz	barz
beregate	bereɡate
beregată	bereɡatə
biblioteca	biblioteka
bibliotecă	bibliotekə
bifurcase	bifurkase
biserică	biserikə
bondar	bondar
botezuri	botezurʲ
budai	budaj
bumbac	bumbak
burai	buraj
buzărnescu	buzərnesku
băiețași	bəjet͡saʃʲ
bărbătește	bərbəteʃte
catalane	katalane
cazan	kazan
cer	t͡ʃer
cere	t͡ʃere
cerea	t͡ʃere̯a
ceream	t͡ʃere̯am
cerem	t͡ʃerem
ceri	tʃerʲ
ceru	t͡ʃeru
cerui	t͡ʃeruj
ceruse	t͡ʃeruse
clădea	klədja
clădeai	klədjaj
clădeau	klədjaw
clădesc	klədesk
clădește	klədeʃte
clădești	klədeʃtʲ
clădi	klədi
clădii	klədiː
clădim	klədim
clădirăm	klədirəm
clădirăți	klədirətsʲ
clădise	klədise
clădiseră	klədiserə
clădita	klədita
clădiși	klədiʃʲ
coagulat	koaɡulat
conduc	konduk
conduce	kondut͡ʃe
conducem	kondut͡ʃem
conduci	kondut͡ʃʲ
continuat	kontinwat
controleze	kontroleze
copilărește	kopiləreʃte
copleși	kopleʃi
coreean	koree̯an
creștin	kreʃtin
cultura	kultura
culturii	kulturiː
culturile	kulturile
culturilor	kulturilor
cultură	kulturə
cumnați	kumnat͡sʲ
cântărețe	kɨntəret͡se
călătoare	kələto̯are
călătoreau	kələtorjaw
călătorie	kələtorie
călătoritei	kələtoritej
dacă	dakə
danezi	danezʲ
decad	dekad
decade	dekade
decid	det͡ʃid
decidem	det͡ʃidem
deducem	dedut͡ʃem
delirai	deliraj
delirând	delirɨnd
delirăm	delirəm
distracție	distrakt͡sie
dobrescu	dobresku
dorin	dorin
drag	draɡ
drăgulescu	drəɡulesku
dușmănitului	duʃmənituluj
dușmăniților	duʃmənit͡silor
ejaculare	eʒakulare
evoluție	evolutsie
exemple	eɡzemple
explica	eksplika
facă	fakə
fantezii	fanteziː
felația	felatsia
felației	felatsiej
felațiile	felatsiːle
felațiilor	felatsiːlor
femei	femej
fierbinte	fjerbinte
