di	dˈi
e	ˈe
cu	kˈu
ta	tˈa
a	ˈa
pa	pˈa
y	iɡrˈɛk
un	ˈuŋ
na	nˈa
den	dˈeŋ
nan	nˈaŋ
tin	tˈiŋ
no	nˈo
Aruba	arˈuba
por	pˈor
lo	lˈo
aki	ˈaki
nos	nˈos
E	ˈe
riba	rˈiba
su	sˈu
mas	mˈas
tabata	tabˈata
tur	tˈur
mester	mestˈer
bay	bˈaj
wordo	wˈordo
tambe	tˈambe
haci	hˈasi
esaki	esˈaki
haya	hˈaja
hopi	hˈopi
pero	pˈero
otro	ˈotro
keda	kˈeda
hende	hˈende
bo	bˈo
of	ˈof
asina	asˈina
aña	ˈaɲa
persona	persˈona
mes	mˈes
duna	dˈuna
si	sˈi
tuma	tˈuma
sigui	sˈiɡj
como	kˈomo
bisa	bˈisa
ora	ˈora
pasa	pˈasa
Minister	ministˈer
bin	bˈiŋ
for	fˈor
ORANJESTAD	oranjestˈad
AAN	ˈaːŋ
dia	djˈa
nobo	nˈobo
Na	nˈa
yega	jˈeɡa
caso	kˈaso
manera	manˈera
Hulanda	hulˈanda
kier	kjˈer
Gobierno	ɡobjˈerno
prome	prˈome
loke	lˈoke
unda	ˈunda
cas	kˈas
el	ˈel
Pa	pˈa
pais	pˈa͡ɪs
grandi	ɡrˈandi
situacion	sitwasjˈoŋ
drenta	drˈenta
caminda	kamˈinda
momento	momˈento
Esaki	esˈaki
Den	dˈeŋ
bon	bˈoŋ
cual	kwˈal
forma	fˈorma
traha	trˈaha
bira	bˈira
te	tˈe
parti	pˈarti
Ta	tˈa
gobierno	ɡobjˈerno
dos	dˈos
mira	mˈira
Nos	nˈos
Un	ˈuŋ
durante	durˈante
despues	despwˈes
pone	pˈone
con	kˈoŋ
diferente	diferˈente
pasobra	pasˈobra
siman	simˈaŋ
pueblo	pwˈeblo
sin	sˈiŋ
caba	kˈaba
entre	ˈentre
polis	polˈis
awor	awˈor
anochi	anˈot͡ʃi
yuda	jˈuda
biaha	bjˈaha
cuminsa	kumˈinsa
sa	sˈa
importante	importˈante
Polis	polˈis
tempo	tˈempo
El	ˈel
informacion	informasjˈoŋ
trata	trˈata
presenta	presˈenta
habri	hˈabri
Parlamento	parlamˈento
mundo	mˈundo
comunidad	komunidˈad
auto	aˈuto
sitio	sˈitjo
pidi	pˈidi
luna	lˈuna
esnan	ˈesnan
algun	alɡˈuŋ
placa	plˈaka
segun	seɡˈuŋ
ainda	ˈa͡ɪnda
esey	esˈej
mustra	mˈustra
dilanti	dilˈanti
mi	mˈi
problema	problˈema
ricibi	risˈibi
tene	tˈene
crisis	krisˈis
Croes	krˈus
DIARIO	djˈarjo
splica	splˈika
paga	pˈaɡa
A	ˈa
indica	indˈika
ya	jˈa
Pero	pˈero
logra	lˈoɡra
mainta	mˈa͡ɪnta
hunto	hˈunto
mucha	mˈut͡ʃa
door	dˈoːr
sali	sˈali
kico	kˈiko
ley	lˈej
atende	atˈende
contra	kˈontra
trece	trˈese
total	totˈal
papia	pˈapja
cada	kˈada
Prome	prˈome
ultimo	ultˈimo
lugar	luɡˈar
cantidad	kantidˈad
motibo	motˈibo
Si	sˈi
mesora	mesˈora
financiero	finansjˈero
yama	jˈama
grupo	ɡrˈupo
informa	infˈorma
conoce	konˈose
ningun	ninɡˈuŋ
ey	ˈej
entrega	entrˈeɡa
banda	bˈanda
publico	publˈiko
algo	ˈalɡo
patruya	patrˈuja
bek	bˈek
sigur	siɡˈur
famia	fˈamja
para	pˈara
homber	hombˈer
scol	skˈol
laga	lˈaɡa
awe	ˈawe
casonan	kasˈonan
varios	varjˈos
dirigi	dirˈixi
trabao	trabˈao
via	vjˈa
trabou	trabˈow
busca	bˈuska
tanto	tˈanto
cumpli	kˈumpli
solamente	solamˈente
test	tˈest
personanan	personˈanan
de	dˈe
cuenta	kwˈenta
economia	ekonˈomja
cera	sˈera
Nan	nˈaŋ
baha	bˈaha
cos	kˈos
Segun	seɡˈuŋ
Departamento	departamˈento
base	bˈase
Tambe	tˈambe
compania	kompˈanja
virus	virˈus
muchanan	mut͡ʃˈanan
dicidi	disˈidi
No	nˈo
ser	sˈer
informe	infˈorme
bida	bˈida
positivo	positˈivo
Tur	tˈur
wak	wˈak
man	mˈaŋ
Hues	hwˈes
entrada	entrˈada
miyon	mijˈoŋ
social	sosjˈal
Ministro	minˈistro
nota	nˈota
Hulandes	hulandˈes
posibel	posibˈel
manda	mˈanda
salud	salˈud
Tin	tˈiŋ
proyecto	projˈekto
Maduro	madˈuro
hasta	hˈasta
maneho	manˈeho
menos	menˈos
ni	nˈi
Merca	mˈerka
necesario	nesesˈarjo
cuido	kˈujdo
mesun	mesˈuŋ
en	ˈeŋ
Reino	rˈe͡ɪno
acuerdo	akwˈerdo
bishita	biʃˈita
crea	krˈea
servicio	servˈisjo
personal	personˈal
dje	d͡ʒˈe
prensa	prˈensa
conoci	konˈosi
mantene	mantˈene
reunion	rewnjˈoŋ
minister	ministˈer
Y	iɡrˈɛk
futuro	futˈuro
menciona	mensjˈona
local	lokˈal
luga	lˈuɡa
rond	rˈond
basta	bˈasta
Mike	mˈike
AZV	ˈazv
proceso	prosˈeso
hendenan	hendˈenan
Cu	kˈu
caya	kˈaja
registra	rexˈistra
evita	evˈita
spera	spˈera
coronavirus	koronavirˈus
cay	kˈaj
bou	bˈow
accidente	aksidˈente
Evelyn	evelˈiŋ
economico	ekonomˈiko
florin	florˈiŋ
dal	dˈal
mandatario	mandatˈarjo
yegada	jeɡˈada
isla	ˈisla
debi	dˈebi
henter	hentˈer
cambia	kˈambja
prepara	prepˈara
medidanan	medidˈanan
nada	nˈada
AVP	ˈavp
Durante	durˈante
investigacion	investiɡasjˈoŋ
pandemia	pandˈemja
medico	medˈiko
semper	sempˈer
tabatin	tabatˈiŋ
Despues	despwˈes
politico	politˈiko
chauffeur	t͡ʃauffˈewr
uza	ˈuza
Oduber	odubˈer
dificil	difisˈil
sistema	sistˈema
cuminza	kumˈinza
Diabierna	djabjˈerna
cla	klˈa
brinda	brˈinda
subi	sˈubi
tereno	terˈeno
Nicolas	nikolˈas
poco	pˈoko
mientras	mjentrˈas
tres	trˈes
Pues	pwˈes
compronde	komprˈonde
halto	hˈalto
awa	ˈawa
Dialuna	djalˈuna
conta	kˈonta
cambio	kˈambjo
cerca	sˈerka
causa	kaˈusa
Publico	publˈiko
fin	fˈiŋ
dama	dˈama
hospital	hospitˈal
locual	lokwˈal
contacto	kontˈakto
sector	sektˈor
uno	ˈuno
Esey	esˈej
Ora	ˈora
decision	desisjˈoŋ
biba	bˈiba
atardi	atˈardi
Por	pˈor
turismo	turˈismo
perde	pˈerde
relaciona	relasjˈona
herida	herˈida
core	kˈore
expresa	eksprˈesa
negoshi	neɡˈoʃi
warda	wˈarda
Hospital	hospitˈal
Parlamentario	parlamentˈarjo
control	kontrˈol
medio	mˈedjo
Di	dˈi
detene	detˈene
Eman	emˈaŋ
topa	tˈopa
area	arˈea
Fiscal	fiskˈal
anuncia	anˈunsja
resultado	resultˈado
saca	sˈaka
afecta	afˈekta
mundial	mundjˈal
San	sˈaŋ
candela	kandˈela
percura	perkˈura
desaroyo	desarˈojo
Venezuela	venezwˈela
hiba	hˈiba
