a	a
aalborg	ɔlbɔr
aalborg	ɔlbɔrk
aalborski	ɔlbɔrskʲi
aarhus	ɔrxus
abace	abat͡sɛ
abak	abak
abaka	abaka
abakach	abakax
abakami	abakamʲi
abakan	abakan
abaki	abakʲi
abakiem	abakʲɛm
abakom	abakɔm
abakowi	abakɔvʲi
abaku	abaku
abakus	abakus
abakusach	abakusax
abakusami	abakusamʲi
abakusem	abakusɛm
abakusie	abakuɕɛ
abakusom	abakusɔm
abakusowi	abakusɔvʲi
abakusu	abakusu
abakusy	abakusɨ
abakusów	abakusuf
abaków	abakuf
abaką	abakɔ̃
abakę	abakɛ
abazja	abazja
abazjami	abazjamʲi
abazje	abazjɛ
abazji	abazji
abazjo	abazjɔ
abazjom	abazjɔm
abazją	abazjɔ̃
abazję	abazjɛ
abazyj	abazɨj
abazyński	abazɨɲskʲi
abażur	abaʐur
abażura	abaʐura
abażurach	abaʐurax
abażurami	abaʐuramʲi
abażurek	abaʐurɛk
abażurem	abaʐurɛm
abażurom	abaʐurɔm
abażurowi	abaʐurɔvʲi
abażuru	abaʐuru
abażury	abaʐurɨ
abażurze	abaʐuʐɛ
abażurów	abaʐuruf
abc	abɛt͡sɛ
abchascy	apxast͡sɨ
abchaska	apxaska
abchaski	apxaskʲi
abchaskich	apxaskʲix
abchaskie	apxaskʲɛ
abchaskiego	apxaskʲɛɡɔ
abchaskiej	apxaskʲɛj
abchaskiemu	apxaskʲɛmu
abchaskim	apxaskʲim
abchaskimi	apxaskʲimʲi
abchaskości	apxaskɔɕt͡ɕi
abchaskościach	apxaskɔɕt͡ɕax
abchaskościami	apxaskɔɕt͡ɕamʲi
abchaskościom	apxaskɔɕt͡ɕɔm
abchaskością	apxaskɔɕt͡ɕɔ̃
abchaskość	apxaskɔɕt͡ɕ
abchasku	apxasku
abchaską	apxaskɔ̃
abchaz	apxas
abchaza	apxaza
abchazach	apxazax
abchazami	apxazamʲi
abchazce	apxast͡sɛ
abchazek	apxazɛk
abchazem	apxazɛm
abchazi	apxaʑi
abchazie	apxaʑɛ
abchazja	apxazja
abchazji	apxazji
abchazjo	apxazjɔ
abchazją	apxazjɔ̃
abchazję	apxazjɛ
abchazka	apxaska
abchazkach	apxaskax
abchazkami	apxaskamʲi
abchazki	apxaskʲi
abchazko	apxaskɔ
abchazkom	apxaskɔm
abchazką	apxaskɔ̃
abchazkę	apxaskɛ
abchazom	apxazɔm
abchazowi	apxazɔvʲi
abchazowie	apxazɔvʲɛ
abchazów	apxazuf
abdykacja	abdɨkat͡sja
abdykacjach	abdɨkat͡sjax
abdykacjami	abdɨkat͡sjamʲi
abdykacje	abdɨkat͡sjɛ
abdykacji	abdɨkat͡sji
abdykacjo	abdɨkat͡sjɔ
abdykacjom	abdɨkat͡sjɔm
abdykacją	abdɨkat͡sjɔ̃
abdykację	abdɨkat͡sjɛ
abdykacyj	abdɨkat͡sɨj
abecadeł	abɛt͡sadɛw
abecadle	abɛt͡sadlɛ
abecadła	abɛt͡sadwa
abecadłach	abɛt͡sadwax
abecadłami	abɛt͡sadwamʲi
abecadłem	abɛt͡sadwɛm
abecadło	abɛt͡sadwɔ
abecadłom	abɛt͡sadwɔm
abecadłu	abɛt͡sadwu
aberracja	abɛrat͡sja
aberracjach	abɛrat͡sjax
aberracjami	abɛrat͡sjamʲi
aberracje	abɛrat͡sjɛ
aberracji	abɛrat͡sji
aberracjo	abɛrrat͡sjɔ
aberracjom	abɛrat͡sjɔm
aberracją	abɛrat͡sjɔ̃
aberrację	abɛrat͡sjɛ
aberracyj	abɛrat͡sɨj
abidżan	abʲid͡ʐan
abiogenez	abʲɔɡɛnɛs
abiogeneza	abʲɔɡɛnɛza
abiogenezach	abʲɔɡɛnɛzax
abiogenezami	abʲɔɡɛnɛzamʲi
abiogenezie	abʲɔɡɛnɛʑɛ
abiogenezo	abʲɔɡɛnɛzɔ
abiogenezom	abʲɔɡɛnɛzɔm
abiogenezy	abʲɔɡɛnɛzɨ
abiogenezą	abʲɔɡɛnɛzɔ̃
abiogenezę	abʲɔɡɛnɛzɛ
abisyńscy	abʲisɨɲst͡sɨ
abisyńska	abʲisɨɲska
abisyński	abʲisɨɲskʲi
abisyńskich	abʲisɨɲskʲix
abisyńskie	abʲisɨɲskʲɛ
abisyńskiego	abʲisɨɲskʲɛɡɔ
abisyńskiej	abʲisɨɲskʲɛj
abisyńskiemu	abʲisɨɲskʲɛmu
abisyńskim	abʲisɨɲskʲim
abisyńskimi	abʲisɨɲskʲimʲi
abisyńską	abʲisɨɲskɔ̃
abiturienci	abʲiturʲjɛnt͡ɕi
abituriencie	abʲiturʲjɛnt͡ɕɛ
abiturient	abʲiturʲjɛnt
abiturienta	abʲiturʲjɛnta
abiturientach	abʲiturʲjɛntax
abiturientami	abʲiturʲjɛntamʲi
abiturientem	abʲiturʲjɛntɛm
abiturientom	abʲiturʲjɛntɔm
abiturientowi	abʲiturʲjɛntɔvʲi
abiturientów	abʲiturʲjɛntuf
ablacja	ablat͡sja
ablacjach	ablat͡sjax
ablacjami	ablat͡sjamʲi
ablacje	ablat͡sjɛ
ablacji	ablat͡sji
ablacjo	ablat͡sjɔ
ablacjom	ablat͡sjɔm
ablacją	ablat͡sjɔ̃
ablację	ablat͡sjɛ
ablacyj	ablat͡sɨj
ablatyw	ablatɨf
ablatywach	ablatɨvax
ablatywami	ablatɨvamʲi
ablatywem	ablatɨvɛm
ablatywie	ablatɨvʲɛ
ablatywom	ablatɨvɔm
ablatywowi	ablatɨvɔvʲi
ablatywu	ablatɨvu
ablatywy	ablatɨvɨ
ablatywów	ablatɨvuf
abnegaci	abnɛɡat͡ɕi
abnegacie	abnɛɡat͡ɕɛ
abnegat	abnɛɡat
abnegata	abnɛɡata
abnegatach	abnɛɡatax
abnegatami	abnɛɡatamʲi
abnegatem	abnɛɡatɛm
abnegatom	abnɛɡatɔm
abnegatowi	abnɛɡatɔvʲi
abnegatów	abnɛɡatuf
abo	abɔ
abonamencie	abɔnamɛnt͡ɕɛ
abonamencik	abɔnamɛnt͡ɕik
abonamencikach	abɔnamɛnt͡ɕikax
abonamencikami	abɔnamɛnt͡ɕikamʲi
abonamenciki	abɔnamɛnt͡ɕikʲi
abonamencikiem	abɔnamɛnt͡ɕikʲɛm
abonamencikom	abɔnamɛnt͡ɕikɔm
abonamencikowi	abɔnamɛnt͡ɕikɔvʲi
abonamenciku	abɔnamɛnt͡ɕiku
abonamencików	abɔnamɛnt͡ɕikuf
abonament	abɔnamɛnt
abonamentach	abɔnamɛntax
abonamentami	abɔnamɛntamʲi
abonamentem	abɔnamɛntɛm
abonamentom	abɔnamɛntɔm
abonamentowa	abɔnamɛntɔva
abonamentowe	abɔnamɛntɔvɛ
abonamentowego	abɔnamɛntɔvɛɡɔ
abonamentowej	abɔnamɛntɔvɛj
abonamentowemu	abɔnamɛntɔvɛmu
abonamentowi	abɔnamɛntɔvʲi
abonamentowy	abɔnamɛntɔvɨ
abonamentowych	abɔnamɛntɔvɨx
abonamentowym	abɔnamɛntɔvɨm
abonamentowymi	abɔnamɛntɔvɨmʲi
abonamentową	abɔnamɛntɔvɔ̃
abonamentu	abɔnamɛntu
abonamenty	abɔnamɛntɨ
abonamentów	abɔnamɛntuf
abonenccy	abɔnɛnt͡st͡sɨ
abonenci	abɔnɛnt͡ɕi
abonencie	abɔnɛnt͡ɕɛ
abonencka	abɔnɛnt͡ska
abonencki	abɔnɛnt͡skʲi
abonenckich	abɔnɛnt͡skʲix
abonenckie	abɔnɛnt͡skʲɛ
abonenckiego	abɔnɛnt͡skʲɛɡɔ
abonenckiej	abɔnɛnt͡skʲɛj
abonenckiemu	abɔnɛnt͡skʲɛmu
abonenckim	abɔnɛnt͡skʲim
abonenckimi	abɔnɛnt͡skʲimʲi
abonencką	abɔnɛnt͡skɔ̃
abonent	abɔnɛnt
abonenta	abɔnɛnta
abonentach	abɔnɛntax
abonentami	abɔnɛntamʲi
abonentce	abɔnɛntt͡sɛ
abonentek	abɔnɛntɛk
abonentem	abɔnɛntɛm
abonentka	abɔnɛntka
abonentkach	abɔnɛntkax
abonentkami	abɔnɛntkamʲi
abonentki	abɔnɛntkʲi
abonentko	abɔnɛntkɔ
abonentkom	abɔnɛntkɔm
abonentką	abɔnɛntkɔ̃
abonentkę	abɔnɛntkɛ
abonentom	abɔnɛntɔm
abonentowi	abɔnɛntɔvʲi
abonentów	abɔnɛntuf
abonowali	abɔnɔvalʲi
abonowaliby	abɔnɔvalʲibɨ
abonowalibyście	abɔnɔvalʲibɨɕt͡ɕɛ
abonowalibyśmy	abɔnɔvalʲibɨɕmɨ
abonowaliście	abɔnɔvalʲiɕt͡ɕɛ
abonowaliśmy	abɔnɔvalʲiɕmɨ
abonowana	abɔnɔvana
abonowane	abɔnɔvanɛ
abonowanego	abɔnɔvanɛɡɔ
abonowanej	abɔnɔvanɛj
abonowanemu	abɔnɔvanɛmu
abonowani	abɔnɔvaɲi
abonowania	abɔnɔvaɲa
abonowanie	abɔnɔvaɲɛ
abonowaniem	abɔnɔvaɲɛm
abonowaniu	abɔnɔvaɲu
abonowano	abɔnɔvanɔ
abonowany	abɔnɔvanɨ
abonowanych	abɔnɔvanɨx
