a	a
aarão	aaɾɐ̃w̃
aarão	aɾɐ̃w̃
aba	aba
abacate	abakate
abacate	abakati
abacate	abakat͡ʃi
abacateiro	abakatejɾo
abacateiro	abakatejɾu
abacaxi	abakaʃi
abacaxi	ɐbakɐʃi
abacaxizeiro	abakaʃizejɾo
abacaxizeiro	abakaʃizejɾu
abacharelado	ɐbɐʃaɾeladu
abacista	abasista
abacista	abasistɐ
abacista	abasiʃtɐ
abadan	abadɐ̃
abade	abadʒi
abadesa	abadeza
abadessa	abadesa
abadessa	abadesɐ
abadia	abad͡ʒia
abadia	abad͡ʒiɐ
abafada	abafada
abafadamente	abafadamẽte
abafadamente	abafadamẽt͡ʃi
abafado	abafado
abafado	abafadu
abafador	abafadoʁ
abafação	abafasɐ̃w̃
abaixo	abajʃo
abaixo	abajʃu
abalado	abaladu
abalizado	abalɪzadu
abandonado	abɐ̃donadu
abandonar	abɐ̃donaʁ
abandono	abɐ̃donu
abanheenga	abɐj̃eẽɡɐ
abanheenga	abɐɲeẽɡɐ
abano	abɐno
abano	abɐnu
abarregado	abaʁeɡadu
abatiá	abat͡ʃia
abatiá	abat͡ʃja
abaxial	abakisiaw
abdômen	abidomẽj̃
abeberar	abebeɾaɾ
abel	abɛw
abelardo	abelaʁdu
abelharuco	abeʎaɾuku
abelheiro	abeʎejɾu
abençoada	abẽsoadɐ
aberta	abɛʁtɐ
abertamente	abɛʁtɐmẽt͡ʃi
aberto	abɛɹtu
aberto	abɛʁtu
aberto	abɛχtu
abeto	abɛto
abeto	abɛtu
abiogênese	abioʒenezi
abissal	abisaw
abiu	abiw
ablativo	ablat͡ʃivu
abobado	abobadu
abolição	abolisɐ̃w̃
abordagem	aboʁdaʒẽj̃
abordar	aboʁdaʁ
abortismo	aboʁt͡ʃizmu
aborto	aboʁtu
aborto	abɔʁtu
abotoadura	abotoaduɾɐ
abrandamento	abɾɐ̃dɐmẽtu
abrandar	abɾɐ̃daʁ
abranger	abɾɐ̃ʒeʁ
abrangência	abɾɐ̃ʒẽsja
abrasax	abɾasaks
abraão	abɾaɐ̃w̃
abraão	abɾɐ̃w̃
abraçar	abɾasaʁ
abraçável	abɾasavew
abração	abɾasɐ̃w̃
abricó	abɾikɔ
abrigado	abɾiɡadu
abril	abɾiw
abrir	abɾiʁ
abriu	abɾiw
abruptamente	abɾupitamẽte
abruptamente	abɾupitamẽt͡ʃi
abruptamente	abɾuptamẽte
abruptamente	abɾuptamẽt͡ʃi
abrupto	abɾupto
abrupto	abɾuptu
absalão	absalɐ̃w̃
absinto	abisĩtu
absinto	absĩtu
absonância	absonɐ̃sja
abstenção	abstẽsɐ̃w̃
abstenção	abʃtẽsɐ̃w̃
abster	absteʁ
absurdo	absuʁdu
abundante	abũdɐ̃t͡ʃi
abundar	abũdaʁ
abundância	abũdɐ̃sja
abutre	abutɾi
abóbora	abɔboɾɐ
abóbora	abɔbuɾɐ
acaba	akabɐ
acabar	akabaɹ
