aalboaiei	aalbŏajej
aalexoaiei	aaleksŏajej
aancuței	aankutsej
aanicăi	aanikəj
aanuței	aanutsej
aauto	aauto
aaxiniei	aaksinijej
ab	ab
aba	aba
ababei	ababej
abac	abak
abacă	abakə
abager	abadʒer
abagerie	abadʒerije
abagiu	abadʒiw
abajur	abaʒur
abandon	abandon
abandona	abandona
abandonare	abandonare
abandonase	abandonase
abandonat	abandonat
abanos	abanos
abataj	abataʒ
abate	abate
abatere	abatere
abatesă	abatesə
abatiză	abatizə
abator	abator
abazie	abazije
abație	abatsije
abces	abtʃes
abdica	abdika
abdicare	abdikare
abdomen	abdomen
abdominal	abdominal
abdominalgie	abdominaldʒije
abductor	abduktor
abducție	abduktsije
abecedar	abetʃedar
abecedarul	abetʃedarul
aberant	aberant
aberativ	aberativ
aberație	aberatsije
aberoscop	aberoskop
abia	abja
abil	abil
abili	abilʲ
abilita	abilita
abilitare	abilitare
abilitat	abilitat
abilitate	abilitate
abilitați	abilitatsʲ
abiogen	abiodʒen
abiogeneză	abiodʒenezə
abiologie	abiolodʒije
abiotic	abiotik
abiotrofie	abiotrofije
abioză	abiozə
abis	abis
abisal	abisal
abisinian	abisinijan
abitație	abitatsije
abitir	abitir
abject	abʒekt
abjecție	abʒektsije
abjudeca	abʒudeka
abjudecare	abʒudekare
abjudecat	abʒudekat
abjura	abʒura
abjurare	abʒurare
abjurat	abʒurat
ablactare	ablaktare
ablactație	ablaktatsije
ablativ	ablativ
ablație	ablatsije
ablațiune	ablatsiune
ablefarie	ablefarije
ablepsie	ablepsije
abluțiune	ablutsiune
abnega	abneɡa
abnegare	abneɡare
abnegat	abneɡat
abnegație	abneɡatsije
abnorm	abnorm
abnormitate	abnormitate
abolire	abolire
abolit	abolit
abolițiune	abolitsiune
abominabil	abominabil
abona	abona
abonament	abonament
abonare	abonare
abonat	abonat
aborda	aborda
abordabil	abordabil
abordaj	abordaʒ
abordare	abordare
abordat	abordat
abordate	abordate
abordăm	abordəm
aborigen	aboridʒen
abortiv	abortiv
abrac	abrak
abracadabra	abrakadabra
abracadabrant	abrakadabrant
abrazare	abrazare
abraziune	abraziune
abraziv	abraziv
abrazor	abrazor
abraș	abraʃ
abrevia	abrevija
abreviat	abrevijat
abreviativ	abrevijativ
abreviator	abrevijator
abreviație	abrevijatsije
abreviațiune	abrevijatsiune
abreviere	abrevijere
abroga	abroɡa
abrogare	abroɡare
abrogat	abroɡat
abrogație	abroɡatsije
abrud	abrud
abrudan	abrudan
abrudean	abrudĕan
abrudeancă	abrudĕankə
abrupt	abrupt
abrupto	abrupto
abruptă	abruptə
abrutiza	abrutiza
abrutizant	abrutizant
abrutizare	abrutizare
abrutizat	abrutizat
abscisă	apstʃisə
abscizie	apstʃizije
absciziune	apstʃiziune
abscons	abskons
absent	apsent
absenta	apsenta
absentare	apsentare
absenteism	apsenteism
absenteist	apsenteist
absențe	apsentse
absidal	apsidal
absidial	apsidijal
absidiolă	apsidiolə
absidă	apsidə
absint	apsint
absoarbă	apsŏarbə
absolut	apsolut
absolutism	apsolutism
absolutist	apsolutist
absolutiza	apsolutiza
absolutizam	absolutizam
absolutizare	apsolutizare
absolutizat	apsolutizat
absolutoriu	apsolutorju
absolută	apsolutə
absoluțiune	apsolutsiune
absolvent	apsolvent
absolvență	apsolventsə
absolvire	apsolvire
absolvit	apsolvit
absorb	apsorb
absorbant	apsorbant
absorbi	apsorbi
absorbire	apsorbire
absorbit	apsorbit
absorbitor	apsorbitor
absorbție	apsorptsije
absorbțiune	apsorptsiune
abstinent	apstinent
abstinență	apstinentsə
abstract	apstrakt
abstractiza	apstraktiza
abstractizant	apstraktizant
abstractizare	apstraktizare
abstractizat	apstraktizat
abstractă	apstraktə
abstracție	apstraktsije
abstracțiune	apstraktsiune
abstrage	apstradʒe
abstragere	apstradʒere
abstras	apstras
abstrus	apstrus
absurd	apsurd
absurde	apsurde
absurditate	apsurditate
absurdul	apsurdul
absurdă	apsurdə
abulic	abulik
abulie	abulije
abunda	abunda
abundare	abundare
abunde	abunde
abundent	abundent
abundență	abundentsə
abur	abur
aburca	aburka
aburcare	aburkare
aburcat	aburkat
abureală	aburĕalə
aburire	aburire
aburit	aburit
aburos	aburos
abutnăriței	abutnəritsej
abuz	abuz
abuza	abuza
abuzare	abuzare
abuziv	abuziv
abătu	abətu
abătut	abətut
abțibild	aptsibild
abțigui	aptsiɡui
abțiguire	aptsiɡuire
abțiguit	aptsiɡuit
abține	aptsine
abținere	aptsinere
ac	ak
acacie	akatʃije
acadea	akadĕa
academic	akademik
academie	akademije
academism	akademism
acadian	akadijan
acaju	akaʒu
acalefă	akalefə
acalmie	akalmije
acana	akana
acant	akant
acantacee	akantatʃee
acantocefal	akantotʃefal
acantoză	akantozə
acapara	akapara
acaparare	akaparare
acaparat	akaparat
acaparator	akaparator
acar	akar
acaret	akaret
acarian	akarijan
acaricid	akaritʃid
acarinată	akarinatə
acarioză	akariozə
acarniță	akarnitsə
acasă	akasə
acatafazie	akatafazije
acatagrafie	akataɡrafije
acatalectic	akatalektik
acatalepsie	akatalepsije
acatincăi	akatinkəj
acatist	akatist
acaustobiolit	akaustobiolit
acaustobiolitic	akaustobiolitik
acaț	akats
acațiu	akatsju
accede	aktʃede
accedere	aktʃedere
accelera	aktʃelera
accelerare	aktʃelerare
accelerat	aktʃelerat
accelerator	aktʃelerator
accelerație	aktʃeleratsije
accelerațiune	aktʃeleratsiune
accelerograf	aktʃeleroɡraf
accelerometru	aktʃelerometru
accent	aktʃent
accentua	aktʃentuwa
accentuare	aktʃentuware
accentuat	aktʃentuwat
accentul	aktʃentul
accept	aktʃept,akt͡ʃept
accepta	aktʃepta
acceptabil	aktʃeptabil
acceptabilă	aktʃeptabilə
acceptam	aktʃeptam
acceptare	aktʃeptare
acceptat	aktʃeptat
acceptați	aktʃeptatsʲ
accepte	aktʃepte
acceptor	aktʃeptor
accepție	aktʃeptsije
accepțiune	aktʃeptsiune
acces	aktʃes
accesa	aktʃesa
accesare	aktʃesare
accesarea	aktʃesarĕa
accesat	aktʃesat
accesibil	aktʃesibil
accesibile	aktʃesibile
accesibilitate	aktʃesibilitate
accesiune	aktʃesiune
accesorii	aktʃesorij
accesoriu	aktʃesorju
accesul	aktʃesul
accident	aktʃident
accidenta	aktʃidenta
accidental	aktʃidental
accidentare	aktʃidentare
accidentat	aktʃidentat
accidente	aktʃidente
accidentul	aktʃidentul
accidențar	aktʃidentsar
acciz	aktʃiz
acciza	aktʃiza
accizare	aktʃizare
accizat	aktʃizat
accizele	aktʃizele
accizelor	aktʃizelor
acea	atʃ̩a
aceasta	atʃ̩asta
aceea	atʃeja
aceeași	atʃejaʃʲ
acefal	atʃefal
acefalie	atʃefalije
acei	atʃej
acel	atʃel
acela	atʃela
același	atʃelaʃʲ
acele	atʃele
acelea	atʃelĕa
aceleași	atʃelĕaʃʲ
acelei	atʃelej
