अ	ɐ
अंश	ɐ̃ɕɐ
अंश	ɐ̃́ɕɐ
अंशकरण	ɐ̃ɕɐkɐɾɐɳɐ
अंशु	ɐ̃ɕu
अंशु	ɐ̃ɕú
अंशुक	ɐ̃ɕukɐ
अंस	ɐ̃s̪ɐ
अंस	ɐ̃́s̪ɐ
अंसकूट	ɐ̃s̪ɐkuːʈɐ
अंसकूट	ɐ̃́s̪ɐkuːʈɐ
अंसत्र	ɐ̃s̪ɐt̪ɾɐ
अंसत्र	ɐ̃́s̪ɐt̪ɾɐ
अंसपृष्ठ	ɐ̃s̪ɐpr̩ʂʈʰɐ
अंसपृष्ठ	ɐ̃́s̪ɐpr̩ʂʈʰɐ
अंसफलक	ɐ̃s̪ɐpʰɐl̪ɐkɐ
अंसफलक	ɐ̃s̪ɐpʰɐl̪ɐkɐ́
अंहस्	ɐ̃ɦɐs̪
अंहस्	ɐ̃́ɦɐs̪
अंहु	ɐ̃ɦu
अंहु	ɐ̃́ɦu
अऋणिन्	ɐr̩ɳin̪
अक	ɐkɐ
अक	ɐ́kɐ
अकन्या	ɐkɐn̪jɑː
अकन्या	ɐ́kɐn̪jɑː
अकरोत्	ɐkɐɾoːt̪
अकरोत्	ɐ́kɐɾɐwt̪
अकर्	ɐkɐɾ
अकर्	ɐ́kɐɾ
अकर्तिष्यताम्	ɐkɐɾt̪iʂjɐt̪ɑːm
अकर्तिष्यत्	ɐkɐɾt̪iʂjɐt̪
अकर्त्स्यताम्	ɐkɐɾt̪s̪jɐt̪ɑːm
अकर्त्स्यत्	ɐkɐɾt̪s̪jɐt̪
अकार	ɐkɑːɾɐ
अकाल	ɐkɑːl̪ɐ
अकिञ्चन	ɐkiɲt͡ɕɐn̪ɐ
अक्तु	ɐkt̪u
अक्तु	ɐkt̪ú
अक्ष	ɐkʂɐ
अक्ष	ɐ́kʂɐ
अक्षत	ɐkʂɐt̪ɐ
अक्षत	ɐ́kʂɐt̪ɐ
अक्षय	ɐkʂɐjɐ
अक्षय्य	ɐkʂeːjɐ
अक्षय्य	ɐkʂɐjjɐ́
अक्षर	ɐkʂɐɾɐ
अक्षर	ɐkʂɐ́ɾɐ
अक्षि	ɐkʂi
अक्षि	ɐ́kʂi
अक्षित	ɐkʂit̪ɐ
अक्षित	ɐ́kʂit̪ɐ
अखिल	ɐkʰil̪ɐ
अगच्छः	ɐɡɐtt͡ɕʰɐh
अगच्छत	ɐɡɐtt͡ɕʰɐt̪ɐ
अगच्छतम्	ɐɡɐtt͡ɕʰɐt̪ɐm
अगच्छताम्	ɐɡɐtt͡ɕʰɐt̪ɑːm
अगच्छत्	ɐɡɐtt͡ɕʰɐt̪
अगच्छत्	ɐ́ɡɐtt͡ɕʰɐt̪
अगच्छन्	ɐɡɐtt͡ɕʰɐn̪
अगच्छम्	ɐɡɐtt͡ɕʰɐm
अगच्छाम	ɐɡɐtt͡ɕʰɑːmɐ
अगच्छाव	ɐɡɐtt͡ɕʰɑːʋɐ
अगच्छे	ɐɡɐtt͡ɕʰeː
अगच्छे	ɐɡɐtt͡ɕʰɐj
अगन्	ɐɡɐn̪
अगन्	ɐ́ɡɐn̪
अगमत्	ɐɡɐmɐt̪
अगम्यत	ɐɡɐmjɐt̪ɐ
अगम्ये	ɐɡɐmjeː
अगम्ये	ɐɡɐmjɐj
अगरु	ɐɡɐɾu
अगार	ɐɡɑːɾɐ
अग्नि	ɐɡn̪i
अग्नि	ɐɡn̪í
अघ	ɐɡʱɐ
अघ	ɐɡʱɐ́
अघ्न्या	ɐɡʱn̪jɑː
अघ्न्या	ɐɡʱn̪jɑ́ː
अघ्न्या	ɐ́ɡʱn̪jɑː
अङ्कनी	ɐŋkɐn̪iː
अङ्कयति	ɐŋkɐjɐt̪i
अङ्कस्	ɐŋkɐs̪
अङ्कस्	ɐ́ŋkɐs̪
अङ्कित	ɐŋkit̪ɐ
अङ्खयति	ɐŋkʰɐjɐt̪i
अङ्ग	ɐŋɡɐ
अङ्ग	ɐ́ŋɡɐ
अङ्गन	ɐŋɡɐn̪ɐ
अङ्गसङ्ग	ɐŋɡɐs̪ɐŋɡɐ
अङ्गसङ्ग	ɐ́ŋɡɐs̪ɐŋɡɐ
अङ्गार	ɐŋɡɑːɾɐ
अङ्गार	ɐ́ŋɡɑːɾɐ
अङ्गिरस्	ɐŋɡiɾɐs̪
अङ्गिरस्	ɐ́ŋɡiɾɐs̪
अङ्गुलि	ɐŋɡul̪i
अङ्गुलि	ɐŋɡúl̪i
अङ्गुली	ɐŋɡul̪iː
अङ्गुष्ठ	ɐŋɡuʂʈʰɐ
अङ्गुष्ठ	ɐŋɡúʂʈʰɐ
अच्युत	ɐt͡ɕjut̪ɐ
अज	ɐd͡ʑɐ
अज	ɐd͡ʑɐ́
अजति	ɐd͡ʑɐt̪i
अजति	ɐ́d͡ʑɐt̪i
अजर्बैजान	ɐd͡ʑɐɾbɑjd͡ʑɑːn̪ɐ
अजिगांसत्	ɐd͡ʑiɡɑ̃ːs̪ɐt̪
अजिरायति	ɐd͡ʑiɾɑːjɐt̪i
अज्ञ	ɐd͡ʑɲɐ
