a	ˈaː
na	na
sa	sˈa
v	vˈeː
je	je
s	ˈes
aj	aj
to	tˈo
z	zˈet
že	ʒe
si	si
do	dˈo
ako	ˌako
pre	prˈe
o	ˈoː
som	som
za	zˈa
sú	suː
by	bˈi
ale	ˈale
alebo	ˌalebo
V	vˈeː
od	ˈot
ktoré	ktˈoreː
po	pˈo
tak	tˈak
k	kˈaː
sme	sme
už	ˈuʃ
pri	prˈi
čo	t͡ʃo
len	lˈen
ich	ˈix
nie	ɲiˌe
vo	vˈo
aby	ˈabi
ktorý	ktˈoriː
Na	na
má	mˈaː
či	t͡ʃˈi
bude	bˈudʲe
jeho	jˈeho
so	sˈo
keď	kˈetʲ
však	fʃˈak
bol	bˈol
byť	bitʲ
ho	hˈo
zo	zˈo
A	ˈaː
až	ˈaʃ
Ak	ˈak
roku	rˈoku
ktorá	ktˈoraː
môže	mˈuoʒe
veľmi	vˈeʎmi
pred	prˈet
viac	viˈat͡s
nás	nˈaːs
podľa	pˈodʎa
ani	ˈaɲi
jej	jˈej
ešte	ˈeʃtʲe
ste	stʲe
bolo	bˈolo
mi	mˈi
Je	je
bola	bˈola
bez	bˈes
tu	tˈu
kde	kdʲˈe
boli	bˈoli
ak	ˈak
i	ˈiː
ktorí	ktˈoriː
medzi	mˈed͡ʑi
nám	nˈaːm
tým	tˈiːm
môžete	mˈuoʒˌetʲe
tom	tˈom
pod	pˈot
toho	tˈoho
ju	jˈu
vám	vˈaːm
rokov	rˈokow
majú	mˈajuː
ma	mˈa
Ako	ˌako
tento	tˈento
tejto	tˈejto
iba	ˈiba
svoje	svˈoje
mu	mˈu
tam	tˈam
ľudí	ʎˈudʲiː
preto	prˈeto
tiež	tʲiˈeʃ
Po	pˈo
mať	mˈatʲ
nad	nˈat
všetky	fʃˈetki
u	ˈuː
teda	tˈeda
To	tˈo
budú	bˈuduː
všetko	fʃˈetko
mali	mˈali
cez	t͡sˈes
vás	vˈaːs
deň	dʲˈeɲ
počas	pˈot͡ʃas
prípade	prˈiːpade
potom	pˈotom
tomu	tˈomu
rok	rˈok
Slovensku	slˈovensku
všetkých	fʃˈetkiːx
tohto	tˈohto
môžu	mˈuoʒu
mal	mˈal
Pri	prˈi
im	ˈim
Ale	ˈale
deti	dʲˈetʲi
niečo	ɲiˈet͡ʃo
možné	mˈoʒneː
Pre	prˈe
nich	ɲˈix
Keď	kˈetʲ
dnes	dɲˈes
tomto	tˈomto
Aj	aj
asi	ˈasi
ten	tˈen
proti	prˈotʲi
oblasti	ˈoblastʲi
ze	zˈe
Vám	vˈaːm
no	nˈo
ktorú	ktˈoruː
lebo	lˈebo
spoločnosti	spˈolot͡ʃnˌostʲi
ktorých	ktˈoriːx
práve	prˈaːve
ja	jˈa
najmä	nˈajme
vždy	vʒdˈi
mesta	mˈesta
možno	mˈoʒno
predaj	prˈedaj
stále	stˈaːle
napríklad	nˈapriːklat
jeden	jˈeden
práce	prˈaːt͡se
svoju	svˈoju
dobre	dˈobre
každý	kˈaʒdiː
služby	slˈuʒbi
pretože	prˈetoʒe
svoj	svˈoj
teraz	tˈeras
treba	trˈeba
ktorej	ktˈorej
nič	ɲˈit͡ʃ
čas	t͡ʃˈas
Čo	t͡ʃo
svojich	svˈojix
časti	t͡ʃˈastʲi
život	ʒˈivot
Z	zˈet
Tento	tˈento
nielen	ɲiˈelen
našich	nˈaʃix
veľa	vˈeʎa
svojej	svˈojej
iné	ˈineː
ľudia	ʎˈudʲia
vďaka	vdʲˈaka
tie	tiˈe
miesto	miˈesto
SR	sˈr̩
možnosť	mˈoʒnostʲ
tieto	tiˈeto
potrebné	pˈotrebneː
svojho	svˈojho
toto	tˈoto
musí	mˈusiː
časť	t͡ʃˈastʲ
eur	ˈeur
týchto	tˈiːxto
mala	mˈala
nej	ɲˈej
dní	dɲˈiː
kto	ktˈo
rámci	rˈaːmt͡si
nové	nˈoveː
života	ʒˈivota
O	ˈoː
S	ˈes
Za	zˈa
Nie	ɲiˌe
ide	ˈidʲe
naozaj	nˈaozaj
Bratislava	brˈatʲislˌava
ďalšie	dʲˈalʃie
takmer	tˈakmer
Do	dˈo
spolu	spˈolu
dvoch	dvˈox
dve	dvˈe
priamo	priˈamo
informácie	ˈinformˌaːt͡sie
úplne	ˈuːpl̩ɲe
okolo	ˈokolo
ku	kˈu
Podľa	pˈodʎa
niekoľko	ɲiˈekoʎko
cm	t͡sˈeːˌem
dňa	dɲˈa
byt	bˈit
roka	rˈoka
ponúka	pˈonuːka
totiž	tˈotʲiʃ
túto	tˈuːto
mohli	mˈohli
opäť	ˈopetʲ
seba	sˈeba
nachádza	nˈaxaːd͡ʑa
tých	tˈiːx
tri	trˈi
často	t͡ʃˈasto
našej	nˈaʃej
ktorého	ktˈoreːho
mňa	mɲˈa
sveta	svˈeta
prvý	pˈr̩viː
veci	vˈet͡si
Tak	tˈak
dva	dvˈa
svete	svˈetʲe
naše	nˈaʃe
hlavne	hlˈavɲe
ceny	t͡sˈeni
No	nˈo
Vás	vˈaːs
človek	t͡ʃlˈovek
dá	dˈaː
kedy	kˈedi
systém	sˈisteːm
pár	pˈaːr
školy	ʃkˈoli
neho	nˈeho
spoločnosť	spˈolot͡ʃnostʲ
raz	rˈas
ďalej	dʲˈalej
vody	vˈodi
určite	ˈurt͡ʃitʲe
máme	mˈaːme
zároveň	zˈaːroveɲ
Slovenska	slˈovenska
Okrem	ˈokrem
nikdy	ɲˈikdi
množstvo	mnˈoʃstvo
okrem	ˈokrem
Ja	jˈa
máte	mˈaːtʲe
problém	prˈobleːm
čase	t͡ʃˈase
Slovensko	slˈovensko
Už	ˈuʃ
mieste	miˈestʲe
iných	ˈiniːx
celý	t͡sˈeliː
K	kˈaː
niekto	ɲiˈekto
nový	nˈoviː
služieb	slˈuʒiep
dom	dˈom
chce	xt͡sˈe
mám	mˈaːm
rôzne	rˈuozne
základe	zˈaːklade
ktorom	ktˈorom
patrí	pˈatriː
nájdete	nˈaːjdʲetʲe
vôbec	vˈuobet͡s
skôr	skˈuor
rôznych	rˈuoznix
Preto	prˈeto
strany	strˈani
než	ɲˈeʃ
roky	rˈoki
rokoch	rˈokox
Toto	tˈoto
lepšie	lˈepʃie
Od	ˈot
nemá	ɲˈemaː
strane	strˈaɲe
aspoň	ˈaspoɲ
dokonca	dˈokont͡sa
Bratislave	brˈatʲislˌave
povedal	pˈovedal
hovorí	hˈovoriː
vtedy	ftˈedi
nebude	ɲˈebudʲe
ktorým	ktˈoriːm
pomocou	pˈomot͡so͡ʊ
menej	mˈeɲej
prečo	prˈet͡ʃo
my	mˈi
Táto	tˈaːto
všetci	fʃˈett͡si
druhej	drˈuhej
detí	dʲˈetʲiː
ďalších	dʲˈalʃiːx
sebe	sˈebe
zatiaľ	zˈatʲiaʎ
domov	dˈomow
spôsobom	spˈuosˌobom
Jeho	jˈeho
firmy	fˈirmi
budete	bˈudʲetʲe
nášho	nˈaːʃho
najviac	nˈajviat͡s
peniaze	pˈeɲiˌaze
táto	tˈaːto
ti	tʲˈi
minút	mˈinuːt
