جي	ɟˈeː
جو	ɟˈoː
آهي	ˌaːheː
کي	kʰˈeː
تي	t̪ˈeː
کان	kʰˈãː
سان	sˈãː
ان	ˈɪna
ته	t̪ˈʌh
هن	hˈɪna
آهن	ˈaːhɪn
به	bˈɪ
ڪري	kˈareː
هو	hˈoː
جا	ɟˈaː
ٿي	tʰi
هڪ	hˈɪkʊ
مان	mˈaːn
آھي	ˌaːheː
ٿو	tʰˈoː
ڪيو	kˈajoː
يا	jˈaː
جنهن	ɟˈẽhɪ̃
سندس	səndˈʌs
ويو	ʋˈajoː
سنڌ	sˈɪndh
نه	nˈʌh
پر	pˈʌr
واري	ʋˈaːri
ئي	ˈiː
پنهنجي	pˈʌ̃hnɟi
ڪئي	kˈʌi
ھن	hˈɪna
ڪرڻ	kərˈʌɳ
پڻ	pˈɪɳ
وقت	ʋˈaqt
ٿيو	tʰjˈoː
ڪتاب	kɪtˈaːb
جيڪو	ɟˈeːkoː
تائين	t̪aːˈiːn
ٿا	tʰˈaː
ھڪ	hˈɪkʊ
اهو	ˈɪhoː
هي	hˈiː
محمد	mˌəhəmˈʌd
انهن	ˌanəhˈʌn
نالو	nˈaːloː
سنڌي	sˈɪndhi
جن	ɟˈɪn
وڃي	ʋˈʌɲi
جون	ɟˈoːn
ويندو	ʋˈeːndoː
طور	tˈoːr
هئا	hˈʊaː
آھن	ˈaːhɪn
هئي	hˈʊi
ڪم	kˈʌm
خان	xˈaːn
شهر	ʃəhˈʌr
جڏهن	ɟaɖˈẽhɪ̃
ملڪ	mˈʊlk
جنھن	ɟˈʌnhn
سال	sˈaːl
شامل	ʃˈaːmɪl
پاڻ	pˈaːɳ
کيس	kʰˈeːs
ڳوٺ	ɡˈoːʈʰ
ٿئي	tʰˈɪeː
تہ	t̪ˈʌh
نالي	nˈaːli
اچي	ˈaci
رهيو	rˈʌhjoː
ڪنهن	kˈʌ̃hɪ̃
جيڪي	ɟˈeːki
وڏو	ʋˈʌɖoː
حاصل	haːʂˈʌl
وڏي	ʋˈʌɖi
پاڪستان	pˌaːkˈɪstaːn
ٻين	bˈɪan
بہ	bˈɪ
مشهور	mˌəʃhˈuːr
دنيا	dˈʌnjaː
شروع	ʃˈʊruː
سڀ	sˈʌbʰ
شاهه	ʃaːhˈʌh
وارو	ʋˈaːroː
شھر	ʃəhˈʌr
گڏ	ɡˈʌɖ
صاحب	ʂaːhˈʌb
علي	ˈali
واقع	ʋˈaːqeː
جيڪا	ɟˈeːkaː
استعمال	ɪstˈeːmaːl
وڌيڪ	ʋədʰˈiːk
ٿيندو	tʰˈĩːdoː
موجود	moːɟˈuːd
مختلف	mʊxtˈalɪf
عام	ˈaːm
بعد	bˈaːd
ماڻهو	mˈaːɳhuː
ھي	hˈeː
ڏينهن	ɖˈĩːhʊ̃
وئي	ʋˈʌi
قسم	qəsˈʌm
حڪومت	hˌəkoːmˈʌt̪
طرح	tˌərˈah
تعليم	t̪aːlˈiːm
پيدا	pˈeːdaː
قائم	qaːˈɪm
دور	dˈoːr
اها	ˈɪhaː
هر	hˈʌr
ڪيائين	kjaːˈiːn
تاريخ	t̪aːrˈiːx
تمام	t̪əmˈaːm
لفظ	lˈafʐa
اهي	ˈɪheː
ويا	ʋˈajaː
ٻئي	bˈʌi
هوندو	hˈũːdoː
ٿيڻ	tʰˈɪaɳ
ڪن	kˈʌn
ھو	hˈoː
اسان	ˈasãː
خاص	xˈaːʂ
ڏنو	ɖˈɪnoː
جيئن	ɟˈiːʌ̃
وچ	ʋˈʌc
وري	ʋˈʌri
ماڻهن	mˌaːɳəhˈʌn
آباد	aːbˈaːd
ڪندو	kˈʌndoː
ضلعي	zəlˈaːi
جتي	ɟˈʌt̪i
سبب	səbˈʌb
ڪو	kˈoː
مطابق	mˌətaːbˈʌq
سندن	səndˈʌn
ٽي	ʈˈeː
آيو	ˈaːjoː
ٻه	bˈʌh
ڪي	kˈeː
ڪندا	kˈʌndaː
اڳ	ˈaɡ
زمين	zəmˈiːn
چيو	cˈajoː
ڪجهه	kˈʊɟʰʊ
گهڻو	ɡəhˈʌɳoː
ٿيل	tʰˈɪal
وٽ	ʋˈʌʈ
وغيره	ʋˌəɣirˈʌh
رهي	rˈʌhi
سي	sˈeː
حصو	hˈʌʂoː
الله	ˈallaːh
حيدرآباد	hˌeːdraːbˈaːd
مير	mˈeːr
ملي	mˈʌli
مقرر	mˌəqərˈʌr
يعني	jˈaːni
اتي	ˈat̪i
ڪيا	kjˈaː
وفات	ʋˌəfˈaːt
ٻيو	bjˈoː
طرف	tərˈʌf
آبادي	aːbˈaːdi
پهريون	pˌəhərjˈoːn
ٿيون	tʰjˈoːn
قديم	qədˈiːm
ٻولي	bˈoːli
هوندي	hˈũːdi
انھن	ˈanhn
ادب	adˈʌb
بن	bˈʌn
ويندي	ʋˈeːndi
پٽ	pˈʌʈ
جنگ	ɟˈʌnɡ
وٺي	ʋˈʌʈʰi
اسڪول	ˌaskˈoːl
وارن	ʋaːrˈʌn
م	mˈiːm
سيد	saˈiːad
پاڻي	pˈaːɳi
ادبي	ˌadbˈiː
هتي	hˈʌt̪i
رنگ	rˈʌnɡ
ٻن	bˈʌn
چوندا	cˈoːndaː
اصل	aʂˈʌl
ٿيندي	tʰˈĩːdi
ھيو	hjˈoː
پهرين	pˌəhərˈiːn
سالن	saːlˈʌn
ٿيندا	tʰˈĩːdaː
بي	bˈeː
ذريعي	zərˈiːi
تعلقي	t̪aːlˈʌqi
اندر	andˈʌr
نظر	naʐˈar
اهڙي	ahˈʌr.i
ٻيا	bjˈaː
نہ	nˈʌh
ھئي	hˈʊi
لکيل	lˈʌkʰjal
رياست	rjˈaːst̪
علائقي	ˌalaːˈɪqi
