të	tˈʌ
e	ˈe
në	nˈʌ
dhe	ðˈɛ
i	ˈi
për	pˈʌr
që	t͡ɕˈʌ
me	mˈɛ
një	ɲˈʌ
ka	kˈɑ
se	sˈɛ
nga	nɡˈɑ
është	ˈʌʃtə
më	mˈʌ
do	dˈɔ
nuk	nˈuk
së	sˈʌ
edhe	ˈɛðɛ
janë	jˈanə
u	ˈu
si	sˈi
kanë	kˈanə
shumë	ʃˈumə
po	pˈɔ
këtë	kˈʌtə
por	pˈɔr
Në	nˈʌ
duke	dˈukɛ
mund	mˈund
te	tˈɛ
tij	tˈiː
ta	tˈɑ
duhet	dˈuhɛt
ishte	ˈiʃtɛ
pas	pˈas
tyre	tˈyrɛ
tha	θˈɑ
ne	nˈɛ
parë	pˈarə
ai	ˈai
ku	kˈu
gjithë	d͡ʑˈiθə
vetëm	vˈɛtəm
prej	prˈe͡ɪ
dy	dˈy
bërë	bˈʌrə
Kosovës	kɔsˈɔvəs
kur	kˈur
jetë	jˈetə
kjo	kjˈɔ
deri	dˈɛri
saj	sˈa͡ɪ
disa	dˈisɑ
pasi	pˈasi
gjatë	d͡ʑˈatə
fundit	fˈundɪt
kishte	kˈiʃtɛ
pa	pˈɑ
kemi	kˈɛmi
qenë	t͡ɕˈenə
sa	sˈɑ
mirë	mˈirə
sot	sˈɔt
ndërsa	ndˈʌrsɑ
Por	pˈɔr
para	pˈarɑ
thënë	θˈʌnə
ata	ˈatɑ
ndaj	ndˈa͡ɪ
thotë	θˈɔtə
apo	ˈapɔ
tjetër	tjˈetər
jo	jˈɔ
ajo	ˈa͡ɪɔ
nëse	nˈʌsɛ
Një	ɲˈʌ
Ai	ˈai
marrë	mˈɑrə
atë	ˈatə
këto	kˈʌtɔ
gjitha	d͡ʑˈiθɑ
Kjo	kjˈɔ
Për	pˈʌr
mbi	mbˈi
ditë	dˈitə
tjera	tjˈerɑ
mos	mˈɔs
cili	t͡sˈiɫi
Sipas	sipˈas
çdo	t͡ʃdˈɔ
tani	tˈani
ky	kˈy
ju	jˈu
Nuk	nˈuk
ose	ˈɔsɛ
Të	tˈʌ
na	nˈɑ
pak	pˈak
kohë	kˈɔhə
kësaj	kˈʌsa͡ɪ
sipas	sipˈas
rreth	ərˈɛθ
kundër	kˈundər
sepse	sˈɛpsɛ
E	ˈe
mes	mˈɛs
qe	t͡ɕˈe
shkak	ʃkˈak
vend	vˈɛnd
kam	kˈam
pjesë	pjˈesə
vitin	vˈitɪn
këtij	kətˈiː
pasur	pˈasur
ketë	kˈɛtə
Rama	rˈamɑ
tek	tˈɛk
raste	rˈastɛ
ato	ˈatɔ
herë	hˈɛrə
ishin	ˈiʃɪn
mënyrë	mənˈyrə
Ne	nˈɛ
cila	t͡sˈiɫɑ
as	ˈas
reja	rˈejɑ
asnjë	ˈasɲə
ri	rˈi
madhe	mˈaðɛ
Me	mˈɛ
vitit	vˈitɪt
cilat	t͡sˈiɫat
persona	pɛrsˈɔnɑ
Po	pˈɔ
ashtu	ˈaʃtu
jemi	jˈemi
madh	mˈað
re	rˈɛ
euro	ɛˈurɔ
mijë	mˈijə
Më	mˈʌ
Kosovë	kɔsˈɔvə
tonë	tˈɔnə
ende	ˈɛndɛ
milionë	mˌiɫiˈɔnə
pse	psˈɛ
fund	fˈund
Nga	nɡˈɑ
I	ˈi
Ky	kˈy
kaluar	kaɫˈuɑr
unë	ˈunə
vendin	vˈɛndɪn
bëhet	bˈʌhɛt
cilët	t͡sˈiɫət
per	pˈɛr
lartë	ɫˈɑrtə
brenda	brˈɛndɑ
Është	ˈʌʃtə
gjë	d͡ʑˈʌ
siç	sˈit͡ʃ
politike	pˌɔɫitˈikɛ
Nëse	nˈʌsɛ
shqiptare	ʃt͡ɕiptˈarɛ
jenë	jˈenə
Edhe	ˈɛðɛ
gjithashtu	d͡ʑiθˈaʃtu
dhënë	ðˈʌnə
Kosova	kɔsˈɔvɑ
pandemisë	pˌandɛmˈisə
Ajo	ˈa͡ɪɔ
Shqipëri	ʃt͡ɕˌipərˈi
Unë	ˈunə
duket	dˈukɛt
numri	nˈumri
bën	bˈʌn
çfarë	t͡ʃfˈarə
shqiptar	ʃt͡ɕiptˈɑr
dytë	dˈytə
përmes	pˈʌrmɛs
Shqipërisë	ʃt͡ɕˌipərˈisə
vendit	vˈɛndɪt
Pas	pˈas
tre	trˈɛ
qytetarët	t͡ɕˌytɛtˈarət
Presidenti	prˌɛsidˈɛnti
jetën	jˈetən
tjerë	tjˈerə
koronavirusit	kˌɔrɔnˌavirˈusɪt
vetë	vˈɛtə
lidhje	ɫˈiðje
tashmë	tˈaʃmə
vendet	vˈɛndɛt
keni	kˈɛni
rast	rˈast
njerëzit	ɲerˈʌzɪt
qeverisë	t͡ɕˌevɛrˈisə
njohur	ɲˈɔhur
vendosur	vɛndˈɔsur
bëjnë	bˈʌjnə
tillë	tˈil͡lə
shkruan	ʃkrwˈɑn
Shëndetësisë	ʃˌʌndɛtəsˈisə
kishin	kˈiʃɪn
Edi	ˈɛdi
njerëz	ɲˈerəz
ti	tˈi
qeveria	t͡ɕˌevɛrˈiɑ
Dhe	ðˈɛ
pritet	prˈitɛt
Qeveria	t͡ɕˌevɛrˈiɑ
qytetarëve	t͡ɕytˈɛtarˌəvɛ
vit	vˈit
iu	ˈiu
Si	sˈi
masat	mˈasat
muaj	mˈua͡ɪ
Shqipëria	ʃt͡ɕˌipərˈiɑ
arritur	ɑrˈitur
nën	nˈʌn
jashtë	jˈaʃtə
A	ˈɑ
Ndërkohë	ndərkˈɔhə
Kurti	kˈurti
Ata	ˈatɑ
fjalë	fjˈaɫə
thuhet	θˈuhɛt
kështu	kəʃtˈu
ndryshme	ndrˈyʃmɛ
jam	jˈam
bëri	bərˈi
ditur	dˈitur
mëdha	mˈʌðɑ
Ka	kˈɑ
punë	pˈunə
Do	dˈɔ
tuaj	tˈua͡ɪ
kërkuar	kərkˈuɑr
ndonjë	ndˈɔɲə
vite	vˈitɛ
vjen	vjˈen
infektuar	ˌinfɛktˈuɑr
shtëpi	ʃtˈʌpi
drejt	drˈe͡ɪt
ekonomike	ˌɛkɔnɔmˈikɛ
aq	ˈat͡ɕ
nje	ɲˈe
Trump	trˈump
ana	ˈanɑ
vështirë	vəʃtˈirə
shtetit	ʃtˈɛtɪt
rasteve	rˈastɛvɛ
këtu	kˈʌtu
dalë	dˈaɫə
vendi	vˈɛndi
Veriut	vˌɛriˈut
rëndësishme	rˌʌndəsˈiʃmɛ
viti	vˈiti
Kur	kˈur
koronavirus	kˌɔrɔnˌavirˈus
shpreh	ʃprˈɛhh
qind	t͡ɕˈind
këtyre	kətˈyrɛ
vjet	vjˈet
ia	ˈiɑ
përfshirë	pərfʃˈirə
bëjë	bˈʌjə
Ndërsa	ndˈʌrsɑ
Gjatë	d͡ʑˈatə
sotme	sˈɔtmɛ
sociale	sˌɔt͡siˈaɫe
gjendje	d͡ʑˈendje
cilën	t͡sˈiɫən
SHBA	ʃbˈɑ
Kryeministri	krˌy͡ɛminˈistri
teksa	tˈɛksɑ
ndodhur	ndˈɔður
nisur	nˈisur
tregon	trɛɡˈɔn
BE	bˈɛ
vende	vˈɛndɛ
Ministria	mˌinistrˈiɑ
vendim	vˈɛndim
lidhur	ɫˈiður
rëndë	rˈʌndə
treguar	trɛɡˈuɑr
eshte	ˈeʃtɛ
publike	pubɫˈikɛ
Serbisë	sɛrbˈisə
marrëveshje	mˌɑrəvˈeʃje
