је	je
и	ˈi
у	ˈu
се	sˈɛ
су	sʊ
да	dˈa
на	nˈa
од	ˈod
за	zˈa
са	sˈa
који	kˈojɪ
а	ˈa
као	kˈao
У	ˈu
из	ˈiz
био	bˌɪo
до	dˈo
што	ʃtˈo
или	ˌɪlɪ
по	pˈo
није	nˈije
које	kˈoje
али	ˈalɪ
која	kˈojɐ
не	nˈɛ
би	bˈi
о	ˈo
била	bˌɪlɐ
На	nˈa
то	tˈo
има	ˈimɐ
код	kˈod
година	ɡˈodɪnɐ
га	ɡˈa
може	mˈoʒɛ
више	vˈiʃɛ
око	ˈoko
само	sˈamo
било	bˌɪlo
све	svˈɛ
ће	t͡ɕˈɛ
због	zbˈoɡ
док	dˈok
године	ɡˈodɪnɛ
како	kˈako
били	bˌɪlɪ
након	nˈakon
два	dvˈa
му	mˈu
налази	nˈalɐzɪ
тога	tˈoɡɐ
када	kˈadɐ
време	vrˈɛmɛ
између	ˈizmɛd͡ʑʊ
тако	tˈako
један	jˈedɐn
још	jˈoʃ
јер	jˈer
своје	svˈoje
током	tˈokom
број	brˈoj
Након	nˈakon
такође	tˈakod͡ʑɛ
под	pˈod
три	trˈi
па	pˈa
неколико	nˈɛkolˌɪko
где	ɡdˈɛ
према	prˈɛmɐ
могу	mˈoɡʊ
нису	nˈisʊ
бити	bˈitɪ
део	dˈɛo
За	zˈa
стране	strˈanɛ
те	tˈɛ
две	dvˈɛ
дана	dˈanɐ
с	sˈə
он	ˈon
први	prvˈi
већ	vˈɛt͡ɕ
их	ˈih
Међутим	mˈɛd͡ʑʊtɪm
касније	kˈasnɪje
века	vˈɛkɐ
пре	prˈɛ
без	bˈɛz
преко	prˈɛko
људи	ʎˈudɪ
имао	ˈimɐo
против	prˈotɪv
коју	kˈojʊ
То	tˈo
рата	rˈatɐ
често	t͡ʃˈɛsto
ове	ˈovɛ
него	nˈɛɡo
веома	vˈɛomɐ
пут	pˈut
Од	ˈod
имају	ˈimɑjʊ
кроз	krˈoz
после	pˈoslɛ
своју	svˈojʊ
овог	ˈovoɡ
тада	tˈadɐ
уз	ˈuz
место	mˈɛsto
Током	tˈokom
друге	drˈuɡɛ
пута	pˈutɐ
жена	ʒˈɛnɐ
Када	kˈadɐ
данас	dˈanɐs
метара	mˈɛtɑrɐ
она	ˈonɐ
којима	kˈojɪmɐ
становника	stˈanovnˌɪkɐ
својим	svˈojɪm
други	drˈuɡɪ
дела	dˈɛlɐ
насељу	nˈasɛʎʊ
Он	ˈon
међу	mˈɛd͡ʑʊ
овом	ˈovom
четири	t͡ʃˈɛtɪrɪ
начин	nˈat͡ʃɪn
града	ɡrˈadɐ
биле	bˈilɛ
свог	svˈoɡ
Као	kˈao
велики	vˈɛlɪkɪ
користи	kˈorɪstɪ
њих	ɲˈih
