һәм	hˈæm
да	dˈɒ
белән	belˈæn
дә	dˈæ
өчен	œɕˈen
дип	dˈip
ул	ˈuɫ
бу	bˈu
бер	bˈer
буенча	buenɕˈɑ
иде	idˈe
Бу	bˈu
генә	ɣenˈæ
бик	bˈik
гына	ʁɯnˈɑ
түгел	tyɣˈel
ук	ˈuq
булган	buɫʁˈɑn
бар	bˈɒr
булып	buɫˈɯp
турында	turɯndˈɑ
инде	indˈe
ел	jˈel
үз	ˈyz
аның	ɒnˈɯŋ
Татарстан	tɒtɒrstˈɑn
алып	ɒɫˈɯp
татар	tɒtˈɒr
зур	zˈur
кеше	keʃˈe
торган	torʁˈɑn
Ул	ˈuɫ
итеп	itˈep
елда	jɯɫdˈɑ
кирәк	kirˈæk
итә	itˈæ
Ә	ˈæ
соң	sˈoŋ
иң	ˈiŋ
күп	kˈyp
шул	ʃˈuɫ
дигән	diɣˈæn
беренче	berenɕˈe
була	buɫˈɑ
икән	ikˈæn
Казан	qɒzˈɒn
алар	ɒɫˈɒr
ике	ikˈe
ТР	tˌeˈer
шулай	ʃuɫˈɑj
кадәр	qɒdˈær
яңа	jɑŋˈɑ
авыл	ɑwˈɯɫ
әле	ælˈe
юк	jˈuq
ә	ˈæ
булды	buɫdˈɯ
башка	bɒʃqˈɒ
аны	ɒnˈɯ
әлеге	æleɣˈe
тә	tˈæ
эш	ˈeʃ
кебек	kebˈek
килә	kilˈæ
арасында	ɒrɒsɯndˈɑ
мең	mˈeŋ
бит	bˈit
тора	torˈɑ
тиеш	tiˈeʃ
төрле	tœrlˈe
хезмәт	xezmˈæt
Россия	rossijˈæ
дәүләт	dæwlˈæt
та	tˈɒ
елның	jɯɫnˈɯŋ
ди	dˈi
халык	xɒɫˈɯq
вакытта	wɒqɯttˈɑ
тагын	tɒʁˈɯn
исә	isˈæ
килеп	kilˈep
Аның	ɒnˈɯŋ
балалар	bɒɫɒɫˈɑr
безнең	beznˈeŋ
килгән	kilɣˈæn
булса	buɫsˈɑ
хәбәр	xæbˈær
итү	itˈy
без	bˈez
ала	ɒɫˈɒ
мин	mˈin
район	rɒjˈon
каршы	qɒrʃˈɯ
мөмкин	mœmkˈin
кабул	qɒbˈuɫ
яхшы	jɑxʃˈɯ
Шулай	ʃuɫˈɑj
ярдәм	jærdˈæm
Бүген	byɣˈen
Алар	ɒɫˈɒr
Русия	rusijˈæ
диде	didˈe
итте	ittˈe
елга	jɯɫʁˈɑ
көнне	kœnnˈe
туры	turˈɯ
сум	sˈum
Әлеге	æleɣˈe
узган	uzʁˈɑn
менә	menˈæ
