'day	daɪ̯
'y	ɪ
aa	ʔaʔɐʔ
aa	ʔɐɐ
aa	ʔɐʔaʔ
aaa	ʔɐʔɐʔaʔ
aaaban	ʔaʔɐʔɐban
aab	ʔɐʔab
aaban	ʔɐʔɐban
aabisuhan	ʔɐɐbɪsuhɐn
aak	ʔɐʔak
aakyat	ʔɐʔɐkjat
aam	ʔɐʔam
aamendyahan	ʔɐʔɐmjendɐhan
aap	ʔaʔɐp
aap	ʔɐʔap
aawat	ʔɐʔawɐt
aba	ʔɐba
aba	ʔɐbaʔ
abad	ʔɐbad
abahin	ʔɐbɐhin
abain	ʔɐbɐʔin
abaka	ʔɐbɐxa
abakada	ʔɐbɐxadɐ
abako	ʔɐbɐxo
abakus	ʔabɐxus
abala	ʔɐbalɐ
abala	ʔɐbɐla
abalahin	ʔɐbɐlahɪn
abaloryo	ʔɐbɐloɾjo
abalos	ʔabɐlos
abanderado	ʔɐbɐndeɾado
abandonado	ʔɐbɐndonado
abang	ʔɐbaŋ
abangan	ʔabaŋɐn
abangan	ʔɐbɐŋan
abaniko	ʔɐbɐnixo
abante	ʔɐbante
abat	ʔɐbat
abatan	ʔabatɐn
abatan	ʔɐbɐtan
abay	ʔabaɪ̯
abay	ʔɐbaɪ̯
abayan	ʔɐbajɐn
abayan	ʔɐbɐjan
abdikasyon	ʔɐbdɪxɐʃon
abdurahman	ʔɐbdʊɾahmɐn
abejuela	ʔɐbehuelɐ
abelgas	ʔɐbelɡɐs
abella	ʔɐbellɐ
abellera	ʔɐbeljeɾɐ
abenida	ʔɐbenidɐ
abentura	ʔɐbentuɾɐ
abenturero	ʔɐbentʊɾeɾo
aber	ʔɐbeɾ
aberya	ʔɐbeɾja
abestrus	ʔɐbestɾus
abilaw	ʔɐbɪlaʊ̯
abilidad	ʔɐbɪlɪdad
abilo	ʔɐbilo
abing	ʔabɪŋ
abiso	ʔɐbiso
abisuhan	ʔɐbɪsuhɐn
abitsuwela	ʔɐbɪt͡ʃʊelɐ
abitsuwelas	ʔɐbɪt͡ʃʊelɐs
abla	ʔablɐ
abla	ʔɐbla
abno	ʔɐbnoʔ
abnormal	ʔɐbnoɾmal
abnormal	ʔɐbnoɾmɐl
abnormalidad	ʔɐbnoɾmɐlɪdad
abnoy	ʔɐbnoɪ̯
abo	ʔɐbo
abobot	ʔɐbobot
abog	ʔɐboɡ
abogada	ʔɐboɰadɐ
abogado	ʔɐboɰado
abogasya	ʔɐboɰɐʃa
abok	ʔɐbok
abokado	ʔɐboxado
abolisyon	ʔɐbolɪʃon
abono	ʔɐbono
aborsiyon	ʔɐboɾʃon
aborsiyonista	ʔɐboɾsɪonistɐ
aborsyonista	ʔɐboɾʃonistɐ
abot	ʔɐbot
aboy	ʔɐboɪ̯
abra	ʔabɾɐ
abrasador	ʔɐbɾɐsɐdoɾ
abrasete	ʔɐbɾɐsete
abrasyete	ʔɐbɾɐʃete
abrazado	ʔɐbɾɐsado
abrelata	ʔɐbɾelatɐ
abrenica	ʔɐbɾenixɐ
abrigo	ʔɐbɾiɰo
abril	ʔɐbɾil
absik	ʔɐbsik
abuab	ʔɐbʊʔab
abubot	ʔɐbubot
abucay	ʔɐbuxaɪ̯
abueg	ʔɐbweɡ
abuhan	ʔabuhɐn
abuhan	ʔɐbʊhan
abuhin	ʔabʊhin
abuhin	ʔɐbʊhin
abukado	ʔɐbʊxado
abukanin	ʔɐbʊxanɪn
abukay	ʔɐbuxaɪ̯
abukay	ʔɐbʊxaɪ̯
abulencia	ʔɐbʊlenʃɐ
abuloy	ʔɐbuloɪ̯
abuluyan	ʔabʊlʊjan
abuluyan	ʔɐbʊlujɐn
aburido	ʔɐbʊɾido
aburido	ʔɐbʊɾɪdo
abusado	ʔɐbʊsado
abuso	ʔɐbuso
abusuhin	ʔɐbʊsuhɪn
abutab	ʔɐbʊtab
abutan	ʔabutɐn
abutan	ʔɐbutɐn
abutan	ʔɐbʊtan
abutin	ʔɐbutɪn
abutin	ʔɐbʊtin
abuwab	ʔɐbwab
abwab	ʔɐbwab
abyad	ʔɐbjad
abyador	ʔɐbjɐdoɾ
abyarin	ʔɐbjɐɾin
abyasyon	ʔɐbjɐʃon
abyog	ʔɐbjoɡ
abyugin	ʔɐbjʊɰin
acebedo	ʔɐsebedo
acierto	ʔɐʃeɾto
acorda	ʔɐxoɾdɐ
acosta	ʔɐxostɐ
acuzar	ʔɐxusɐɾ
acuña	ʔɐxuɲɐ
ada	ʔadɐ
adajar	ʔɐdɐhaɾ
adan	ʔɐdan
adberbiyo	ʔɐdbeɾbɪo
adbiyento	ʔɐdbjento
adbokasiya	ʔɐdboxɐsiɐ
adelanto	ʔɐdelanto
adelpa	ʔɐdelpɐ
adhika	ʔɐdhɪxaʔ
adhikain	ʔɐdhɪxaʔɪn
adidas	ʔɐdidɐs
adik	ʔadɪk
adiksiyon	ʔɐdɪkʃon
adiksyon	ʔɐdɪkʃon
adikto	ʔɐdikto
adisyunal	ʔɐdɪʃʊnal
adlaw	ʔɐdlaʊ̯
adlawan	ʔɐdlawɐn
administrador	ʔɐdmɪnɪstɾɐdoɾ
administrasyon	ʔɐdmɪnɪstɾɐʃon
administratibo	ʔɐdmɪnɪstɾɐtibo
admiral	ʔadmɪɾal
adobe	ʔɐdobe
adobo	ʔɐdobo
adopsiyon	ʔɐdopʃon
adopsyon	ʔɐdopʃon
adorador	ʔɐdoɾɐdoɾ
adorno	ʔɐdoɾno
adres	ʔɐdɾes
adrias	ʔadɾɪɐs
adulto	ʔɐdulto
aduwana	ʔɐdwɐnɐ
adwa	ʔɐdwaʔ
adwana	ʔɐdwanɐ
adya	ʔɐd͡ʒa
adyenda	ʔɐd͡ʒendɐ
adyo	ʔɐd͡ʒo
adyo	ʔɐd͡ʒoʔ
aga	ʔaɰɐ
agaas	ʔaɰɐɐs
agaas	ʔɐɰɐʔas
agad	ʔɐɰad
agahan	ʔɐɰahɐn
agahas	ʔɐɰahɐs
agahas	ʔɐɰɐhas
agalya	ʔɐɰaljɐ
agam	ʔaɰɐm
agamahan	ʔaɰɐmɐhɐn
agap	ʔaɰɐp
agapay	ʔɐɰapaɪ̯
agaran	ʔaɰaɾɐn
agas	ʔaɰɐs
agas	ʔɐɰas
agata	ʔaɰɐta
agatat	ʔɐɰɐtat
agaw	ʔaɰaʊ̯
agaw	ʔɐɰaʊ̯
agbarog	ʔɐɡbaɾoɡ
agbarugan	ʔɐɡbɐɾuɰɐn
agham	ʔɐɡham
aghambuhay	ʔɐɡhambuhaɪ̯
aghamwika	ʔɐɡhamwixɐʔ
aghimo	ʔɐɡhimoʔ
aghimuan	ʔɐɡhimʊɐn
aghimuin	ʔɐɡhimʊɪn
agihap	ʔɐɰihɐp
agila	ʔaɰɪla
agimat	ʔɐɰimɐt
agimatan	ʔɐɰɪmatɐn
agingay	ʔɐɰiŋaɪ̯
agipo	ʔɐɰɪpo
agiw	ʔaɰɪʊ̯
aglahi	ʔɐɡlahɪʔ
agnas	ʔɐɡnas
