ก.	kɔː˧
ก.ค.	kɔː˧.kʰɔː˧
ก.ท.ม.	kɔː˧.tʰɔː˧.mɔː˧
ก.พ.	kɔː˧.pʰɔː˧
ก.ย.	kɔː˧.jɔː˧
กก	kok̚˨˩
กกต.	kɔː˧.kɔː˧.tɔː˧
กกุท	ka˨˩.kut̚˨˩
กกุธภัณฑ์	ka˨˩.kut̚˨˩.tʰa˦˥.pʰan˧
กขค.	kɔː˧.kʰɔː˩˩˦.kʰɔː˧
กง	koŋ˧
กงกาง	koŋ˧.kaːŋ˧
กงการ	koŋ˧.kaːn˧
กงล้อ	koŋ˧.lɔː˦˥
กงศุล	koŋ˧.sun˩˩˦
กงสี	koŋ˧.siː˩˩˦
กงสุล	koŋ˧.sun˩˩˦
กงเวียน	koŋ˧.wia̯n˧
กฎ	kot̚˨˩
กฎข้อบังคับ	kot̚˨˩.kʰɔː˥˩.baŋ˧.kʰap̚˦˥
กฎจราจร	kot̚˨˩.t͡ɕa˨˩.raː˧.t͡ɕɔːn˧
กฎบัตร	kot̚˨˩.bat̚˨˩
กฎมนเทียรบาล	kot̚˨˩.mon˧.tʰia̯n˧.baːn˧
กฎหมาย	kot̚˨˩.maːj˩˩˦
กฎหมายปกครอง	kot̚˨˩.maːj˩˩˦.pok̚˨˩.kʰrɔːŋ˧
กฎหมายมนุษยธรรมระหว่างประเทศ	kot̚˨˩.maːj˩˩˦.ma˦˥.nut̚˦˥.sa˨˩.ja˦˥.tʰam˧.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩
กฎหมายมหาชน	kot̚˨˩.maːj˩˩˦.ma˦˥.haː˩˩˦.t͡ɕʰon˧
กฎหมายระหว่างประเทศ	kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩
กฎหมายระหว่างประเทศแผนกคดีบุคคล	kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩.pʰa˨˩.nɛːk̚˨˩.kʰa˦˥.diː˧.buk̚˨˩.kʰon˧
กฎหมายระหว่างประเทศแผนกคดีเมือง	kot̚˨˩.maːj˩˩˦.ra˦˥.waːŋ˨˩.pra˨˩.tʰeːt̚˥˩.pʰa˨˩.nɛːk̚˨˩.kʰa˦˥.diː˧.mɯa̯ŋ˧
กฎหมายรัฐธรรมนูญ	kot̚˨˩.maːj˩˩˦.rat̚˦˥.tʰa˨˩.tʰam˧.ma˦˥.nuːn˧
กฎหมายเหตุ	kot̚˨˩.maːj˩˩˦.heːt̚˨˩
กฎหมายเอกชน	kot̚˨˩.maːj˩˩˦.ʔeːk̚˨˩.ka˨˩.t͡ɕʰon˧
กฎเกณฑ์	kot̚˨˩.keːn˧
กฏ	kot̚˨˩
กฐิน	ka˨˩.tʰin˩˩˦.na˦˥.,ka˨˩.tʰin˩˩˦,ka˨˩.tʰin˩˩˦.
กด	kot̚˨˩
กดขี่	kot̚˨˩.kʰiː˨˩
กดดัน	kot̚˨˩.dan˧
กตัญญู	ka˨˩.tan˧.juː˧
กติกา	ka˨˩.ti˨˩.kaː˧
กติกาสัญญา	ka˨˩.ti˨˩.kaː˧.san˩˩˦.jaː˧
กตเวที	ka˨˩.ta˨˩.weː˧.tʰiː˧
กถา	ka˨˩.tʰaː˩˩˦
กทม.	kɔː˧.tʰɔː˧.mɔː˧
กนก	ka˨˩.nok̚˨˩
กบ	kɔː˧.bɔː˧,kop̚˨˩
กบฏ	ka˨˩.bot̚˨˩
กบนา	kop̚˨˩.naː˧
กบเลือกนาย	kop̚˨˩.lɯa̯k̚˥˩.naːj˧
กบเหลา	kop̚˨˩.law˩˩˦
กบเหลาดินสอ	kop̚˨˩.law˩˩˦.din˧.sɔː˩˩˦
กบในกะลา	kop̚˨˩.naj˧.ka˨˩.laː˧
กบในกะลาครอบ	kop̚˨˩.naj˧.ka˨˩.laː˧.kʰrɔːp̚˥˩
กบไสไม้	kop̚˨˩.saj˩˩˦.maːj˦˥
กร	kɔːn˧
กรกฎ	kɔː˧.ra˦˥.kot̚˨˩
กรกฎา	ka˨˩.ra˦˥.ka˨˩.daː˧,ka˨˩.rak̚˦˥.ka˨˩.daː˧
กรกฎาคม	ka˨˩.ra˦˥.ka˨˩.daː˧.kʰom˧,ka˨˩.rak̚˦˥.ka˨˩.daː˧.kʰom˧
กรง	kroŋ˧
กรงขัง	kroŋ˧.kʰaŋ˩˩˦
กรงเล็บ	kroŋ˧.lep̚˦˥
กรณี	ka˨˩.ra˦˥.niː˧,kɔː˧.ra˦˥.niː˧
กรณีพิพาท	kɔː˧.ra˦˥.niː˧.pʰi˦˥.pʰaːt̚˥˩,ka˨˩.ra˦˥.niː˧.pʰi˦˥.pʰaːt̚˥˩
กรด	krot̚˨˩
กรน	kron˧
กรม	krom˧,krom˧.,krom˧.ma˦˥.
กรมธรรม	krom˧.ma˦˥.tʰam˧
กรมธรรม์	krom˧.ma˦˥.tʰan˧
กรรตุการก	kan˧.tu˨˩.kaː˧.rok̚˦˥,kat̚˨˩.tu˨˩.kaː˧.rok̚˦˥
กรรปุระ	kan˧.pu˨˩.raʔ˦˥
กรรม	kam˧.ma˦˥.,kam˧
กรรมกร	kam˧.ma˦˥.kɔːn˧
กรรมการ	kam˧.ma˦˥.kaːn˧
กรรมการก	kam˧.ma˦˥.kaː˧.rok̚˦˥
กรรมตามสนอง	kam˧.taːm˧.sa˨˩.nɔːŋ˩˩˦
กรรมวาจก	kam˧.ma˦˥.waː˧.t͡ɕok̚˨˩
กรรมสาร	kam˧.ma˦˥.saːn˩˩˦
กรรมาชีพ	kan˧.maː˧.t͡ɕʰiːp̚˥˩,kam˧.maː˧.t͡ɕʰiːp̚˥˩
กรรเชียง	kan˧.t͡ɕʰia̯ŋ˧
กรรโชก	kan˧.t͡ɕʰoːk̚˥˩
กรรไกร	kan˧.kraj˧
กรรไกรตัดเล็บ	kan˧.kraj˧.tat̚˨˩.lep̚˦˥
กรรไกรเล็ก	kan˧.kraj˧.lek̚˦˥
กรวด	krua̯t̚˨˩
กรวย	krua̯j˧
กรอ	krɔː˧
กรอก	krɔːk̚˨˩
กรอง	krɔːŋ˧
กรอบ	krɔːp̚˨˩
กระ	kraʔ˨˩
กระจก	kra˨˩.t͡ɕok̚˨˩
กระจกตา	kra˨˩.t͡ɕok̚˨˩.taː˧
กระจกนาฬิกา	kra˨˩.t͡ɕok̚˨˩.naː˧.li˦˥.kaː˧
กระจกเงา	kra˨˩.t͡ɕok̚˨˩.ŋaw˧
กระจง	kra˨˩.t͡ɕoŋ˧
กระจอก	kra˨˩.t͡ɕɔːk̚˨˩
กระจอกเทศ	kra˨˩.t͡ɕɔːk̚˨˩.tʰeːt̚˥˩
กระจับ	kra˨˩.t͡ɕap̚˨˩
กระจับปี่	kra˨˩.t͡ɕap̚˨˩.piː˨˩
กระจาด	kra˨˩.t͡ɕaːt̚˨˩
กระจาย	kra˨˩.t͡ɕaːj˧
กระจุก	kra˨˩.t͡ɕuk̚˨˩
กระจุกดาวลูกไก่	kra˨˩.t͡ɕuk̚˨˩.daːw˧.luːk̚˥˩.kaj˨˩
กระชอน	kra˨˩.t͡ɕʰɔːn˧
กระชาก	kra˨˩.t͡ɕʰaːk̚˥˩
กระชาย	kra˨˩.t͡ɕʰaːj˧
กระซิบ	kra˨˩.sip̚˦˥
กระซู่	kra˨˩.suː˥˩
กระดอ	kra˨˩.dɔː˧
กระดอง	kra˨˩.dɔːŋ˧
กระดังงา	kra˨˩.daŋ˧.ŋaː˧
กระดาน	kra˨˩.daːn˧,kra˧.daːn˧
กระดานชนวน	kra˨˩.daːn˧.t͡ɕʰa˦˥.nua̯n˧,kra˧.daːn˧.t͡ɕʰa˦˥.nua̯n˧
กระดานดำ	kra˨˩.daːn˧.dam˧
กระดานถีบ	kra˨˩.daːn˧.tʰiːp̚˨˩
