we	βˈe
bilen	bˈilen
Türkmenistanyň	tˌørkmœnøθθˈɑnɯŋ
boýunça	bojˈʊnt͡ʃo
üçin	ˈøt͡ʃøn
hem	hˈem
bu	bˈʊː
döwlet	dˈœβlœt
Bu	bˈʊː
bolan	bˈoɫon
tarapyndan	tˌɑrɑpˈɯnnɑn
milli	mˈilli
halkara	xɑɫqˈɑːrɑ
uly	ˈʊɫʊ
bolup	bˈoɫʊp
bolsa	bˈoɫθo
bir	bˈir
amala	ɑmˈɑɫɑ
täze	tˈæːðe
Döwlet	dˈœβlœt
ýokary	joqˈorʊ
ýerine	jerˈine
öz	ˈœːð
onuň	ˈonʊŋ
barada	bɑrˈɑdɑ
Prezidentimiz	prˌeðidentˈimið
türkmen	tˈørkmœn
şu	ʃˈʊ
ýurdumyzyň	jˌʊrdʊmˈʊðʊŋ
degişli	deʁˈiʃli
Gurbanguly	ɡˌʊrβonʁˈʊɫʊ
ýaly	jˈɑːɫɯ
şeýle	ʃˈejle
beýleki	bejlˈeki
üpjün	øpd͡ʒˈøn
ähli	ˈæːhli
ýylyň	jˈɯɫɯŋ
iş	ˈiːʃ
şol	ʃˈoɫ
daşary	dɑʃˈɑrɯ
sport	θpˈort
etmek	etmˈek
hormatly	xormˈotɫʊ
laýyklykda	ɫˌɑjɯqɫˈɯqdɑ
Şu	ʃˈʊ
olaryň	oɫˈorʊŋ
öňünde	œŋˈønnœ
boldy	bˈoɫɫʊ
möhüm	mˈœhøm
ýerde	jˈerde
Baştutanymyz	bˌɑʃtʊtonˈʊmɯð
kabul	qˈɑβʊɫ
edýär	ˈedjæːr
alnyp	ˈɑɫnɯp
Hormatly	xormˈotɫʊ
berdi	bˈerdi
göz	ɡˈœːð
Şeýle	ʃˈejle
Milli	mˈilli
dürli	dˈørlø
esasy	eθˈɑːθɯ
Berdimuhamedow	bˌerdimˌʊxomˈedoβ
durýar	dˈʊrjɑr
aýratyn	ɑjrˈɑtɯn
Liderimiz	lˌiderˈimið
hakynda	xɑqˈɯnnɑ
häzirki	hæːðˈirki
iň	ˈiŋ
