ve	vɛ
bir	bˈɪr
olarak	oɫaɾˈak
ile	ˌilɛ
için	it͡ʃˈɪn
da	da
bu	bˈʊ
Bu	bˈʊ
de	dɛ
olan	oɫˈan
sonra	sɔnrˈa
daha	dahˈa
tarafından	taɾafɯndˈan
en	ˈæn
ilk	ˈɪlk
çok	t͡ʃˈɔk
ise	ˈise
iki	ikˈɪ
gibi	ɟibˈɪ
büyük	byjˈøk
kadar	kadˈar
yılında	jɯɫɯndˈa
yer	jˈɛr
oldu	ɔɫdˈʊ
olduğu	ɔɫdˈʊː
veya	vejˌa
göre	ɟœɾˈɛ
arasında	aɾasɯndˈa
km	kˌɛmˈɛ
her	hˈɛr
ya	jˈa
diğer	dijˈɛr
birlikte	bɪrlɪktˈɛ
aynı	ajnˈɯ
etti	etːˈɪ
vardır	vˈardɯr
yeni	jenˈɪ
karşı	karʃˈɯ
önemli	œnæmlˈɪ
ancak	and͡ʒˈak
yıl	jˈɯɫ
olduğunu	ɔɫduːnˈʊ
şekilde	ʃekɪldˈɛ
aldı	aɫdˈɯ
içinde	it͡ʃɪndˈɛ
bulunan	buɫunˈan
önce	ˈœnd͡ʒɛ
birçok	bɪrt͡ʃˈɔk
adı	adˈɯ
başladı	bˈaʃɫadɯ
son	sˈɔn
adlı	adɫˈɯ
Ancak	and͡ʒˈak
üzerine	yzeɾinˈɛ
devam	devˈam
Bir	bˈɪr
Ayrıca	ajrɯd͡ʒˈa
kabul	kabˈʊɫ
olmuştur	ɔɫmˈʊʃtʊr
zaman	zamˈan
kendi	kændˈɪ
fazla	fˈazɫa
farklı	farkɫˈɯ
tüm	tˈøm
tarihinde	taɾihɪndˈɛ
üç	ˈøt͡ʃ
in	ˈɪn
iyi	ijˈi
sahip	sahˈɪp
alan	aɫˈan
üzere	yzeɾˈɛ
yüksek	jˈøksɛk
eski	ɛskˈɪ
tek	tˈɛk
nüfusu	nyfusˈʊ
nin	nˈɪn
geri	ɟeɾˈɪ
bazı	bazˈɯ
gelen	ɟelˈæn
üzerinde	yzeɾɪndˈɛ
ikinci	ikɪnd͡ʒˈɪ
hem	hˈæm
bulunmaktadır	buɫʊnmaktˈadɯr
yaptı	japtˈɯ
sadece	sadˈed͡ʒɛ
ortaya	ɔrtajˈa
o	ˈɔ
küçük	kyt͡ʃˈøk
kez	kˈɛz
biri	biɾˈɪ
yapılan	japɯɫˈan
Daha	dahˈa
çeşitli	t͡ʃeʃɪtlˈɪ
nın	nˈɯn
zamanda	zamandˈa
boyunca	bojʊnd͡ʒˈa
eden	ɛdˈen
olup	oɫˈʊp
uzaklıktadır	uzakɫɯktˈadɯr
olmak	ɔɫmˈak
ın	ˈɯn
eder	edˈɛr
ne	nˈɛ
Türk	tˈørk
süre	syɾˈɛ
İlk	ˈɪlk
rağmen	raːmˈæn
yeniden	jenidˈæn
ardından	ardɯndˈan
yaklaşık	jakɫaʃˈɯk
nedeniyle	nedenˈɪjlɛ
uzun	uzˈʊn
bağlı	baːɫˈɯ
sırasında	sɯɾasɯndˈa
onu	onˈʊ
doğru	doːɾˈʊ
yerine	jeɾinˈɛ
az	ˈaz
gün	ɟˈøn
başka	baʃkˈa
kişi	kiʃˈɪ
edildi	edɪldˈɪ
kısa	kˈɯsa
onun	onˈʊn
özel	œzˈæl
ilgili	ɪlɟilˈɪ
genellikle	ɟenællˈɪklɛ
yılı	jɯɫˈɯ
elde	ældˈɛ
ama	ˈama
olması	ɔɫmasˈɯ
olur	oɫˈʊr
görev	ɟœɾˈɛv
ilçesine	ɪlt͡ʃesinˈɛ
altında	aɫtɯndˈa
yaptığı	japtɯɯˈɯ
tarihi	taɾihˈɪ
sahiptir	sahˈɪptɪr
merkezine	mɛrkezinˈɛ
almıştır	aɫmˈɯʃtɯr
birkaç	bɪrkˈat͡ʃ
tekrar	tɛkrˈar
a	ˈa
The	thˈɛ
dört	dˈœrt
En	ˈæn
ana	anˈa
edilen	edilˈæn
hakkında	hakːɯndˈa
Kasım	kˈasɯm
