ۋە	wˈæ
بىر	bˈɪr
بۇ	bˈu
بىلەن	bˈɪlæn
ئۇ	ˈu
دەپ	dˈæp
بولغان	bˈolʁɑn
ياكى	jˈɑkɪ
ئۇنىڭ	ˈunɪŋ
ئۈچۈن	ˈyt͡ʃyn
ئۇيغۇر	ˈujʁur
ئەڭ	ˈæŋ
بولۇپ	bˈolup
بولىدۇ	bolˈɪdu
بار	bˈɑr
مەن	mˈæn
يەنە	jˈænæ
ھەر	hˈær
ئۆز	ˈœz
ئىككى	ˈɪkkɪ
قىلغان	qˈɪlʁɑn
شۇ	ʃˈu
باشقا	bˈɑʃqɑ
ئىدى	ˈɪdɪ
كېيىن	kˈejɪn
قىلىپ	qˈɪlɪp
دېگەن	dˈeɡæn
كۆپ	kˈœp
بولسا	bˈolsɑ
چوڭ	t͡ʃˈoŋ
يىلى	jˈɪlɪ
خىل	χˈɪl
قاتارلىق	qɑtˈɑrlɪq
قىلىش	qˈɪlɪʃ
ئېلىپ	ˈelɪp
بويىچە	bojˈɪt͡ʃæ
كەلگەن	kˈælɡæn
ئارقىلىق	ɑrqˈɪlɪq
ئۇلار	ˈulɑr
مىڭ	mˈɪŋ
قىلىدۇ	qɪlˈɪdu
بىز	bˈɪz
ئىچىدە	ɪt͡ʃˈɪdæ
ئىگە	ˈɪɡæ
ئۇنى	ˈunɪ
كېرەك	kˈeɾæk
خەلق	χˈælq
ياخشى	jˈɑχʃɪ
قانداق	qˈɑndɑq
قىلىنغان	qɪlˈɪnʁɑn
يەر	jˈær
ئوخشاش	ˈoχʃɑʃ
ئەمەس	ˈæmæs
ئۇلارنىڭ	ulˈɑrnɪŋ
ناھايىتى	nˌɑhɑjˈɪtɪ
ئادەم	ˈɑdæm
بىرى	bˈɪɾɪ
مۇھىم	mˈuhɪm
سىز	sˈɪz
ھەم	hˈæm
دۆلەت	dˈœlæt
يىل	jˈɪl
ئەگەر	ˈæɡær
قېتىم	qˈetɪm
يېڭى	jˈeŋɪ
پەقەت	pˈæqæt
ھازىر	hˈɑzɪr
كىشى	kˈɪʃɪ
قالغان	qˈɑlʁɑn
ئۆزىنىڭ	œzˈɪnɪŋ
ئەمما	ˈæmmɑ
پۈتۈن	pˈytyn
يۇقىرى	juqˈɪɾɪ
ھەمدە	hˈæmdæ
تەرىپىدىن	tˌæɾɪpˈɪdɪn
نۇرغۇن	nˈurʁun
ئۈچ	ˈyt͡ʃ
باش	bˈɑʃ
مۇشۇ	mˈuʃu
نىڭ	nˈɪŋ
كىشىلەر	kɪʃˈɪlær
ئىنتايىن	ɪntˈɑjɪn
ئوتتۇرا	ottˈuɾɑ
بولدى	bˈoldɪ
تىل	tˈɪl
تىلى	tˈɪlɪ
قىلدى	qˈɪldɪ
يوق	jˈoq
