а	ɑ
аб'юрація	ɐbjʊrɑt͡sʲijɐ
абажур	ɐbɐʒur
абажурчик	ɐbɐʒurt͡ʃek
абаз	ɐbɑz
абазин	ɐbɐzɪn
абазинець	ɐbɐzɪnet͡sʲ
абазинка	ɐbɐzɪnkɐ
абазія	ɐbɑzʲijɐ
абак	ɐbɑk
абака	ɐbɑkɐ
абандон	ɐbɐndɔn
абат	ɐbɑt
абатиса	ɐbɐtɪsɐ
абатство	ɐbɑt͡stwɔ
абвер	ɑbʋer
абдикація	ɐbdekɑt͡sʲijɐ
абдомінопластика	ɐbdɔmʲinɔpɫɑstekɐ
аберація	ɐberɑt͡sʲijɐ
абетка	ɐbɛtkɐ
абеткування	ɐbetkʊʋɑnʲːɐ
абзац	ɐbzɑt͡s
аби	ɐbɪ
абиде	ɐbɪde
абиколи	ɐbɪkɔɫe
абикуди	ɐbɪkʊde
абихто	ɐbɪxtɔ
абичого	ɐbɪt͡ʃɔɦɔ
абищиця	ɐbɪʃt͡ʃet͡sʲɐ
абищо	ɐbɪʃt͡ʃɔ
абияк	ɐbɪjɐk
аблактування	ɐbɫɐktʊʋɑnʲːɐ
абластика	ɐbɫɑstekɐ
аблатив	ɐbɫɐtɪu̯
абляція	ɐblʲɑt͡sʲijɐ
або	ɐbɔ
аболіціонізм	ɐbɔlʲit͡sʲionʲizm
аболіціоніст	ɐbɔlʲit͡sʲionʲist
аболіція	ɐbolʲit͡sʲijɐ
абонемент	ɐbɔnemɛnt
абонент	ɐbɔnɛnt
абонентка	ɐbɔnɛntkɐ
абонування	ɐbɔnʊʋɑnʲːɐ
абордаж	ɐbɔrdɑʒ
абориген	ɐbɔreɦɛn
аборигенка	ɐbɔreɦɛnkɐ
аборт	ɐbɔrt
абортування	ɐbɔrtʊʋɑnʲːɐ
абортувати	ɐbɔrtʊʋɑte
абразив	ɐbrɐzɪu̯
абразивність	ɐbrɐzɪu̯nʲisʲtʲ
абразія	ɐbrɑzʲijɐ
абракадабра	ɐbrɐkɐdɑbrɐ
абракадабризм	ɐbrɐkɐdɐbrɪzm
абревіатура	ɐbreʋʲiɐturɐ
абревіація	ɐbreʋʲiɑt͡sʲijɐ
абреже	ɐbreʒɛ
абрек	ɐbrɛk
абрикос	ɐbrekɔs
абрикоса	ɐbrekɔsɐ
абрикосник	ɐbrekɔsnek
абрикосівка	ɐbrekɔsʲiu̯kɐ
абрикотин	ɐbrekɔtɪn
абрис	ɑbres
аброгація	ɐbrɔɦɑt͡sʲijɐ
абруптив	ɐbrʊptɪu̯
абсанс	ɐbsɑns
абсент	ɐbsɛnt
абсентеїзм	ɐbsentejizm
абсида	ɐbsɪdɐ
абсолют	ɐbsolʲut
абсолютизація	ɐbsɔlʲʊtezɑt͡sʲijɐ
абсолютизм	ɐbsɔlʲʊtɪzm
абсолютизування	ɐbsɔlʲʊtezʊʋɑnʲːɐ
абсолютист	ɐbsɔlʲʊtɪst
абсолютистка	ɐbsɔlʲʊtɪstkɐ
абсолютний	ɐbsolʲutnei̯
абсолютно	ɐbsolʲutnɔ
абсолютність	ɐbsolʲutʲnʲisʲtʲ
абсолюція	ɐbsolʲut͡sʲijɐ
абсорбент	ɐbsɔrbɛnt
абсорбер	ɐbsɔrber
абсорбування	ɐbsɔrbʊʋɑnʲːɐ
абсорбціометр	ɐbsɔrbt͡sʲiɔmetr
абсорбція	ɐbsɔrbt͡sʲijɐ
абстинент	ɐbstenɛnt
абстинентка	ɐbstenɛntkɐ
абстиненція	ɐbstenɛnʲt͡sʲijɐ
абстрагованість	ɐbstrɐɦɔʋɐnʲisʲtʲ
абстрагування	ɐbstrɐɦʊʋɑnʲːɐ
абстракт	ɐbstrɑkt
абстрактний	ɐbstrɑktnei̯
абстрактність	ɐbstrɑktʲnʲisʲtʲ
абстракціонізм	ɐbstrɐkt͡sʲionʲizm
абстракціоніст	ɐbstrɐkt͡sʲionʲist
абстракціоністка	ɐbstrɐkt͡sʲionʲistkɐ
абстракція	ɐbstrɑkt͡sʲijɐ
абсурд	ɐbsurd
абсурдизм	ɐbsʊrdɪzm
абсурдист	ɐbsʊrdɪst
абсурдистка	ɐbsʊrdɪstkɐ
абсурдний	ɐbsurdnei̯
абсурдно	ɐbsurdnɔ
абсурдність	ɐbsurdʲnʲisʲtʲ
абсцес	ɐbst͡sɛs
абсциса	ɐbst͡sɪsɐ
абузус	ɐbuzʊs
абулія	ɐbʊlʲijɐ
абхаз	ɐbxɑz
абхазець	ɐbxɑzet͡sʲ
абхазка	ɐbxɑzkɐ
абшит	ɐbʃɪt
абіогенез	ɐbʲiɔɦenɛz
абісаль	ɐbʲisɑlʲ
абіссінець	ɐbʲisʲːinet͡sʲ
абіссінка	ɐbʲisʲːinkɐ
абітурієнт	ɐbʲitʊrʲijɛnt
абітурієнтка	ɐbʲitʊrʲijɛntkɐ
аваль	ɐʋɑlʲ
аваліст	ɐʋɐlʲist
авангард	ɐʋɐnɦɑrd
авангардизм	ɐʋɐnɦɐrdɪzm
авангардист	ɐʋɐnɦɐrdɪst
аванзал	ɐʋɐnzɑɫ
аванкамера	ɐʋɐnkɑmerɐ
аванложа	ɐʋɐnɫɔʒɐ
аванпорт	ɐʋɐnpɔrt
аванпост	ɐʋɐnpɔst
аванс	ɐʋɑns
авансик	ɐʋɑnsek
авансодавець	ɐʋɐnsɔdɑʋet͡sʲ
авансотримач	ɐʋɐnsɔtremɑt͡ʃ
авансоутримувач	ɐʋɐnsɔʊtrɪmʊʋɐt͡ʃ
авансування	ɐʋɐnsʊʋɑnʲːɐ
авансцена	ɐʋɐnst͡sɛnɐ
авантитул	ɐʋɐntɪtʊɫ
авантура	ɐʋɐnturɐ
авантурник	ɐʋɐnturnek
авантурниця	ɐʋɐnturnet͡sʲɐ
авантюра	ɐʋɐnʲtʲurɐ
авантюризм	ɐʋɐnʲtʲʊrɪzm
авантюрин	ɐʋɐnʲtʲʊrɪn
авантюрист	ɐʋɐnʲtʲʊrɪst
авантюристка	ɐʋɐnʲtʲʊrɪstkɐ
авантюрник	ɐʋɐnʲtʲurnek
авантюрниця	ɐʋɐnʲtʲurnet͡sʲɐ
авантюрність	ɐʋɐnʲtʲurnʲisʲtʲ
авар	ɐʋɑr
аварець	ɐʋɑret͡sʲ
аварка	ɐʋɑrkɐ
аварійний	ɐʋɐrʲii̯nei̯
аварійник	ɐʋɐrʲii̯nek
аварійність	ɐʋɐrʲii̯nʲisʲtʲ
аварія	ɐʋɑrʲijɐ
авгур	ɐu̯ɦur
август	ɑu̯ɦʊst
августа	ɐu̯ɦustɐ
авгіт	ɐu̯ɦʲit
авгіїв	ɐu̯ɦʲijiu̯
авгіїв	ɑu̯ɦʲijiu̯
авдитор	ɐu̯dɪtɔr
авдиторія	ɐu̯detɔrʲijɐ
авеню	ɐʋenʲu
аверс	ɑʋers
авлос	ɐu̯ɫɔs
аво	ɑwɔ
авокадо	ɐwɔkɑdɔ
аврал	ɐu̯rɑɫ
авран	ɐu̯rɑn
аврикула	ɐu̯rɪkʊɫɐ
аврора	ɐu̯rɔrɐ
австралопітек	ɐu̯strɐɫɔpʲitɛk
австралоїд	ɐu̯strɐɫɔjid
австралійка	ɐu̯strɐlʲii̯kɐ
австралійська	ɐu̯strɐlʲii̯sʲkɐ
австралійський	ɐu̯strɐlʲii̯sʲkei̯
австралійці	ɐu̯strɐlʲii̯t͡sʲi
австралія	ɐu̯strɑlʲijɐ
австралієць	ɐu̯strɐlʲijet͡sʲ
австромарксист	ɐu̯strɔmɐrksɪst
австрофіл	ɐu̯strofʲiɫ
австрійка	ɐu̯stʲrʲii̯kɐ
австрійський	ɐu̯stʲrʲii̯sʲkei̯
австрія	ɑu̯stʲrʲijɐ
австріяк	ɐu̯stʲrʲijɑk
австріячка	ɐu̯stʲrʲijɑt͡ʃkɐ
австрієць	ɐu̯stʲrʲijet͡sʲ
автаркізм	ɐu̯tɐrkʲizm
автаркія	ɐu̯tɑrkʲijɐ
автентика	ɐu̯tɛntekɐ
автентифікація	ɐu̯tentefʲikɑt͡sʲijɐ
автентичний	ɐu̯tentɪt͡ʃnei̯
автентичність	ɐu̯tentɪt͡ʃnʲisʲtʲ
авто	ɐu̯tɔ
автоаерозапчастина	ɐu̯tɔɐerɔzɐpt͡ʃɐstɪnɐ
автоалієнація	ɐu̯tɔɐlʲijenɑt͡sʲijɐ
автоаматор	ɐu̯tɔɐmɑtɔr
автоаматорка	ɐu̯tɔɐmɑtɔrkɐ
автоамфібія	ɐu̯tɔɐmfʲibʲijɐ
автоапологія	ɐu̯tɔɐpɔɫɔɦʲijɐ
автобаза	ɐu̯tɔbɑzɐ
автобальзам	ɐu̯tɔbɐlʲzɑm
автобан	ɐu̯tɔbɑn
автобатальйон	ɐu̯tɔbɐtɐlʲjɔn
автобензовоз	ɐu̯tɔbenzɔwɔz
автобензоцистерна	ɐu̯tɔbenzɔt͡sestɛrnɐ
автобетономішалка	ɐu̯tɔbetɔnɔmʲiʃɑɫkɐ
автоблокування	ɐu̯tɔbɫɔkʊʋɑnʲːɐ
автобудування	ɐu̯tɔbʊdʊʋɑnʲːɐ
автобудівник	ɐu̯tɔbʊdʲiu̯nɪk
автобус	ɐu̯tɔbʊs
автобусик	ɐu̯tɔbʊsek
автобусна	ɐu̯tɔbʊsnɐ
автобусний	ɐu̯tɔbʊsnei̯
автобіограф	ɐu̯tɔbʲiɔɦrɐf
автобіографічність	ɐu̯tɔbʲiɔɦrɐfʲit͡ʃnʲisʲtʲ
автобіографія	ɐu̯tɔbʲiɔɦrɑfʲijɐ
автовага	ɐu̯tɔʋɐɦɑ
автовагон	ɐu̯tɔʋɐɦɔn
автовакцина	ɐu̯tɔʋɐkt͡sɪnɐ
автовантажник	ɐu̯tɔʋɐntɑʒnek
автовеломотогонки	ɑu̯tɔʋɛɫɔmɔtɔɦɔnke
автовиробник	ɐu̯tɔʋerɔbnɪk
автовласник	ɐu̯tɔu̯ɫɑsnek
автоводоцистерна	ɐu̯tɔwɔdɔt͡sestɛrnɐ
автоводій	ɐu̯tɔwodʲii̯
автовокзал	ɐu̯tɔwɔɡzɑɫ
автовідповідач	ɐu̯tɔʋʲidpɔʋʲidɑt͡ʃ
автовізок	ɐu̯tɔʋʲizɔk
автогальмо	ɐu̯tɔɦɐlʲmɔ
автогараж	ɐu̯tɔɦɐrɑʒ
автогемотерапія	ɐu̯tɔɦemɔterɐpʲijɐ
автоген	ɐu̯tɔɦɛn
автогенез	ɐu̯tɔɦenɛz
автогенник	ɐu̯tɔɦɛnːek
автодидакт	ɐu̯tɔdedɑkt
автократія	ɐu̯tɔkrɑtʲijɐ
автоматизація	ɐu̯tɔmɐtezɑt͡sʲijɐ
автоматизувати	ɐu̯tɔmɐtezʊʋɑte
автоматична	ɐu̯tɔmɐtɪt͡ʃnɐ
автоматичний	ɐu̯tɔmɐtɪt͡ʃnei̯
автоматично	ɐu̯tɔmɐtɪt͡ʃnɔ
автомобіль	ɐu̯tɔmobʲilʲ
автомобільна	ɐu̯tɔmobʲilʲnɐ
автомобільний	ɐu̯tɔmobʲilʲnei̯
автомобіліст	ɐu̯tɔmɔbʲilʲist
автомобілістка	ɐu̯tɔmɔbʲilʲistkɐ
автопортрет	ɐu̯tɔpɔrtrɛt
автор	ɑu̯tɔr
автореференція	ɑu̯tɔreferɛnʲt͡sʲijɐ
авторизувати	ɐu̯tɔrezʊʋɑte
авторство	ɑu̯tɔrstwɔ
автостоянка	ɐu̯tɔstɔjɑnkɐ
авіабаза	ɐʋʲiɐbɑzɐ
авіабензин	ɐʋʲiɐbenzɪn
авіабомба	ɐʋʲiɐbɔmbɐ
авіабудування	ɐʋʲiɐbʊdʊʋɑnʲːɐ
авіабудівник	ɐʋʲiɐbʊdʲiu̯nɪk
авіабудівництво	ɐʋʲiɐbʊdʲiu̯nɪt͡stwɔ
авіабілет	ɐʋʲiɐbʲiɫɛt
авіавдар	ɐʋʲiɐu̯dɑr
авіавиставка	ɐʋʲiɐʋɪstɐu̯kɐ
авіагармата	ɐʋʲiɐɦɐrmɑtɐ
авіагоризонт	ɐʋʲiɐɦɔrezɔnt
авіагосподарство	ɐʋʲiɐɦɔspɔdɑrstwɔ
авіадвигун	ɐʋʲiɐdʋeɦun
авіадесант	ɐʋʲiɐdesɑnt
авіадесантник	ɐʋʲiɐdesɑntnek
авіадесантування	ɐʋʲiɐdesɐntʊʋɑnʲːɐ
авіадивізія	ɐʋʲiɐdeʋʲizʲijɐ
авіадиспетчер	ɐʋʲiɐdespɛt͡ʃːer
авіаекспрес	ɐʋʲiɐeksprɛs
авіаескадрилья	ɐʋʲiɐeskɐdrɪlʲjɐ
авіаз'єднання	ɐʋʲiɐzjɛdnɐnʲːɐ
авіазавод	ɐʋʲiɐzɐwɔd
авіазагін	ɐʋʲiɐzɐɦʲin
авіазасіб	ɐʋʲiɐzɑsʲib
авіазв'язок	ɐʋʲiɐzʋjɐzɔk
авіакаса	ɐʋʲiɐkɑsɐ
авіакатастрофа	ɐʋʲiɐkɐtɐstrɔfɐ
авіаквиток	ɐʋʲiɐkʋetɔk
авіаклуб	ɐʋʲiɐkɫub
авіаколедж	ɐʋʲiɐkɔɫed͡ʒ
авіакомпанія	ɐʋʲiɐkɔmpɑnʲijɐ
авіакомплекс	ɐʋʲiɐkɔmpɫeks
авіаконструктор	ɐʋʲiɐkonstruktɔr
авіаконструювання	ɐʋʲiɐkɔnstrʊjʊʋɑnʲːɐ
авіалайнер	ɐʋʲiɐɫɑi̯ner
авіаль	ɐʋʲiɑlʲ
авіалінія	ɐʋʲiɐlʲinʲijɐ
авіамайстерня	ɐʋʲiɐmɐi̯stɛrnʲɐ
авіаматка	ɐʋʲiɐmɑtkɐ
авіамаяк	ɐʋʲiɐmɐjɑk
авіаметеослужба	ɐʋʲiɐmeteosɫuʒbɐ
авіаметеостанція	ɐʋʲiɐmeteɔstɑnʲt͡sʲijɐ
авіамеханік	ɐʋʲiɐmexɑnʲik
авіамодель	ɐʋʲiɐmɔdɛlʲ
авіамоделізм	ɐʋʲiɐmɔdelʲizm
авіамоделіст	ɐʋʲiɐmɔdelʲist
авіамотор	ɐʋʲiɐmɔtɔr
авіамоторобудування	ɐʋʲiɐmɔtɔrɔbʊdʊʋɑnʲːɐ
авіаносець	ɐʋʲiɐnɔset͡sʲ
авіаобприскування	ɐʋʲiɐɔbprɪskʊʋɐnʲːɐ
авіаобприскувач	ɐʋʲiɐɔbprɪskʊʋɐt͡ʃ
авіаобробка	ɐʋʲiɐɔbrɔbkɐ
авіапарк	ɐʋʲiɐpɑrk
авіапасажир	ɐʋʲiɐpɐsɐʒɪr
авіапатруль	ɐʋʲiɐpɐtrulʲ
авіапатрулювання	ɐʋʲiɐpɐtrʊlʲʊʋɑnʲːɐ
авіаперевезення	ɐʋʲiɐpereʋɛzenʲːɐ
авіаперевізник	ɐʋʲiɐpereʋʲiznek
авіапереліт	ɐʋʲiɐperelʲit
авіаподорож	ɐʋʲiɐpɔdɔrɔʒ
авіаполк	ɐʋʲiɐpɔɫk
авіаполіт	ɐʋʲiɐpolʲit
авіапорт	ɐʋʲiɐpɔrt
авіапошта	ɐʋʲiɐpɔʃtɐ
авіапромисловість	ɐʋʲiɐprɔmesɫɔʋʲisʲtʲ
авіапідживлення	ɐʋʲiɐpʲid͡ʒɪu̯ɫenʲːɐ
авіапідприємство	ɐʋʲiɐpʲidprejɛmstwɔ
авіаракетобудування	ɐʋʲiɐrɐketɔbʊdʊʋɑnʲːɐ
авіарейд	ɐʋʲiɐrɛi̯d
авіарейс	ɐʋʲiɐrɛi̯s
авіарозвідка	ɐʋʲiɐrɔzʲʋʲidkɐ
авіарозвідування	ɐʋʲiɐrɔzʲʋʲidʊʋɐnʲːɐ
авіасалон	ɐʋʲiɐsɐɫɔn
авіасекстант	ɐʋʲiɐsekstɑnt
авіасервіс	ɐʋʲiɐsɛrʋʲis
авіасполучення	ɐʋʲiɐspoɫut͡ʃenʲːɐ
авіаспорт	ɐʋʲiɐspɔrt
авіатехнік	ɐʋʲiɐtɛxnʲik
авіатехніка	ɐʋʲiɐtɛxnʲikɐ
авіатика	ɐʋʲiɑtekɐ
авіатор	ɐʋʲiɑtɔr
авіаторпеда	ɐʋʲiɐtɔrpɛdɐ
авіатравма	ɐʋʲiɐtrɑu̯mɐ
авіатранспорт	ɐʋʲiɐtrɑnspɔrt
авіатраса	ɐʋʲiɐtrɑsɐ
авіаудар	ɐʋʲiɐʊdɑr
авіаучилище	ɐʋʲiɐʊt͡ʃɪɫeʃt͡ʃe
авіафауна	ɐʋʲiɐfɑʊnɐ
авіафахівець	ɐʋʲiɐfɐxʲiʋɛt͡sʲ
авіахім	ɐʋʲiɐxʲim
авіахімовець	ɐʋʲiɐxʲimɔʋet͡sʲ
авіаційник	ɐʋʲiɐt͡sʲii̯nek
авіація	ɐʋʲiɑt͡sʲijɐ
авіачастина	ɐʋʲiɐt͡ʃɐstɪnɐ
авіашкола	ɐʋʲiɐʃkɔɫɐ
авіашоу	ɐʋʲiɐʃɔʊ
авіз	ɐʋʲiz
авізо	ɐʋʲizɔ
авізування	ɐʋʲizʊʋɑnʲːɐ
авіста	ɐʋʲistɐ
авітаміноз	ɐʋʲitɐmʲinɔz
авіфауна	ɐʋʲifɑʊnɐ
авієтка	ɐʋʲijɛtkɐ
агава	ɐɦɑʋɐ
агентство	ɐɦɛnstwɔ
агенція	ɐɦɛnʲt͡sʲijɐ
агнеса	ɐɦnɛsɐ
аграрний	ɐɦrɑrnei̯
агресивний	ɐɦresɪu̯nei̯
агресивність	ɐɦresɪu̯nʲisʲtʲ
агресор	ɐɦrɛsɔr
агресія	ɐɦrɛsʲijɐ
агролісівництво	ɐɦrɔlʲisʲiu̯nɪt͡stwɔ
ад'ютант	ɐdjʊtɑnt
ад'єктивація	ɐdjekteʋɑt͡sʲijɐ
адаптація	ɐdɐptɑt͡sʲijɐ
адаптувати	ɐdɐptʊʋɑte
адвокат	ɐdwɔkɑt
адекватний	ɐdekʋɑtnei̯
аденозин	ɐdenɔzɪn
адепт	ɐdɛpt
адміністративний	ɐdʲmʲinʲistrɐtɪu̯nei̯
адміністратор	ɐdʲmʲinʲistrɑtɔr
адміністрація	ɐdʲmʲinʲistrɑt͡sʲijɐ
