کے	keː
کی	ki
میں	mˈẽ
سے	seː
نے	neː
کا	kaː
اور	ɔr
کو	kˈoː
پر	pˈʌr
کہ	ke
ہے	hɛ
کر	kar
اس	ɪs
بھی	bʰˈiː
کہا	kˈʌhaː
نہیں	nahˈiːn
پاکستان	pˌaːkɪstˈaːn
کیا	kjˈaː
ایک	ˈeːk
انہوں	ˌʊnhˌoːn
ہیں	hẽ
کرنے	kˌarneː
کیلئے	keːlˈiːeː
ان	ɪn
ہو	hˈoː
حکومت	hˌʊkuːmˈat
گیا	ɡˌajaː
یہ	jeːh
جو	ɟˈoː
ہوئے	hˈuːeː
خان	xˈaːn
وزیر	ʋəzˈiːr
ملک	mˈʊlk
وہ	woː
دیا	dˈiːaː
پی	pˈiː
پوائنٹ	pˌʊaːˈɪnʈ
لئے	lˌiːeː
مطابق	mʊtˈaːbɪq
بعد	bˈaːd
آئی	ˈaːi
پولیس	pʊlˈiːs
جس	ɟɪs
جائے	ɟˈaːeː
تک	tˈʌk
تو	tˈoː
سب	sˈʌb
والے	ʋˈaːleː
ہونے	hˈoːneː
و	ˈoː
ساتھ	sˈaːtʰ
رہے	rˈʌheː
کرتے	kˌarteː
نہ	nˈa
خلاف	xɪlˈaːf
لیے	lˈiːeː
اپنے	ˈapnˌeː
سی	sˈiː
جاری	ɟˈaːri
گئی	ɡˈai
بڑی	bˈʌr.i
ہی	hˈiː
پنجاب	pənɟˈaːb
دی	dˈiː
افراد	ˌafrˈaːd
کوئی	kˈoːi
سندھ	sˈɪndʰ
عوام	aʋˈaːm
کراچی	kərˈaːci
محمد	mʊhˈammad
گئے	ɡˈaeː
تھا	tʰaː
آباد	aːbˈaːd
اجلاس	ɪɟlˈaːs
اسلام	ˌɪslˈaːm
ایم	ˈeːm
خدمت	xɪdmˈat
ویب	ʋˈeːb
مصروف	mˌəʂrˈuːf
قومی	qˈoːmi
تمام	təmˈaːm
اپنی	ˈapnˌiː
جبکہ	ɟˌabkˈeːh
پچھلے	pˈɪcʰleː
شریف	ʃərˈiːf
سائیٹ	saːˈiːʈ
لاہور	laːhˈoːr
اے	ˈeː
دو	dˈoː
کسی	kˈɪsi
دوران	doːrˈaːn
دنیاکی	dʊnˈiːaːkˌiː
ٹی	ʈˈiː
صدر	ʂˈʌdər
بھارت	bʰˈaːrət
جانب	ɟˈaːnɪb
پیش	pˈeːʃ
ہم	ham
روپے	rˈʊpeː
جا	ɟˈaː
ایس	ˈeːs
کریں	kˈʌrẽː
علی	ˈali
بات	bˈaːt
دہشت	dˈɛhʃˈat
ڈی	ɖˈiː
شروع	ʃˈʊruː
حوالے	haʋˈaːleː
گے	ɡeː
موقع	mˈoːqeː
کام	kˈaːm
اسمبلی	asˈambli
مزید	məzˈiːd
تحریک	tˌeːhrˈiːk
گرفتار	ɡˈɪrɪftˌaːr
سال	sˈaːl
کشمیر	kˌəʃmˈiːr
سمیت	samˈeːt
وزیراعظم	ʋˌazireːˈaːʐam
کمیٹی	kəmˈiːʈi
عمران	ˌɪmrˈaːn
رہا	rˈʌhaː
اب	ˈab
قتل	qˈatl
رہی	rˈʌhi
گا	ɡaː
گی	ɡi
اظہار	ˌɪʐhˈaːr
کہنا	kˈɛhnaː
نواز	nˈaʋaːz
طور	tˈɔːr
دے	dˈeː
فیصلہ	fˈeːʂəla
چیف	cˈiːf
پارٹی	pˈaːrʈi
جنرل	ɟˈanral
حاصل	hˈaːʂɪl
جی	ɟˈiː
شاہ	ʃˈaːh
کہاکہ	kəhˈaːkˌa
کرنا	kˌarnaː
لیا	lˈiːaː
اعظم	ˈaːʐəm
والی	ʋˈaːli
ٹیم	ʈˈiːm
دیگر	diɡˈar
وقت	ʋˈaqt
عدالت	adˈaːlət
غیر	ɣˈɛːr
این	ˈeːn
خطاب	xətˈaːb
بتایا	bətˈaːjaː
مکمل	mʊkˈammal
میڈیا	mˈiːɖiˌaː
ہر	hˈʌr
روز	rˈoːz
کئے	kˈʌeː
مختلف	mˌʊxtˈalɪf
انصاف	ɪnʂˈaːf
پہلے	pˈɛhleː
لے	lˈeː
بے	beː
لیگ	lˈiːɡ
شامل	ʃˈaːmɪl
ملاقات	mˌʊlaːqˈaːt
زیادہ	zjˈaːda
تین	tˈiːn
وفاقی	ʋəfˈaːqi
عمل	ˈaməl
جانے	ɟˈaːneː
لیکن	lˈeːkɪn
کورٹ	kˈoːrʈ
آج	ˈaːɟ
بھارتی	bʰˈaːrtˌiː
ڈاکٹر	ɖˌaːkʈˈar
زخمی	zˈʌxmˌiː
ہوں	huːn
ہوا	hˈuːaː
پاکستانی	pˌaːkɪstˈaːni
وجہ	ʋˈʌɟˌa
طرح	tˌərˈah
سیاسی	sjˈaːsi
الیکشن	ˌɪleːkʃˈan
جسٹس	ɟˈasʈˌɪs
بھر	bʰˈʌr
مسلم	mˈʊslˌɪm
حسین	həsˈiːn
پاک	pˈaːk
ہوئی	hˈuːi
طرف	tarˈaf
احمد	ˈɛhməd
تازہ	tˈaːzˌa
نام	nˈaːm
کم	kˈʌm
کیخلاف	kˌeːxlˈaːf
تھے	tʰeː
کردیا	kərdˈiːaː
موجود	moːɟˈuːd
ذرائع	ðarˈaːeː
یا	jˈaː
اعلان	eːlˈaːn
دینے	dˈeːneː
بی	bˈiː
او	ˈoː
انہیں	ˌʊnhˌeːn
کیس	kˈeːs
آپریشن	ˌaːpreːʃˈan
جب	ɟˈʌb
چوہدری	cˈoːhədri
صرف	ʂˈɪrf
اہم	ˈɛhɛm
جائیں	ɟˈaːẽː
اللہ	ˈallaːh
امن	ˈamn
ایف	ˈeːf
قوم	qˈoːm
کمیشن	kˌəmeːʃˈan
بنانے	bənˈaːneː
بہت	bˈahʊt
گردی	ɡˈʌrdi
قائم	qˈa͡ɪm
دنیا	dʊnˈiːaː
علاقوں	ɪlˈaːqõː
جاں	ɟˈãː
درخواست	dˌarxʋˈaːst
کرے	kˈʌreː
اگر	aɡˈar
کارروائی	kˈaːrraʋˌaːi
رپورٹ	rɪpˈoːrʈ
بجلی	bˈɪɟlˌiː
ترقی	tarˈaqi
استعمال	ˌɪsteːmˈaːl
انتخابات	ˌɪntɪxˌaːbˈaːt
خود	xˈʊd
صوبائی	ʂˈuːbaːˌiː
فلم	fˈɪlm
آف	ˈaːf
کرکے	kˈʌrkˌeː
باعث	bˈaːɪs
دونوں	dˈoːnõː
فراہم	fərˈaːhəm
حل	hˈʌl
ن	nˈuːn
کرکٹ	krˈɪkˌɪʈ
سابق	sˈaːbɪq
بیان	bajˈaːn
شہر	ʃˈɛhɛr
چیئرمین	ceːˈarmɛn
بحق	bˈʌhəq
ادا	ˈadaː
فوج	fˈoːɟ
اضافہ	ɪzˈaːfa
بلوچ	bəlˈoːc
قانون	qˈaːnuːn
پانی	pˈaːni
علاقے	ɪlˈaːqeː
درمیان	dˌərmjˈaːn
تحت	tˈɛhɛt
