va	ʋˈæ
bilan	bˌylæn
ham	hˈæm
bir	bˈyɾ
uchun	ˌʊt͡Sʊn
yoki	jˈɑky
km	kˌaˈem
boʻlgan	bˈoɫɡæn
esa	ˈesæ
boshqa	bˈɑʃqæ
suv	sˈʊʋ
bor	bˈɑɾ
boʻlib	bˈoɫyb
Bu	bʊ
bu	bʊ
uning	ˌʊnyŋ
deb	dˈeb
tashkil	tˈæʃkyɫ
mumkin	mˈʊmkyn
ishlab	ˈyʃlæb
boʻladi	bolˈædy
katta	kˈættæ
eng	ˈeŋ
hosil	hˈɑsyɫ
ega	ˈeɡæ
Shundan	ʃˈʊndæn
qiladi	qylˈædy
olib	ˈɑɫyb
oʻz	ˈoz
quruqlik	qʊɾˈʊqɫyk
u	ʊ
hamda	hˈæmdæ
sifatida	syfˌætˈydæ
maydonidir	mˌæjdɑnˈydyɾ
iborat	ybˈɑɾæt
asosiy	æsˈɑsyj
har	hˈæɾ
mavjud	mˈæʋd͡ʒʊd
tomonidan	tˌɑmɑnˌydæn
yil	jˈyɫ
ming	mˈyŋ
Oʻzbekiston	ˌozbekˈystɑn
turli	tˈʊɾɫy
edi	ˈedy
shu	ʃˈʊ
asosan	æsˈɑsæn
ga	ɡæ
kabi	kˈæby
koʻp	kˈop
qilish	qˈyɫyʃ
dan	dˈæn
davlat	dˈæʋlæt
qismi	qˈysmy
joylashgan	d͡ʒɑjlˈæʃɡæn
keng	kˈeŋ
etilgan	etˈyɫɡæn
qilgan	qˈyɫɡæn
U	ʊ
orqali	ɑɾqˌæɫy
necha	nˈet͡Sæ
shuningdek	ʃʊnˈyŋdek
boshqalar	bɑʃqˈælæɾ
kishi	kˈyʃy
muhim	mˈʊhym
yirik	jˈyɾyk
ikki	ˈykky
yangi	jˈæŋy
biri	bˈyɾy
hisoblanadi	hˌysɑblænˈædy
yuqori	jʊqˈɑɾy
paydo	pˈæjdɑ
xalq	χˈæɫq
ta	tˈæ
etgan	ˈetɡæn
ilmiy	ˈyɫmyj
Toshkent	tˈɑʃkent
yilda	jˈyɫdæ
ularning	ʊlˌæɾnyŋ
barcha	bˈæɾt͡Sæ
qilib	qˈyɫyb
xil	χˈyɫ
etadi	etˈædy
boʻyicha	bojˈyt͡Sæ
ular	ˌʊlæɾ
birinchi	byɾˈynt͡Sy
olish	ˈɑɫyʃ
juda	d͡ʒˈʊdæ
qilingan	qyɫˈyŋæn
beradi	beɾˈædy
da	dˈæ
uni	ˈʊny
keyin	kˌejyn
nomi	nˈɑmy
yaqin	jˌæqyn
Uning	ˌʊnyŋ
koʻra	kˈoɾæ
qarshi	qˌæɾʃy
milliy	mˈyɫɫyj
boʻlishi	boɫˈyʃy
maxsus	mˈæχsʊs
umumiy	ʊmˈʊmyj
davrida	dæʋɾˈydæ
olgan	ˈɑɫɡæn
shahar	ʃˈæhæɾ
asosida	ˌæsɑsˈydæ
natijasida	nˌætyd͡ʒæsˈydæ
keladi	kelˈædy
kelib	kˈeɫyb
kelgan	kˈeɫɡæn
bogʻliq	bˈɑʁɫyq
ning	nˈyŋ
xos	χˈɑs
Shu	ʃˈʊ
xizmat	χˈyzmæt
yildan	jˈyɫdæn
turadi	tʊɾˈædy
Oʻrta	ˈoɾtæ
oladi	ɑlˈædy
boʻldi	bˈoɫdy
Respublikasi	ɾˌespʊbɫykˈæsy
elektr	ˈelektɾ
qishloq	qˈyʃɫɑq
yaxshi	jˈæχʃy
bosh	bˈɑʃ
ni	nˈy
amalga	æmˈæɫɡæ
qabul	qˈæbʊɫ
qayta	qˈæjtæ
Oʻzbekistonda	ˌozbekystˈɑndæ
haqida	hæqˌydæ
kiradi	kyɾˈædy
ayrim	ˈæjɾym
ichki	ˈyt͡Sky
emas	ˈemæs
markazi	mæɾkˈæzy
birga	bˈyɾɡæ
chiqarish	t͡Syqˈæɾyʃ
yana	jˈænæ
olingan	ɑɫˈyŋæn
marta	mˈæɾtæ
oʻzbek	ˈozbek
qilinadi	qˌyɫynˈædy
faqat	fˌæqæt
holda	hˈɑɫdæ
Ular	ˌʊlæɾ
ortiq	ˈɑɾtyq
yer	jˈeɾ
