a	a˧˥
a bung	a˧˥buŋ͡m˧˥
a bàng	a˧˥baŋ˦˨
a di	a˧˥ji˧˥
a di đà kinh	a˧˥ji˧˥da˦˨kin˧˥
a di đà phật	a˧˥ji˧˥da˦˨fɤ̆k˨ˀ˩ʔ
a di đà tam tôn	a˧˥ji˧˥da˦˨tam˧˥toŋ͡m˧˥
a du	a˧˥ju˧˥
a dua	a˧˥juə˧˥
a dơi	a˧˥jɤj˧˥
a giao	a˧˥jaw˧˥
a ha	a˧˥ha˧˥
a hoàn	a˧˥hwaŋ˦˨
a hoành	a˧˥hwan˦˨
a hành	a˧˥han˦˨
a hành ác nghiệp	a˧˥han˦˨ak˦˥ŋiəp˨ˀ˩ʔ
a hành ác tỏi	a˧˥han˦˨ak˦˥tɔj˧˩˨
a hộ	a˧˥ho˨ˀ˩ʔ
a la hán	a˧˥la˧˥haŋ˩˧
a lù	a˧˥lu˦˨
a lưới	a˧˥lɯəj˩˧
a mú sung	a˧˥mu˩˧ʂuŋ͡m˧˥
a ngo	a˧˥ŋɔ˧˥
a ngu	a˧˥ŋu˧˥
a nguỳ	a˧˥ŋwi˦˨
a nguỵ	a˧˥ŋwi˨ˀ˩ʔ
a pa tít	a˧˥pa˧˥tit˦˥
a phiến	a˧˥fiəŋ˩˧
a pác thai	a˧˥pak˦˥tʰaj˧˥
a roàng	a˧˥ʐwaŋ˦˨
a ting	a˧˥tin˧˥
a tiêng	a˧˥tiəŋ˧˥
a tì địa ngục	a˧˥ti˦˨diə˨ˀ˩ʔŋuk͡p˨ˀ˩ʔ
a tòng	a˧˥tɔŋ͡m˦˨
a tùng	a˧˥tuŋ͡m˦˨
a túc	a˧˥tuk͡p˦˥
a tăng kì	a˧˥tăŋ˧˥ki˦˨
a vao	a˧˥jaw˧˥
a vương	a˧˥jɯəŋ˧˥
a xan	a˧˥saŋ˧˥
a xing	a˧˥sin˧˥
a xít	a˧˥sit˦˥
a đảng	a˧˥daŋ˧˩˨
a đẩu	a˧˥dɤ̆w˧˩˨
a đới	a˧˥dɤj˩˧
a-ba-giua	a˧˥-ba˧˥-juə˧˥
a-ba-toa	a˧˥-ba˧˥-twa˧˥
a-di-đà phật	a˧˥-ji˧˥-da˦˨fɤ̆k˨ˀ˩ʔ
a-dong	a˧˥-jɔŋ͡m˧˥
a-dốt	a˧˥-jok͡p˦˥
a-ga	a˧˥-ɣa˧˥
a-giăng	a˧˥-jăŋ˧˥
a-giăng-đa	a˧˥-jăŋ˧˥-da˧˥
a-gon	a˧˥-ɣɔŋ͡m˧˥
a-la	a˧˥-la˧˥
a-la-hán	a˧˥-la˧˥-haŋ˩˧
a-la-mốt	a˧˥-la˧˥-mok͡p˦˥
a-la-văng	a˧˥-la˧˥-jăŋ˧˥
a-len	a˧˥-lɛŋ˧˥
