'ch	χ
'i	iː
'i	i̯
'ma	ma
'n	n
'na	na
'r	r
'th	θ
'y	ə
ab	ab
abad	abad
abadaeth	abadaɨ̯θ
abadaeth	abadɛθ
abadaethau	abadeɨ̯θa
abadaethau	abadeɨ̯θaɨ̯
abadaethau	abadeɨ̯θɛ
abadau	abada
abadau	abadaɨ̯
abadau	abadɛ
abades	abadɛs
abadesau	abadɛsa
abadesau	abadɛsaɨ̯
abadesau	abadɛsɛ
abatai	abataɨ̯
abathocroalaidd	abaθɔkrɔalai̯ð
abatir	abatɪr
abatiroedd	abatɪrɔɨ̯ð
abaty	abatɨ
aber	abɛr
aberaeron	abɛreɨ̯rɔn
aberafan	abɛravan
aberdaugleddau	abɛrdaɨ̯ɡlɛða
aberdaugleddau	abɛrdaɨ̯ɡlɛðaɨ̯
aberdaugleddau	abɛrdaɨ̯ɡlɛðɛ
aberdâr	abɛrdaːr
abergofiant	abɛrɡɔvjant
abergwaun	abɛrɡwaɨ̯n
aberhonddu	abɛrhɔnðɨ
abermaw	abɛrmau̯
abertawe	abɛrtau̯ɛ
aberteifi	abɛrtei̯vi
aberth	abɛrθ
aberthged	abɛrθɡɛd
aberthu	abɛrθɨ̞
aberystwyth	abɛrəstwɨ̞θ
abl	abl
abladol	abladɔl
absen	absɛn
absennol	absɛnɔl
absennu	absɛnɨ
absenoldeb	absɛnɔldab
absenoldeb	absɛnɔldɛb
abwyd	abʊɨ̯d
abwydyn	abʊɨ̯dɨ̞n
ac	ak
academaidd	akadɛmai̯ð
academaidd	akadɛmɛð
academi	akadɛmi
academydd	akadɛmɨ̞ð
academyddion	akadɛməðjɔn
academïau	akadɛmiːa
academïau	akadɛmiːaɨ̯
academïau	akadɛmiːɛ
acen	akɛn
acen ddisgynedig	akɛnðɪsɡənɛdɪɡ
acen ddyrchafedig	akɛnðərχavɛdɪɡ
acen grom	akɛnɡrɔm
aceniad	akɛnjad
acennu	akɛnɨ
acer	akar
acer	akɛr
ach	aχ
ach	aːχ
acha	aχa
achan	aχan
achles	aχlɛs
achlesu	aχlɛsɨ̞
achlod	aχlɔd
achlysur	aχləsɨ̞r
achlysurol	aχləsɨ̞rɔl
achos	aχɔs
achos	χɔs
achosaf	aχɔsav
achosi	aχɔsi
achres	aχrɛs
achub	aχɨ̞b
achubiaeth	aχɨ̞bjaɨ̯θ
achubiaeth	aχɨ̞bjɛθ
achubol	aχɨ̞bɔl
achubwr	aχɨ̞bʊr
achwyn	aχwɨ̞n
achwyn	aχʊɨ̯n
achwyniad	aχʊɨ̯njad
achwyniadau	aχʊɨ̯njada
achwyniadau	aχʊɨ̯njadaɨ̯
achwyniadau	aχʊɨ̯njadɛ
achwynwr	aχʊɨ̯njʊr
achwynwyr	aχʊɨ̯nwɨ̞r
achwynydd	aχʊɨ̯njɨ̞ð
achydd	aχɨ̞ð
achyddiaeth	aχəðjaɨ̯θ
achyddiaeth	aχəðjɛθ
achyddion	aχəðjɔn
achyddol	aχəðɔl
act	akt
acti	akti
actiaf	aktjav
actio	aktjɔ
actor	aktɔr
actores	aktɔrɛs
acw	aku
ad	aːd
adael	adal
adael	adaɨ̯l
adael	adɛl
adain	adai̯n
adain	adɛn
adanedd	adanɛð
adar	adar
adar duon	adardɨːɔn
adar o'r unlliw hedant i'r unlle	adarɔrɨ̞nɬɨ̞u̯hɛdantɪrɨ̞nɬɛ
adar y bwn	adarəbʊn
adara	adara
