'ch	χ
'i	iː
'i	i̯
'ma	ma
'ma	mə
'n	n
'na	na
'na	nə
'r	r
'th	θ
'y	ə
ab	ab
abad	abad
abad	aːbad
abadaeth	abadai̯θ
abadaeth	abaːdai̯θ
abadaeth	abaːdɛθ
abadaethau	abadei̯θai̯
abadaethau	abadei̯θɛ
abadau	abadai̯
abadau	abadɛ
abadau	abaːdai̯
abadau	abaːdɛ
abades	abadɛs
abades	abaːdɛs
abadesau	abadɛsai̯
abadesau	abadɛsɛ
abatai	abatai̯
abathocroalaidd	abaθɔkrɔalai̯ð
abathocroalaidd	abaθɔkrɔaːlai̯ð
abatir	abatɪr
abatiroedd	abatiːrɔi̯ð
abatiroedd	abatɪrɔi̯ð
abaty	abati
aber	abɛr
aber	aːbɛr
aberaeron	abɛrei̯rɔn
aberafan	abɛravan
aberafan	abɛraːvan
aberdaugleddau	abɛrdai̯ɡleːðai̯
aberdaugleddau	abɛrdai̯ɡleːðɛ
aberdaugleddau	abɛrdai̯ɡlɛðai̯
aberdaugleddau	abɛrdai̯ɡlɛðɛ
aberdâr	abɛrdaːr
abergofiant	abɛrɡɔvjant
abergwaun	abɛrɡwai̯n
aberhonddu	abɛrhɔnði
abermaw	abɛrmau̯
abertawe	abɛrtau̯ɛ
aberteifi	abɛrtei̯vi
aberteifi	abɛrtiːvi
aberth	abɛrθ
aberth	aːbɛrθ
aberthged	abɛrθɡɛd
aberthu	abɛrθi
aberystwyth	abɛrəstwɪθ
aberystwyth	abɛrəstʊi̯θ
abl	abal
abl	abl
abl	aːbal
abladol	abladɔl
abladol	ablaːdɔl
absen	absɛn
absennol	absɛnɔl
absennu	absɛni
absenoldeb	absɛnɔldɛb
abwyd	abʊi̯d
abwyd	aːbʊi̯d
abwydyn	abʊi̯dɪn
ac	ak
academaidd	akadɛmai̯ð
academaidd	akadɛmɛð
academi	akadɛmi
academydd	akadɛmɪð
academyddion	akadɛməðjɔn
academïau	akadɛmiːai̯
academïau	akadɛmiːɛ
acen	akɛn
acen ddisgynedig	akɛnðɪsɡəneːdɪɡ
acen ddisgynedig	akɛnðɪsɡənɛdɪɡ
acen ddyrchafedig	akɛnðərχaveːdɪɡ
acen ddyrchafedig	akɛnðərχavɛdɪɡ
acen grom	akɛnɡrɔm
aceniad	akɛnjad
acennu	akɛni
acer	akɛr
ach	aχ
ach	aːχ
acha	aχa
achan	aχan
achan	aːχan
achles	aχlɛs
achlesu	aχlɛsi
achlod	aχlɔd
achlysur	aχləsɪr
achlysurol	aχləsiːrɔl
achlysurol	aχləsɪrɔl
achos	aχɔs
achos	aːχɔs
achos	χɔs
achosaf	aχɔsav
achosi	aχɔsi
achres	aχrɛs
achub	aχɪb
achub	aːχɪb
achubiaeth	aχɪbjai̯θ
achubiaeth	aχɪbjɛθ
achubol	aχiːbɔl
achubol	aχɪbɔl
achubwr	aχiːbʊr
achubwr	aχɪbʊr
achwyn	aχʊi̯n
achwyn	aːχʊi̯n
achwyniad	aχʊi̯njad
achwyniadau	aχʊi̯njadai̯
achwyniadau	aχʊi̯njadɛ
achwyniadau	aχʊi̯njaːdai̯
achwyniadau	aχʊi̯njaːdɛ
achwynwr	aχʊi̯njʊr
achwynwyr	aχʊi̯nwɪr
achwynydd	aχʊi̯njɪð
achydd	aχɪð
achydd	aːχɪð
achyddiaeth	aχəðjai̯θ
achyddiaeth	aχəðjɛθ
achyddion	aχəðjɔn
