admirális	ɒdmiraːliʃ
adomány	ɒdomaːɲ
adományként	ɒdomaːɲkeːnt
alapanyag	ɒlɒpɒɲɒɡ
alkohol	ɒlkohol
alkotó	ɒlkotoː
alsó	ɒlʃoː
amaz	ɒmɒz
amelyektől	ɒmɛjɛktøːl
atlantisz	ɒtlɒntis
automatikus	ɒutomɒtikuʃ
balázs	bɒlaːʒ
bele	bɛlɛ
beleszeretni	bɛlɛsɛrɛtni
bemutatkozik	bɛmutɒtkozik
beszélt	bɛseːlt
bevonása	bɛvonaːʃɒ
beérkező	bɛʲeːrkɛzøː
bicikli	bit͡siɡli
biológiai	biʲoloːɡiʲɒʲi
bizalmát	bizɒlmaːt
biztosító	bistoʃiːtoː
boldog	boldoɡ
boldogságot	boldokʃaːɡot
bor	bor
boros	boroʃ
borsot	borʃot
brazília	brɒziːliʲɒ
bár	baːr
bármiféle	baːrmifeːlɛ
bér	beːr
bérek	beːrɛk
béren	beːrɛn
bért	beːrt
börtönben	børtømbɛn
családja	t͡ʃɒlaːɟːɒ
csomagban	t͡ʃomɒɡbɒn
csoportosítás	t͡ʃoportoʃiːtaːʃ
csípések	t͡ʃiːpeːʃɛk
célja	t͡seːjːɒ
dinamikusan	dinɒmikuʃɒn
drámai	draːmɒʲi
egyetértés	ɛɟːɛteːrteːʃ
egyidejűleg	ɛɟːidɛjyːlɛɡ
egymásra	ɛɟmaːʃrɒ
együttes	ɛɟːytːɛʃ
egészségügyi	ɛɡeːʃːeːɡyɟi
egészét	ɛɡeːseːt
eladási	ɛlɒdaːʃi
elemek	ɛlɛmɛk
elemet	ɛlɛmɛt
elfér	ɛlfeːr
elkészíteni	ɛlkeːsiːtɛni
ellen	ɛlːɛn
ellenfél	ɛlːɛɱfeːl
elégséges	ɛleːkʃeːɡɛʃ
elérhetővé	ɛleːrɦɛtøːveː
előre	ɛløːrɛ
említ	ɛmliːt
enni	ɛnːi
ennyire	ɛɲːirɛ
eredmények	ɛrɛdmeːɲɛk
eredményre	ɛrɛdmeːɲrɛ
eredményt	ɛrɛdmeːɲt
erejű	ɛrɛjyː
erőmű	ɛrøːmyː
erősen	ɛrøːʃɛn
esztendő	ɛstɛndøː
esztendőben	ɛstɛndøːbɛn
felelősség	fɛlɛløːʃːeːɡ
felelősséget	fɛlɛløːʃːeːɡɛt
felmérés	fɛlmeːreːʃ
felmérések	fɛlmeːreːʃɛk
felnőtt	fɛlnøːtː
felnőttek	fɛlnøːtːɛk
felsőfokú	fɛlʃøːfokuː
felénk	fɛleːŋk
felügyelet	fɛlyɟɛlɛt
felületi	fɛlylɛti
felületű	fɛlylɛtyː
fenyő	fɛɲøː
fenyők	fɛɲøːk
fiatalabb	fiʲɒtɒlɒbː
finanszírozás	finɒnsiːrozaːʃ
