ագահ	ɑɡɑh
ազատազրկել	ɑzɑtɑzəɾkɛl
ազատություն	ɑzɑtutʰjun
ազդու	ɑzdu
ազնվական	ɑznəvɑkɑn
ազոտ	ɑzot
աժդահա	ɑʒdɑhɑ
ախտորոշել	ɑχtɔɾɔʃɛl
ականատես	ɑkɑnɑtɛs
ակնարկ	ɑknɑɾk
աղբ	ɑχp
աղբյուր	ɑχpjuɾ
աղվես	ɑʁvɛs
ամաչկոտ	ɑmɑt͡ʃʰkɔt
ամիրա	ɑmiɾɑ
այգաբաց	ɑjɡɑbɑt͡sʰ
այդուհանդերձ	ɑjduhɑndɛɾtsʰ
այդտեղ	ɑjdtɛʁ
այսուհանդերձ	ɑjsuhɑndɛɾt͡sʰ
անասուն	ɑnɑsun
անբարյացակամ	ɑnbɑɾjɑt͡sʰɑkɑm
անգամ	ɑŋkʰɑm
անգիր	ɑŋɡiɾ
անդունդ	ɑndund
անդրադառնալ	ɑndɾɑdɑrnɑl
աներձագ	ɑnɛɾd͡zɑkʰ
անի	ɑni
անխնա	ɑŋχənɑ
անկած	ɑnkɑt͡s
անկասկած	ɑŋkɑskɑt͡s
անհնազանդ	ɑnhənɑzɑnd
անհուն	ɑnhun
անձնական	ɑnd͡znɑkɑn
անմահություն	ɑnmɑhutʰjun
անմիջական	ɑnmit͡ʃʰɑkɑn
անմնացորդ	ɑnmənɑt͡sʰɔɾtʰ
աննա	ɑnːɑ
աննման	ɑnːəmɑn
անվանել	ɑnvɑnɛl
անտարբերություն	ɑntɑɾbɛɾutʰjun
անօդաչու	ɑnɔtʰɑt͡ʃʰu
աշխարհագրական	ɑʃχɑɾɑɡɾɑkɑn
աշխարհահռչակ	ɑʃχɑɾɑhərt͡ʃʰɑk
ապա	ɑpɑ
ապակառուցողական	ɑpɑkɑrut͡sʰɔʁɑkɑn
ապրիլ	ɑpɾil
ապօրինի	ɑpɔɾini
առանձին	ɑrɑnd͡zin
առաջնային	ɑrɑt͡ʃʰnɑjin
առաջնություն	ɑrɑt͡ʃʰnutʰjun
առաքել	ɑrɑkʰɛl
առաքում	ɑrɑkʰum
առկայություն	ɑrkɑjutʰjun
առն	ɑrən
ասպետական	ɑspɛtɑkɑn
ասվի	ɑsvi
ավազուտ	ɑvɑzut
ավետիս	ɑvɛtis
ավիաընկերություն	ɑvjɑəŋkɛɾutʰjun
ատեստատ	ɑtɛstɑt
արաբիա	ɑɾɑbjɑ
արագություն	ɑɾɑɡutsʰjun
արամայիս	ɑɾɑmɑjis
արատավոր	ɑɾɑtɑvɔɾ
արգիշտի	ɑɾɡiʃti
արկադի	ɑɾkɑdi
արմինե	ɑɾminɛ
արտահայտություն	ɑɾtɑhɑjtutʰjun
արքայական	ɑɾkʰɑjɑkɑn
բագրատ	bɑɡɾɑt
բազմամարդ	bɑzmɑmɑɾtʰ
բաժանվել	bɑʒɑnvɛl
բաղրամյան	bɑʁɾɑmjɑn
բայ	bɑj
բարեփոխում	bɑɾɛpʰɔχum
բացատրություն	bɑt͡sʰɑtəɾutʰjun
բեկել	bɛkɛl
բերդ	bɛɾtʰ
բժշկական	bəʒəʃkɑkɑn
բիբլոս	biblɔs
բլբուլ	bəlbul
բնավորություն	bənɑvɔɾutʰjun
բորբոքում	boɾbokʰum
բուժում	buʒum
բուլղարիա	bulʁɑɾjɑ
բուք	bukʰ
բռնել	bərnɛl
գաբրիել	ɡɑpʰɾijɛl
գագիկ	ɡɑɡik
գազա	ɡɑzɑ
գեղեցկուհի	ɡɛʁɛt͡sʰkuhi
գերատեսչություն	ɡɛɾɑtɛst͡ʃʰutʰjun
գիծ	ɡit͡s
գիշեր	ɡiʃɛɾ
գիտակցաբար	ɡitɑkt͡sʰɑbɑɾ
գյադա	ɡjɑdɑ
գնահատել	ɡənɑhɑtɛl
գնահատելի	ɡənɑhɑtɛli
գնացք	ɡənɑt͡sʰkʰ
գոգ	ɡɔkʰ
գոգնոց	ɡɔkʰnɔt͡sʰ
գող	ɡɔʁ
գոռոզ	ɡɔrɔz
գովազդ	ɡɔvɑzd
գործընթաց	ɡɔɾt͡səntʰɑt͡sʰ
գործնական	ɡɔɾt͡snɑkɑn
գույն	ɡujn
գրադարան	ɡəɾɑdɑɾɑn
գրականություն	ɡəɾɑkɑnutʰjun
գրանցում	ɡəɾɑnt͡sʰum
գրոհել	ɡəɾɔhɛl
գցել	ɡət͡sʰɛl
դաբրո	dɑbɾɔ
դադարեցնել	dɑtʰɑɾɛt͡sʰnɛl
դանիական	dɑnjɑkɑn
դաշտը	dɑʃtə
դեստրուկտիվ	dɛstɾuktiv
դիարբեքիր	dijɑɾbɛkʰiɾ
դինոզավր	dinozɑvəɾ
դիպուկ	dipuk
դուխով	duχɔv
դուր	duɾ
դրախտ	dəɾɑχt
դրական	dəɾɑkɑn
դրսեւորել	dəɾsɛvɔɾɛl
եղբոր	jɛχpɔɾ
եպհ	jɛpəhə
եվրոպայում	jɛvɾɔpɑjum
երազ	jɛɾɑz
երազել	jɛɾɑzɛl
երեխա	jɛɾɛχɑ
երթեւեկություն	jɛɾtʰɛvɛkutʰjun
երկաթուղային	jɛɾkɑtʰuʁɑjin
երկչոտ	jɛɾkt͡ʃʰɔt
զեկույց	zɛkujt͡sʰ
զուգարան	zukʰɑɾɑn
զրկել	zəɾkɛl
զրույց	zəɾujt͡sʰ
էգ	ɛkʰ
էլ	ɛl
էծ	ɛts
էջ	ɛd͡ʒ
էսօր	ɛsɔɾ
ընդդիմություն	əndːimutʰjun
ընդունակ	əntʰunɑk
ընդունում	əntʰunum
ընթանալ	əntʰɑnɑl
ընտանիք	əntɑnikʰ
ընտրվել	əntəɾvɛl
թակոց	tʰɑkɔt͡sʰ
թավրիզ	tʰɑvɾiz
թափանցիկ	tʰɑpʰɑnt͡sʰik
թաք	tʰɑkʰ
թենիսիստուհի	tʰɛnisistuhi
թեպետ	tʰɛpɛt
թեք	tʰɛkʰ
թիկունք	tʰikuŋkʰ
թող	tʰɔʁ
թուղթ	tʰuχtʰ
ժամանակակից	ʒɑmɑnɑkɑkit͡sʰ
ժամանակաշրջան	ʒɑmɑnɑkɑʃəɾd͡ʒɑn
ժիրայր	ʒiɾɑjɾ
ժպիտ	ʒəpit
իմաստ	imɑst
իներտ	inɛɾt
ինքնահավան	iŋkʰnɑhɑvɑn
ինքնուրույն	iŋkʰnuɾujn
իրանական	iɾɑnɑkɑn
լաց	lɑt͡sʰ
լեցուն	lɛt͡sʰun
լի	li
լիլիթ	lilitʰ
լիքը	likʰə
լցվել	lət͡sʰvɛl
լքել	ləkʰɛl
խաբել	χɑpʰɛl
խայտառակ	xɑjtɑrɑk
խիստ	χist
խմոր	χəmɔɾ
խնամի	χənɑmi
խոզ	χɔz
խրատ	χəɾɑt
ծախսել	t͡sɑχsɛl
ծածկել	t͡sɑt͡skɛl
ծաղկեպսակ	t͡sɑχkɛpəsɑk
ծառայել	tsɑrɑjɛl
ծղոտ	t͡səʁɔt
ծովակալ	tsovɑkɑl
ծրագրել	t͡səɾɑɡɾɛl
կա	kɑ
կաթիլ	kɑtʰil
կահույք	kɑhujkʰ
կանխիկ	kɑŋχik
կանք	kɑŋkʰ
կապակցություն	kɑpɑkt͡sʰutʰjun
կապանք	kɑpɑŋkʰ
կապվածություն	kɑpvɑt͡sutʰjun
կասկածելի	kɑskɑt͡sɛli
կարգի	kɑɾkʰi
կարմիր	kɑɾmiɾ
կարմրավուն	kɑɾmɾɑvun
կենսագրություն	kɛnsɑɡɾutʰjun
կես	kɛs
կիլիկիա	kilikjɑ
կիլիկյան	kilikjɑn
կղբենի	kəʁbɛni
կոկո	koko
կոկտեյլ	koktɛjl
կոմպետենտ	kɔmpɛtɛnt
կոմպոզիտոր	kɔmpɔzitɔɾ
կոնսոլիդացիա	kɔnsɔlidɑt͡sʰjɑ
կոպեկ	kɔpɛk
կոռուպցիոն	kɔrupt͡sʰiɔn
կորյուն	kɔɾjun
կուրս	kuɾs
կտակ	kətɑk
կրեմլ	kəɾɛməl
կրթել	kəɾtʰɛl
կրոն	kəɾɔn
հակահեղափոխական	hɑkɑhɛʁɑpʰɔχɑkɑn
համակարգչային	hɑmɑkɑɾkʰtʃʰɑjin
համաներում	hɑmɑnɛɾum
հայագիտական	hɑjɑɡitɑkɑn
հայացք	hɑjɑt͡sʰkʰ
հայեցակարգ	hɑjɛt͡sʰɑkɑɾkʰ
հայեցի	hɑjɛt͡sʰi
հայտ	hɑjt
հանգստանալ	hɑŋɡəstɑnɑl
հանձինս	hɑnd͡zinəs
հանրային	hɑnɾɑjin
հաշմանդամություն	hɑʃmɑndɑmutʰjun
հաշվառում	hɑʃvɑrum
հասարակած	hɑsɑɾɑkɑt͡s
հավատ	hɑvɑt
հատ	hɑt
հատել	hɑtɛl
հարաբերություն	hɑɾɑbɛɾutʰjun
հարավային	hɑɾɑfɑjin
հարկավ	hɑɾkɑv
հարուստ	hɑɾust
հարսանիք	hɑɾsɑnikʰ
հարցազրույց	hɑɾt͡sʰɑzɾujt͡sʰ
հեռակառավարման	hɛrɑkɑrɑvɑɾmɑn
հեռանալ	hɛrɑnɑl
հեռացնել	hɛrɑtsʰnɛl
հեռուստաընկերություն	hɛrustɑəŋkɛɾutʰjun
հետաքրքրասեր	hɛtɑkʰəɾkʰɾɑsɛɾ
հերձում	hɛɾd͡zum
հիմնական	himnɑkɑn
հին	hin
հիվանդագին	hivɑndɑɡin
հհկ	həhəkə
հղի	həʁi
հյուրերն	hɪ̯uɾɛɾn
հյուրը	hɪ̯uɾə
հնարք	hənɑɾkʰ
հոգ	hɔkʰ
հոգեբանություն	hɔkʰɛbɑnutʰjun
հոգս	hɔkʰs
հոկտեմբեր	hoktɛmbɛɾ
հովնան	hɔvnɑn
հումոր	humoɾ
հույս	hujs
հունվարյան	hunvɑɾjɑn
հուսալքված	husɑləkʰvɑt͡s
հռչակ	hərt͡ʃʰɑk
հստակորեն	həstɑkɔɾɛn
հրուշակեղեն	həɾuʃɑkɛʁɛn
ձեթ	d͡zɛtʰ
ձկնորսություն	dzəknoɾsutsʰɪ̯un
ձյուն	d͡zjun
ձնե	d͡zənɛ
ձող	d͡zɔʁ
ձուն	d͡zun
ճաղատ	t͡ʃɑʁɑt
ճանապարհ	t͡ʃɑnɑpɑɾ
ճանապարհորդել	t͡ʃɑnɑpɑɾɔɾtʰɛl
մանաթ	mɑnɑtʰ
մարզ	mɑɾz
մարզիչ	mɑɾzit͡ʃʰ
մարկ	mɑɾk
մարմին	mɑɾmin
մարտիրոսյան	mɑɾtiɾɔsjɑn
մեդալ	mɛdɑl
մեխանիզմ	mɛχɑnizm
մետր	mɛtəɾ
մեքենա	mɛkʰɛnɑ
միաձայն	mijɑd͡zɑjn
մղոն	məʁɔn
մնալ	mənɑl
մոլի	moli
մոտավոր	mɔtɑvɔɾ
մոտիկ	mɔtik
մտածելակերպ	mətɑt͡sɛlɑkɛɾp
մրցույթ	məɾt͡sʰujtʰ
յուղ	juʁ
նախնական	nɑχnɑkɑn
նավթ	nɑftʰ
նարնջագույն	nɑɾənd͡ʒɑɡujn
ներքաղաքական	nɛɾkʰɑʁɑkʰɑkɑn
նիստ	nist
նկարչություն	nəkɑɾt͡ʃʰutʰjun
նշանակել	nəʃɑnɑkɛl
նորարարություն	nɔɾɑɾɑɾutʰjun
նպաստավոր	nəpɑstɑvɔɾ
նստել	nəstɛl
նվագել	nəvɑɡɛl
նրա	nəɾɑ
նրանից	nɾɑnitsʰ
շարժվել	ʃɑɾʒvɛl
շերտ	ʃɛɾt
շինել	ʃinɛl
շիշ	ʃiʃ
շնորհ	ʃənɔɾ
շնորհակալություն	ʃənɔɾɑkɑlutʰjun
շունչ	ʃunt͡ʃʰ
շոֆեռ	ʃɔfɛr
ոխերիմ	voχɛɾim
ոչինչ	vɔt͡ʃʰint͡ʃʰ
որոշել	vɔɾɔʃɛl
ուժեղ	uʒɛʁ
ուղեղային	uʁɛʁɑjin
ուղղական	uʁːɑkɑn
ուղղություն	uʁːutʰjun
ուսումնասիրել	usumnɑsiɾɛl
ուսումնասիրություն	usumnɑsiɾutʰjun
ուտի	uti
ուրախ	uɾɑχ
չարչարվել	t͡ʃʰɑɾt͡ʃʰɑɾvɛl
չափ	t͡ʃʰɑpʰ
չափանիշ	t͡ʃʰɑpʰɑniʃ
չափել	t͡ʃʰɑpʰɛl
չեխ	t͡ʃʰɛχ
չիլի	t͡ʃʰili
չինական	t͡ʃʰinɑkɑn
պալատ	pɑlɑt
պահապան	pɑhɑpɑn
պահպանել	pɑhpɑnɛl
պայմանագիր	pɑjmɑnɑɡiɾ
պայմանական	pɑjmɑnɑkɑn
պաշտոնական	pɑʃtɔnɑkɑn
պատահաբար	pɑtɑhɑbɑɾ
պատժում	pɑtʒum
պատիժ	pɑtiʒ
պատմություն	pɑtmutʰjun
պատվիրակություն	pɑtviɾɑkutʰjun
պարգեւել	pɑɾkʰɛvɛl
պարեն	pɑɾɛn
պարիսպ	pɑɾisp
պարսկաստան	pɑɾskɑstɑn
պարտադիր	pɑɾtɑdiɾ
պարտականություն	pɑɾtɑkɑnutʰjun
պարտավորություն	pɑɾtɑvɔɾutʰjun
պոմիդոր	pɔmidɔɾ
պուրակ	puɾɑk
ջինջ	d͡ʒind͡ʒ
ջուրը	d͡ʒuɾə
ռազմիկ	rɑzmik
ռուսաստանցի	rusɑstɑnt͡sʰi
ռուսիա	rusjɑ
ռուստամյան	rustɑmjɑn
սադրել	sɑdɾɛl
սադրիչ	sɑdɾit͡ʃʰ
սեպագիր	sɛpɑɡiɾ
սեպուհ	sɛpuh
սեպտեմբեր	sɛptɛmbɛɾ
սերբ	sɛɾb
սեւան	sɛvɑn
սեքս	sɛkʰs
սիրավեպ	siɾɑvɛp
սլավոնական	slɑvɔnɑkɑn
սխալվել	səχɑlvɛl
սկիզբ	skizb
սուխումի	suχumi
սուս	sus
սպասարկել	spɑsɑɾkɛl
ստեղծագործ	stɛχt͡sɑɡɔɾt͡s
ստենդ	stɛnd
ստեփանյան	stɛpʰɑnjɑn
վահան	vɑhɑn
վաղն	vɑʁn
վաչե	vɑtʃʰɛ
վարկ	vɑɾk
վարշավա	vɑɾʃɑvɑ
վարուժան	vɑɾuʒɑn
վերադառնալ	vɛɾɑdɑrnɑl
վերարկու	vɛɾɑɾku
վերնագրել	vɛɾnɑɡɾɛl
