a da mek	adamek
a farin	afaɹin
a hen ina iself	aheninaɪself
a konchri	akontʃɹi
a wa mek	awamek
a yaad	ajaːd
aaba	aːba
aad	aːd
aad fi	aːdfi
aad iez	aːd iez
aadiens	aːdiens
aaf	aːf
aafwe chrii	aːfwetʃɹiː
aagan	aːgan
aaganizieshan	aːganizɪɛʃan
aaganizm	aːganizm̩
aagas	aːgas
aagiment	aːgiment
aajentiina	aːdʒentiːna
aakid	aːkid
aal	aːl
aal a dem	aːladem
aal di taim	aːlditaɪm
aalmuos	aːlmuɔs
aalwiez	aːlwɪɛz
aarait	aːɹaɪt
aaredi	aːɹedi
aas	aːs
aas-riesin	aːsɹɪɛsin
aat	aːt
aata	aːta
aatagrafi	aːtagɹafi
aatiek	aːtɪɛk
aatis	aːtis
aawez	aːwez
aazwiez	aːzwɪɛz
ab	ab
abee	abeː
abraad	abɹaːd
achrakshan	atʃɹakʃan
achribyut	atʃɹibjut
ada	ada
adaels	adaels
adaels ieria	adaels ɪɛɹia
adawaiz	adawaɪz
adminischrietiv	administʃɹɪɛtiv
advokiet	advokɪɛt
afrika	afɹika
afta	afta
agen	agen
agrikolcha	agɹikoltʃa
agrikolcharal	agɹikoltʃaɹal
agyu	aɟu
agyu se	aɟuse
ahn	ã
ai	aɪ
ai skuul	aɪskuːl
aida	aɪda
aidentifai	aɪdentifaɪ
aidentifai az	aɪdentifaɪaz
aidentifai wid	aɪdentifaɪwid
aidentiti	aɪdentiti
aidie	aɪdie
aigl	aɪgl̩
aijrosfier	aɪdʒɹosfɪɛɹ
ail	aɪl
ailan	aɪlan
ailant	aɪlant
airilan	aɪɹilan
airish	aɪɹiʃ
airish pitieta	aɪɹiʃ pitɪɛta
ais	aɪs
aiskriim	aɪskɹiːm
aisoliet	aɪsolɪɛt
ait	aɪt
aiyan	aɪjan
aizak	aɪzak
ajres	adʒɹes
aki	aki
aki ahn saalfish	aki ã saːlfiʃ
akliem	aklɪɛm
aknalij	aknalidʒ
akraas	akɹaːs
aktivis	aktivis
aktuoba	aktuɔba
ala	ala
alaiv	alaɪv
alayans	alajans
alduo	alduɔ
aligeta	aligeta
aligeta pier	aligeta pɪɛɹ
aligzanda	aligzanda
aliv	aliv
amfisbiinyan	amfisbiːɲan
amtan	amtan
an	an
ana	ana
anarebl	anaɹebl̩
anda	anda
andastan	andastan
aneda	aneda
anju	andʒu
anlain	anlaɪn
anles	anles
anmigl	anmigl̩
ansa	ansa
ansofistikietid	ansofistikɪɛtid
antiiga ahn baabyuuda	antiːga ã baːbjuːda
anuova	anuova
anuova parish	anuova paɹiʃ
apaat	apaːt
apaint	apaɪnt
api	api
apier	apɪɛɹ
apl	apl̩
aplai	aplaɪ
apm	apm̩
aprishiet	apɹiʃɪɛt
apruoch	apɹuɔtʃ
apruuv	apɹuːv
ar	aɹ
ar els	aɹels
aredi	aɹedi
arinj	aɹindʒ
asaalt	asaːlt
aschranami	astʃɹanami
aschranomi	astʃɹanomi
aschrielia	astʃɹɪɛlja
askaadn	askaːdn̩
askaadn tu	askaːdn̩ tu
aspital	aspital
at	at
atlantik uoshan	atlantik uoʃan
atletix	atletiks
atmosfier	atmosfɪɛɹ
aul	aul
avielobl	avɪɛlobl̩
ax	aks
axep	aksep
axtiel	akstɪɛl
aya	aja
azwel	azwel
ba'aamaz	ba'aːmaz
baaba	baːba
baabiedoz	baːbɪɛdoz
baagin	baːgin
baal	baːl
baan	baːn
baara	baːɹa
baas	baːs
baaskitbaal	baːskitbaːl
baat	baːt
baazli	baːzli
bad	bad
bada	bada
badarieshan	badaɹɪɛʃan
badi	badi
badman	badman
bai	baɪ
baik	baɪk
bailoji	baɪlodʒi
bait	baɪt
baka bush	baka buʃ
bakbuon	bakbuɔn
bakl	bakl̩
bami	bamɪ
ban	ban
banaana	banaːna
baptis	baptis
batam	batam
batn	batn̩
baul	baul
bax	baks
baxin	baksin
baya	baya
bayagrafi	bajagɹafi
bayosfier	bajosfɪɛɹ
beg yu	beg ju
bekaa	bekaː
bel	bel
beli	beli
ben	ben
bex	beks
bie	bɪɛ
biebi	bɪɛbi
bied	bɪɛd
biefies	bɪɛfɪɛs
biej	bɪɛdʒ
biek	bɪɛk
bier	bɪɛɹ
bies	bɪɛs
bies pahn	bɪɛs pã
biesik	bɪɛsik
biesin	bɪɛsin
biev	bɪɛv
bifuo	bifuɔ
bifuor	bifuɔɹ
bifuotaim	bifuɔtaɪm
bifuotaim piipl	bifuɔtaɪm piːpl̩
bigop	bɪgop
biif	biːl
biini	biːni
bikaazn	bikaːzn̩
bil	bil
bil pahn	bilpã
bilang	bilaŋ
biyain	bijaɪn
bizniz	bizniz
blai	blaɪ
blak	blak
blak pepa	blak pepa
blak riva	blakɹiva
blingki	bliŋki
bluu	bluː
bod	bod
bokl	bokl̩
bon	bon
bongjri	boŋdʒɹi
bongx	boŋks
bot	bot
bota	bota
botn	botn̩
bou	bɔu
bout	bɔut
braad	bɹaːd
braatopsi	bɹaːtopsi
brazil	bɹazil
bred	bɹed
breda	bɹeda
bredfruut	bɹedfɹuːt
brejrin	bɹedʒɹin
briekop	bɹɪɛkop
briev	bɹɪɛv
bring tigeda	bɹiŋ tigeda
bringgl	bɹiŋgl̩
britn	bɹitn
brok	bɹok
broun	bɹɔun
bruus	bɹuːs
buk	buk
bulfraag	bulfɹaːg
buod	buɔd
buod a chostii	buɔdatʃostiː
buodn skuul	buɔdn̩ skuːl
buot	buɔt
buut	buːt
bwai	bwaɪ
bwai pikni	bwaɪ pikni
bwail	bwaɪl
byuuti	bjuːti
chaaj	tʃaːdʒ
chaaklit	tʃaːklit
chaaklit chrii	tʃaːklit tʃɹiː
chaali	tʃaːli
chaina	tʃaɪna
chais	tʃaɪs
chaka-chaka	tʃakatʃaka
chat	tʃat
cheri	tʃeɹi
ches	tʃes
chichi	tʃitʃi
chienj	tʃɪɛndʒ
chiiz	tʃiːz
chikin	tʃikin
cho	tʃo
chobl	tʃobl̩
choch	tʃotʃ
chokcha	tʃoktʃa
chos	tʃos
chostii	tʃostiː
chrabl	tʃɹabl̩
chradishan	tʃɹadiʃan
chrai	tʃɹaɪ
chrai fi	tʃɹaɪfi
chrajidi	tʃɹadʒidi
chrang	tʃɹaŋ
chranzfaam	tʃɹanzfaːm
chranzishan	tʃɹanziʃan
chranzishan piiriad	tʃɹanziʃan piːɹiad
chranznashinal	tʃɹanznaʃinal
chrap	tʃɹap
chrapik	tʃɹapik
chrapikal	tʃɹapikal
chrech	tʃɹetʃ
chrecha	tʃɹetʃa
chrent	tʃɹent
chretn	tʃɹetn̩
chried	tʃɹɪɛd
chrien	tʃɹɪɛn
chrienin	tʃɹɪɛnin
chrienja	tʃɹɪɛndʒa
chriet	tʃɹɪɛt
chrii	tʃɹiː
chriit	tʃɹiːt
chriiti	tʃɹiːti
chrik	tʃɹik
chrikifai	tʃɹikifaɪ
chrilaani	tʃɹilaːni
chrinidad ahn tubiego	tʃɹinidad ã tubɪɛgo
chrompit	tʃɹompit
chruu	tʃɹuː
chuocho	tʃuɔtʃo
chuochuo	tʃuɔtʃuɔ
chupid	tʃupid
chuu	tʃuː
chuu-chuu	tʃuːtʃuː
chuuhout	tʃuːhɔut
chuun	tʃuːn
chuut	tʃuːt
chuuz	tʃuːz
daa	daː
daag	daːg
daans	daːns
daata	daːta
dailuut	daɪluːt
dainasuor	daɪnasuɔɹ
dairek	daɪɹek
dala	dala
daminiika	daminiːka
daminikan ripoblik	daminikan ɹipoblik
danal	danal
dangki	daŋki
darati	daɹati
dash	daʃ
dash awie	daʃ awɪɛ
dashiin	daʃiːn
dat	dat
dat a chuu	datatʃuː
dat-de	datde
dayalek	dajalek
dayaspora	dajaspoɹa
dayatishan	dajatiʃan
de	de
debl	debl̩
ded	ded
definishan	definiʃan
dehn	dẽ
dehn kaali	dẽ kaːli
dekied	dekɪɛd
dem	dem
dem-de	demde
dem-ya	demja
demakrasi	demakɹasi
dep	dep
derik	deɹik
deso	deso
dezat	dezat
di	di
di grietis	digɹɪɛtis
di muos	dimuɔs
di piiplz ripoblik a chaina	di piːplz ɹipoblik a tʃaɪna
di uol a dem	diwuɔla dem
di wes indiiz	diwesindiːz
dibiet	dibɪɛt
die	dɪɛ
dieli	dɪɛli
dievid	dɪɛvid
difiit	difiːt
difikolti	difikolti
difrahn	difɹã
difrans	difɹans
digrii	digɹiː
diil	diːl
diil wid	diːl wid
diklier	diklɪɛɹ
diktieta	diktɪɛta
diktietaship	diktɪɛtaʃip
dimokratizieshan	dimokɹatizɪɛʃan
dipaacha	dipaːtʃa
dipen	dipen
dipen pan	dipen pan
dis	dis
dis-ya	disja
disaid	disaɪd
disaya	disaja
dischribyuushan	distʃɹibjuːʃan
disemba	disemba
disendant	disendant
disepshos	dɪsepʃos
disgostid	disgostid
diskovri bie	diskovɹibɪɛ
distingshan	distiŋʃan
ditiel	ditɪɛl
divaid	divaɪd
dizain	dizaɪn
dizain fi	dizaɪnfi
dizort	dizoɹt
domestikieshan	domestikɪɛʃan
domplin	domplin
dong	doŋ
dopi	dopɪ
dos	dos
doti	doti
doti op	dotiop
dout	dɔut
drop a grong	dɹopagɹoŋ
dukunu	dukunu
duo	duɔ
duohn	duõ
duor	duɔɹ
dwiit	dwiːt
dyuu	djuː
ebi	ebi
ebi die	ebi dɪɛ
ebn	ebn̩
ebri	ebɹi
ebribadi	ebɹibadi
ebriting	ebɹitiŋ
ed a stiet	edastɪɛt
edikieshan	edikɪɛʃan
edita	edita
edwad	edwad
ef	ef
egvaantij	egvaːntidʒ
egzakli	egzakli
egzamin	egzamin
egzampl	egzampl̩
egzis	egzis
eliat	eliat
eliment	eliment
elivieta	elivɪɛta
elp	elp
elswe	elswe
en	en
enaji	enadʒi
eni	eni
enibadi	enibadi
eniebl	enɪɛbl̩
enitaim	enɪtaɪm
eniwiez	eniwɪɛz
entapraiz	entapɹaɪz
eritij	eɹitidʒ
esn	esn̩
evidens	evidens
evri	evɹi
exchienj	ekstʃɪɛndʒ
exchriim	ekstʃɹiːm
exepshan	eksepʃan
exkiep	ekskɪɛp
exkluudn	ekskluːdn̩
expanshan	ekspanʃan
expiriens	ekspiɹɪɛns
expuot	ekspuɔt
extablish	ekstabli
extingk	ekstiŋk
faada	faːda
faal	faːl
faal dong	faːl doŋ
faal ina lob	faːl ina lob
faam	faːm
faama	faːma
faamat	faːmat
faar	faːɹ
faas	faːs
faatifikieshan	faːtifikɪɛʃan
fagivnis	fagivnis
faib	faɪb
fain	faɪn
fainal	faɪnal
faiya	faɪja
faiya bon	faɪja bon
faiyaman	faɪjaman
fak	fak
fala	fala
falara	falaɹa
falarin	falaɹin
falmot	falmot
fambli	fambli
farin	faɹin
farina	faɹina
fasilitiet	fasilitɪɛt
faya	faja
febiweri	febiweɹi
feda	feda
feminis	feminis
feminizim	feminizim
fene	fene
fens	fens
fi	fi
fi chuu	fitʃuː
fi mi	fimi
fi paapos	fipaːpos
fi touzn a ier	fitɔuzn̩ a ɪɛɹ
fiemos	fɪɛmos
fies	fɪɛs
fiesti	fɪɛsti
fiet	fɪɛt
fieva	fieva
fif	fif
fiftiin	fiftiːn
figa	figa
figat	figat
fiicha	fiːtʃa
fiil	fiːl
fiimiel	fiːmɪɛl
fiiva	fiːva
fikshan	fikʃan
filasafi	filasafi
filipiinz	filipiːnz
finaminan	finaminan
finanshal	finanʃal
fingga	fiŋga
fingga-hed	fiŋgahed
fiziolaji	fizioladʒi
fizishan	fiziʃan
fizix	fiziks
flai	flaɪ
flieva	flɪɛva
flim	flim
flod	flod
flowa	flowa
fluor	fluɔɹ
fongkshan	foŋkʃan
foris	foɹis
form	foɹm
fos	fos
foul	foul
fraag	fɹaːg
frahn	fɹã
frai	fɹaɪ
frai domplin	fɹaɪ domplin
frai plaan	fɹaɪ plaːn
fraitn	fɹaɪtn̩
frans	fɹans
frenship	fɹenʃip
fruut	fɹuːt
fruut juus	fɹuːt dʒuːs
fufu	fufu
ful	ful
fuo	fuɔ
fuokos	fuɔkos
fuos	fuɔs
fuot	fuɔt
fuotiin	fuɔtiːn
fut	fut
futbaal	futbaːl
fuud	fuːd
fyuil	fjuil
fyuu	fjuː
galang	galaŋ
gens	gens
get apaint	get apaɪnt
get bex	get beks
get hextingk	get hekstiŋk
gien	gɪɛn
giet	gɪɛt
ginep	ginep
gluobal	gluɔbal
go a farin	goafaɹin
gobna	gobna
gobna-jinaral	gobnadʒinaɹal
goli	golɪ
golibl	golibl̩
gon	gon
govament	govament
graasapa	gɹaːsapa
grampierans	gɹampɪɛɹans
griep	gɹɪɛp
griet	gɹɪɛt
grietis	gɹɪɛtis
grii	gɹiː
grii pahn	gɹiːpã
grii se	gɹiːse
griin	gɹiːn
griis	gɹiːs
grinieda	gɹinɪɛda
grong	gɹoŋ
gruo	gɹuɔ
gruot	gɹuɔt
gud	gud
gudz	gudz
gunggu	guŋgu
gunggu piiz	guŋgu piːz
guol	guɔl
guot	guɔt
guzu	guzu
gwaava	gwaːva
gwan	gwan
gyaad	ɟaːd
gyaadn	ɟaːdn̩
gyaalik	ɟaːlik
gyada	ɟada
gyadarin	ɟadaɹin
gyal	ɟal
gyal pikni	ɟal pikni
gyas	ɟas
haakiek	haːkɪɛk
haalzwie	haːlzwɪɛ
haatagrafi	haːtagɹafi
haatikl	haːtikl̩
haatis	haːtis
habrij	habɹidʒ
habvios	habvios
hada	hada
hadap	hadap
hadvenchara	hadventʃaɹa
hafi	hafi
haid	haɪd
hairish	haɪɹiʃ
hairish pitieta	haɪɹiʃ pitɪɛta
hambrela	hambɹela
hanalisis	hanalisis
hanimal	hanimal
harijin	haɹidʒin
hat	hat
hatityuud	hatitjuːd
haxent	haksent
haxesobl	haksesobl̩
haxpek	hakspek
hayan	hajan
hayan-mekin	hajanmekin
haz	haz
hebini	hebini
hebm	hebm̩
hedituoryal	hedituɔɹjal
heg	heg
hels	hels
hen	hen
hen a	hena
heni	heni
heni a	henia
heni a di abov	henia diabov
heniting	henitiŋ
heniting hels	henitiŋ hels
hexpand	hekspand
hexplien	heksplɪɛn
hexpreshan	hekspɹeʃan
hexten	heksten
hextingk	hekstiŋk
hidyam	hidjam
hieja	hɪɛdʒa
hiem	hɪɛm
hiet	hɪɛt
hietiin	hɪɛtiːn
hifek	hifek
higla	higla
hiit	hiːt
hiiz	hiːz
hilekchranik	hilektʃɹanik
hilekchranik komiunikieshan	hilektʃɹanik komjunikɪɛʃan
himpres	himpɹes
hinchradokshan	hintʃɹadokʃan
hinchrajuus	hintʃɹadʒuːs
hinchres	hintʃɹes
hinfluens	hinfluens
hingglish	hiŋgliʃ
hinishal	hiniʃal
hinkluudn	hinkluːdn̩
hintanashinal	hintanaʃinal
hintanashinal chrabl	hintanaʃinal tʃɹabl̩
hofishal	hofiʃal
hofishal langwij	hofiʃal laŋwidʒ
honggl	hoŋgl̩
honggri	hoŋgɹi
honyan	hoɲan
hopin-en	hopinen
horbanizieshan	hoɹbanizɪɛʃan
hori	hoɹi
hori op	hoɹi op
horli	hoɹli
howa	howa
hox	hoks
huobaluk	huɔbaluk
huol	huɔl
huol-taima	huɔltaɪma
huoliip	huɔliːp
huoral	huɔɹal
huoral langwij	huɔɹal laŋwidʒ
huovn	huɔvn̩
ie	ɪɛ
iebl	ɪɛbl̩
ieda	ɪɛda
iej	ɪɛdʒ̩
iejobl	ɪɛdʒobl̩
iel	ɪɛl
iemi	ɪɛmi
ienshent	ɪɛnʃent
iepril	ɪɛpɹil
ier	ɪɛɹ
ieria	ɪɛɹia
ies	ɪɛs
iet	ɪɛt
ieti	ɪɛti
ietiin	ɪɛtiːn
iez	iez
iezha	ɪɛʒa
ifainali	ifaɪnali
ifek	ifek
igwaana	igwaːna
ihn	ĩ
iibm	iːbm̩
iibn	iːbn̩
iihn	ĩː
iijip	iːdʒip
iikwal	iːkwal
iip	iːp
iir	iːɹ
iis	iːs
iistan	iːstan
iit	iːt
iit aaf	iːtaːf
iivn	iːvn̩
iivnin	iːvnin
ikanami	ikanami
ikanamik	ikanamik
ikanamix	ikanamiks
ilek	ilek
iloschrieshan	ilostʃɹɪɛʃan
im	im
impak	impak
impruuv	impɹuːv
impuotant	impuɔtant
imuoshan	imuɔʃan
in fak	infak
ina	ina
ina di faam a	inadi faːma
ina di wol	inadi wol
inaamos	inaːmos
inabit	inhabit
indipendans	indipendans
indischroktebl	indistʃɹoktebl̩
indoschri	indostʃɹi
indoschrial	indostʃɹial
indoschrializieshan	indostʃɹializɪɛʃan
infamieshan	infamɪɛʃan
influens	influens
inggiej	iŋgɪɛdʒ
ingglan	iŋglan
ingkluudn	iŋkluːdn̩
ingkorij	iŋkoɹidʒ
iniebl	inɪɛbl̩
injai	indʒaɪ
injinierin	indʒinɪɛɹin
inkluud	inkluːd
inkriis	inkɹiːs
inruol	inɹuɔl
insaiklopiidya	insaɪklopiːdja
inspaya	inspaya
intaikl	intaɪkl̩
intanashinal	intanaʃinal
intanet	intanet
intatiena	intatɪɛna
invalv	invalv
inviejan	invɪɛdʒan
ischri	istʃɹi
ishu	iʃhu
istuorian	istuɔɹian
it	it
itali	itali
