ও	oː
এই	ˌei
এর	ˌeɾ
এ	e
এক	ˈek
পর	pˈɔɾ
একজন	ækɟˈɔn
বছর	bˈɔt͡ʃʰɔɾ
হল	hˈɔl
উপর	ˌupɔɾ
জন	ɟˈɔn
আর	ˌaɾ
তখন	tˈɔkʰɔn
একই	ˈekɔˌi
যখন	d͡ʒˈɔkʰɔn
আরও	ˈaɾɔˌoː
দল	dˈɔl
এরপর	ˈeɾɔpˌɔɾ
হন	hˈɔn
মত	mˈɔto
এমন	ˈemɔn
সকল	ʃˈɔkɔl
অফ	ˈɔf
সহ	ʃˈɔho
কম	kˈɔm
অব	ˈɔb
ঐ	ˈoj
শহর	ʃˈɔhɔɾ
সব	ʃˈɔb
গঠন	ɡˈɔʈʰɔn
আইন	ˈain
এখন	ˈekʰɔn
ওপর	ˈoːpɔɾ
দখল	dˈɔkʰɔl
বই	bˈoi
একক	ˈekɔk
সদর	ʃˈɔdɔɾ
র	ɾˈɔ
কখনও	kˈɔkʰɔnˌɔoː
এম	ˈem
হত	hˈɔto
সফল	ʃˈɔfɔl
আল	ˈal
বল	bˈɔl
অবসর	ˈɔbɔʃˌɔɾ
এখনও	ˈekʰɔnˌɔoː
পথ	pˈɔtʰ
আরব	ˈaɾɔb
ভবন	bʰˈɔbɔn
উৎস	ˈutʃɔ
এসব	ˈeʃɔb
ওই	ˈoːi
জল	ɟˈɔl
of	(͡e͡n)ɒv(͡b͡n)
আসন	ˈaʃɔn
বহন	bˈɔhɔn
আহত	ˈahɔtˌo
রঙ	ɾˈɔŋ
এস	ˈeʃ
দশ	dˈɔʃ
পদক	pˈɔdɔk
পদ	pˈɔd
অপর	ˈɔpɔɾ
ই	hɾˌɔʃʃoˈi
ইন	ˈin
একর	ˈekɔɾ
তম	tˈɔm
দশক	dˈɔʃɔk
ফল	fˈɔl
ঘন	ɡʰˈɔn
ফর	fˈɔɾ
উৎসব	ˈutʃɔb
গমন	ɡˈɔmɔn
আট	ˈaʈ
রকম	ɾˈokɔm
করত	kˈɔɾɔtˌo
নগর	nˈɔɡɔɾ
আজ	ˈaɟ
হক	hˈɔk
আই	ˈai
সহজ	ʃˈɔhɔɟ
খরচ	kʰˈɔɾɔt͡ʃ
খবর	kʰˈɔbɔɾ
আচরণ	ˈat͡ʃɔɾˌɔn
তরল	tˈɔɾɔl
এল	ˈel
সফর	ʃˈɔfɔɾ
ঘর	ɡʰˈɔɾ
ওজন	ˈoːɟɔn
আসল	ˈaʃɔl
and	(͡e͡n)and(͡b͡n)
কর	kˈɔɾ
আগ	ˈaɡ
The	(͡e͡n)ðə(͡b͡n)
আউট	ˈauʈ
এরকম	ˈeɾɔkˌɔm
বন	bˈɔn
ভর	bʰˈɔɾ
the	(͡e͡n)ðə(͡b͡n)
টন	ʈˈɔn
শত	ʃˈɔto
আহমদ	ˈahɔmˌɔd
আদম	ˈadɔm
গত	ɡˈɔto
পতন	pˈɔtɔn
মন	mˈɔn
দশম	dˈɔʃɔm
জনগণ	ɟˈɔnɔɡˌɔn
গরম	ɡˈɔɾɔm
