тата	tˈata
кĕрет	k (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r jˈɛ t
юхса	jˈʊxsa
юханшыв	juxˈanʃɯv
территоринчи	tˌɛrritoɾˈɪnt͡ʃɪ
Юханшыв	juxˈanʃɯv
те	tˈɛ
км	km
та	tˈa
Раççей	r ˈa (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ(͡c͡v) jˈɛ j
юханшывăн	jˈʊ x ˈa n ʃ ˈɯ v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
вăрринчен	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) r r ˈɪ n t͡ʃ jˈæ n
пулнă	p ˈʊ l n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çыранĕпе	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ r ˈa n (͡e͡n)ˌiːbɹˈiːv(͡c͡v) p jˈɛ
юханшыва	jˌuxanʃˈɯva
вăл	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) l
сулахай	sulˈaxaj
пулса	pˈʊlsa
сылтăм	s ˈɯ l t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) m
кочĕ	k ˈɔ t͡ʃ (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
индексĕ	ˈɪ n d jˈɛ k s (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
Почтă	p ˈɔ t͡ʃ t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
ОКАТО	okˈatɔ
çын	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɯ n
пур	pˈʊr
вырнаçнă	v ˈɯ r n ˈa (͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
пулать	pˈulat
илнĕ	ˈɪ l n (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
лаптăкĕ	l ˈa p t (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) k (͡e͡n)ˌiːbɹˈiːv(͡c͡v)
е	jˈɛ
мар	mˈar
ăна	(͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n ˈa
чи	t͡ʃˈɪ
пĕр	p (͡e͡n)ˌiːbɹˈiːv(͡c͡v) r
çул	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l
Германи	ɡɛrmˈanɪ
вара	vˈaɾa
вăхăтра	v (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) x (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) t r ˈa
Чăваш	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ
усă	ˈʊ s (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
çулта	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈʊ l t ˈa
ял	jˈal
чухне	t͡ʃˈʊxnɛ
хыççăн	x ˈɯ (͡e͡n)sˌiːsədˈɪlɐ sˌiːsədˈɪlɐ ˌe͡ɪbɹˈiːv(͡c͡v) n
паллă	p ˈa l l (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v)
унăн	ˈʊ n (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) n
км²	km (͡e͡n)tˈuː(͡c͡v)
çине	(͡e͡n)sˌiːsədˈɪlɐ(͡c͡v) ˈɪ n jˈɛ
пек	pˈɛk
пин	pˈɪn
чăваш	t͡ʃ (͡e͡n)ˌe͡ɪbɹˈiːv(͡c͡v) v ˈa ʃ
тесе	tˈɛsɛ
Совет	sˈovɛt
