ഈ	ˈiː
അവർ	ˈɐvəɾ
ആ	ˈaː
പല	pˈɐlɐ
ൽ	ˈil
ഇവ	ˈivɐ
അവ	ˈɐvɐ
ഇവർ	ˈivəɾ
ദ	dˈɐ
പഴയ	pˈɐr.əjɐ
ആയ	ˈaːjɐ
കഥ	kˈɐtʰɐ
എ	ʲˈe
അവൾ	ˈɐvəɭ
of	(͡e͡n)ɒv(͡m͡l)
തവണ	tˈɐvəɳɐ
ജനറൽ	ɟˈɐnərəl
എൻ	ʲˈen
എൽ	ʲˈel
ഏക	ʲˈeːɡɐ
ആർ	ˈaːɾ
അൽ	ˈɐl
മകൻ	mˈɐɡən
ഐ	ˈa͡ɪ
ഇൻ	ˈin
വൻ	vˈɐn
and	(͡e͡n)and(͡m͡l)
മഴ	mˈɐr.ɐ
ഇലകൾ	ˈiləɡəɭ
The	(͡e͡n)ðə(͡m͡l)
കഥകൾ	kˈɐtʰəɡəɭ
സഭ	sˈɐbʰɐ
അവൻ	ˈɐvən
കടൽ	kˈɐɖəl
മകൾ	mˈɐɡəɭ
രചന	ɾˈɐcənɐ
the	(͡e͡n)ðə(͡m͡l)
സർ	sˈɐɾ
ഇ	ˈi
ഭരണ	bʰˈɐɾəɳɐ
ഇളയ	ˈiɭəjɐ
എയർ	ʲˈejəɾ
രചനകൾ	ɾˈɐcənˌɐɡəɭ
മത	mˈɐdɐ
ഘടന	ɡʰˈɐɖənɐ
ഉടൻ	ˈuɖən
ഹയർ	hˈɐjəɾ
ഇതര	ˈidəɾɐ
തല	tˈɐlɐ
ആൺ	ˈaːɳ
ജർമൻ	ɟˈɐɾmən
ജനത	ɟˈɐnədɐ
പവർ	pˈɐvəɾ
നഗർ	nˈɐɡəɾ
ഗവർണർ	ɡˈɐvəɾɳəɾ
പഠന	pˈɐʈʰənɐ
ആൾ	ˈaːɭ
ഓൺ	ˈoːɳ
ആൻ	ˈaːn
ഫയൽ	pʰˈɐjəl
ടൺ	ʈˈɐɳ
A	ˈeːj
കല	kˈɐlɐ
നഗര	nˈɐɡəɾɐ
ഭരണഘടന	bʰˈɐɾəɳˌɐɡʰəɖˌɐnɐ
II	(͡e͡n)ɹˌə͡ʊmən tˈuː(͡m͡l)
ഇല	ˈilɐ
മണൽ	mˈɐɳəl
സഹകരണ	sˈɐhəɡˌɐɾəɳɐ
ഓൾ	ˈoːɭ
C	sˈiː
നടൻ	nˈɐɖən
ജല	ɟˈɐlɐ
in	(͡e͡n)ˈɪn(͡m͡l)
ഗവ	ɡˈɐvɐ
വൺ	vˈɐɳ
സമര	sˈɐməɾɐ
പകൽ	pˈɐɡəl
സമയ	sˈɐməjɐ
കർഷക	kˈɐɾʂəɡɐ
ആന	ˈaːnɐ
I	ˈaːj
a	ˈeːj
അര	ˈɐɾɐ
സഹ	sˈɐhɐ
വക	vˈɐɡɐ
റ	rˈɐ
ഓർഡർ	ˈoːɾɖəɾ
പലതവണ	pˈɐlədˌɐvəɳɐ
മദർ	mˈɐdəɾ
ഉമർ	ˈuməɾ
തലവൻ	tˈɐləvən
ഔഷധ	ˈa͡ʊʂədʰɐ
കര	kˈɐɾɐ
കർഷകർ	kˈɐɾʂəɡəɾ
ആനകൾ	ˈaːnəɡəɭ
ഓ	ˈoː
സൺ	sˈɐɳ
ആർതർ	ˈaːɾdəɾ
ഒ	ˈo
കരൾ	kˈɐɾəɭ
മല	mˈɐlɐ
