र	ɾə
छ	cʰˈə
तर	tˈaɾə
यस	jˈʌs
एक	ˈeːkə
सय	sˈʌjə
भए	bʰˈʌeː
दशमलव	dˈʌʃəmˌələwˌə
म	mə
भई	bʰˈʌi
त	tˈə
रकम	ɾˈʌkəmˌə
घर	ɡʰˈʌɾə
हक	hˈʌkə
कम	kˈʌmə
समय	sˈʌməjˌə
गत	ɡˈʌt
बदर	bˈʌdəɾˌə
थप	tʰˈʌp
ऐन	ˈʌ͡ɪn
अब	ʌbˈə
आज	aːɟˈəː
कर	kˈʌɾə
भएर	bʰəˈeːɾə
सडक	sˈʌɖəkˌə
सफल	sˈʌpʰəl
ऋण	ɾˈɪɳ
उपर	ˈʊpəɾˌə
छलफल	cʰˈʌləpʰˌəl
सदर	sˈʌdəɾˌə
पटक	pˈʌʈəkˌə
नभई	nˈʌbʰəˌiː
असर	ˈʌsəɾˌə
गठन	ɡˈʌʈʰən
फरक	pʰˈʌɾəkˌə
अझ	ˈʌɟʰ
अफ	ˈʌpʰ
मन	mˈʌn
सहज	sˈʌhəɟ
आउन	ˈaːʊn
वन	bˈanˈə
डलर	ɖˈʌləɾˌə
बहस	bˈʌhəs
अवसर	ˈʌwəsˌəɾə
ठहर	ʈʰˈʌhəɾˌə
लगत	lˈʌɡət
भवन	bʰˈʌwən
भएन	bʰˈʌjˈenə
अस	ˈʌs
दल	dˈʌl
चलन	cˈʌlən
गलत	ɡˈʌlət
नगद	nˈʌɡəd
पहल	pˈʌhəl
न	nˈə
आई	ˈaːi
गई	ɡˈʌi
वदर	wˈʌdəɾˌə
दर	dˈʌɾə
नभए	nˈʌbʰəˌeː
आय	ˈaːjə
गएर	ɡəˈeːɾə
बचत	bˈʌcət
आएर	aːˈeːɾə
मत	mˈʌt
पद	pˈʌd
तलब	tˈʌləb
रहन	ɾˈʌhən
सहमत	sˈʌhəmˌət
आठ	ˈaːʈʰ
आए	ˈaːeː
तय	tˈʌjə
of	(͡e͡n)ɒv(͡n͡e)
नगर	nˈʌɡəɾˌə
छन	cʰˈʌn
ऊ	ˈʊ
रन	ɾˈʌn
क	kˈə
टन	ʈˈʌn
बल	bˈʌl
बस	bˈʌs
खपत	kʰˈʌpət
अलग	ˈʌləɡ
आम	ˈaːmə
औसत	ˈʌ͡ʊsət
जब	ɟˈʌb
आव	ˈaːwə
एकपटक	ˈeːkəpˌəʈəkˌə
तल	tˈʌl
तह	tˈʌhə
नभएर	nˌəbʰəˈeːɾə
आयकर	ˈaːjəkˌəɾə
ख	kʰˈə
पसल	pˈʌsəl
असफल	ˈʌsəpʰˌəl
चयन	cˈʌjən
ग	ɡˈə
खबर	kʰˈʌbəɾˌə
गए	ɡˈʌeː
मल	mˈʌl
आयल	ˈaːjəl
लगभग	lˈʌɡəbʰˌəɡ
कदम	kˈʌdəmˌə
आएन	aːˈeːnə
बखत	bˈʌkʰət
News	(͡e͡n)njˈuːz(͡n͡e)
एकल	ˈeːkəl
the	(͡e͡n)ðə(͡n͡e)
यसपटक	jˈʌsəpˌəʈəkˌə
सरह	sˈʌɾəhˌə
Media	(͡e͡n)mˈiːdiːə(͡n͡e)
उपकरण	ˈʊpəkˌəɾəɳ
पटकपटक	pˈʌʈəkˌəpəʈˌəkə
ए	ˈeː
On	(͡e͡n)ˈɒn(͡n͡e)
GorkhapatraSherpa	(͡e͡n)ɡˌɔːkhɐpˈɑːtɹə ʃˈɜːpə(͡n͡e)
Nayanepal	(͡e͡n)nˈe͡ɪe͡ɪnpə͡l(͡n͡e)
April	(͡e͡n)ˈe͡ɪpɹə͡l(͡n͡e)
डर	ɖˈʌɾə
मगर	mˈʌɡəɾˌə
सरल	sˈʌɾəl
वहस	wˈʌhəs
द	dˈə
ABC	(͡e͡n)ˌe͡ɪbˌiːsˈiː(͡n͡e)
Article	(͡e͡n)ˈɑːtɪkə͡l(͡n͡e)
Television	(͡e͡n)tˈɛlɪvˌɪʒən(͡n͡e)
एस	ˈeːs
अचल	ˈʌcəl
More	(͡e͡n)mˈɔː(͡n͡e)
दश	dˈʌʃ
असल	ˈʌsəl
जफत	ɟˈʌpʰət
रगत	ɾˈʌɡət
शहर	ʃˈʌhəɾˌə
एयर	ˈeːjəɾˌə
बम	bˈʌmə
भर	bʰˈʌɾə
हल	hˈʌl
week	(͡e͡n)wˈiːk(͡n͡e)
अपहरण	ˈʌpəhˌəɾəɳ
शव	ʃˈʌwə
FM	(͡e͡n)ˌɛfˈɛm(͡n͡e)
MHzListener	(͡e͡n)ˈɛm ˌe͡ɪt͡ʃzˈɛd lˈɪsənə(͡n͡e)
कमल	kˈʌməl
VideoTuesday	(͡e͡n)vˈɪdɪə͡ʊ tjˈuːzde͡ɪ(͡n͡e)
चरम	cˈʌɾəmˌə
कप	kˈʌp
औषध	ˈʌ͡ʊʂədʰ
दशक	dˈʌʃəkˌə
ऐ	ˈʌ͡ɪ
and	(͡e͡n)and(͡n͡e)
धन	dʰˈʌn
जनरल	ɟˈʌnəɾˌəl
Sherpa	(͡e͡n)ʃˈɜːpə(͡n͡e)
गर	ɡˈʌɾə
अव	ˈʌwə
मदन	mˈʌdən
आरएसआई	ˌaːɾəˌeːsəˈaːi
पर	pˈaɾə
उ	ˈʊ
सबल	sˈʌbəl
कथन	kˈʌtʰən
ओभर	ˈoːbʰəɾˌə
इन	ˈɪn
फर	pʰˈʌɾə
ठहई	ʈʰˈʌhəˌiː
पदक	pˈʌdəkˌə
आउट	ˈaːʊʈ
सहर	sˈʌhəɾˌə
on	(͡e͡n)ˈɒn(͡n͡e)
दस	dˈʌs
प	pˈə
to	(͡e͡n)tuː(͡n͡e)
एम	ˈeːmə
by	(͡e͡n)bˈa͡ɪ(͡n͡e)
