ଓ	ˈo
ଏକ	ˈekɔ
ସହ	sˈɔh
ନ	dˈontenˌɔ
ଔଷଧ	ˈowsɔdʰˌɔ
ସନ	sˈɔnɔ
ସମୟ	sˈɔmɔj
ର	ɾˈɔ
ଏ	ˈe
ଆଉ	ˈau
ଉଭୟ	ˈubʰɔj
ଦଳ	dˈɔl̩ˌɔː
ଭଲ	bʰˈɔlɔ
ଜଳ	ɟˈɔl̩ˌɔː
ଦଳର	dˌɔl̩ˈɔːɾɔ
କମ	kˈɔmɔ
ସହର	sˈɔhɔɾˌɔ
ଥର	tʰˈɔɾɔ
ଜଣ	ɟˈɔnɔ
of	(͡e͡n)ɒv(͡o͡r)
ଗଠନ	ɡˈɔʈʰɔnˌɔ
ଗଛ	ɡˈɔt͡ʃʰɔ
ବୟସ	bˈɔjɔs
ଅଫ	ˈɔpʰɔ
ସଫଳ	sˈɔpʰɔl̩ˌɔː
ଘର	ɡˈɔɾɔ
ମତ	mˈɔtɔ
ସହରର	sˈɔhɔɾˌɔɾɔ
ମଇ	mˈɔi
ଫଳ	pʰˈɔl̩ˌɔː
ଆଇନ	ˈainˌɔ
ରଥ	ɾˈɔtʰɔ
ବଡ	bˈɔɖɔ
ତରଳ	ʈˈɔɾɔl̩ˌɔː
ପଥର	pˈɔtʰɔɾˌɔ
ସମୟର	sˈɔmɔjˌɔɾɔ
କଟକ	kˈɔʈkɔ
ପଦକ	pˈɔdɔkˌɔ
ଉପର	ˈupɔɾˌɔ
ଓଜନ	ˈoɟɔnˌɔ
ଅବସର	ɔbˈɔsɾɔ
ଧରଣର	dʰˈɔɾɔnˌɔɾɔ
the	(͡e͡n)ðə(͡o͡r)
ଜନ	ɟˈɔnɔ
ଗରମ	ɡˈɔɾɔmˌɔ
ଆମ	ˈamɔ
ଦ	dˈɔ
ଗଛର	ɡˈɔt͡ʃʰɔɾˌɔ
ତଳ	ʈˈɔl̩ˌɔː
ବରଣ	bˈɔɾɔnˌɔ
ମଠ	mˈɔʈʰɔ
blood	(͡e͡n)blˈʌd(͡o͡r)
କର	kˈɔɾɔ
ମନ	mˈɔnɔ
ଚରଣ	t͡ʃˈɔɾɔnˌɔ
and	(͡e͡n)and(͡o͡r)
ଏଇ	ˈei
ପଥ	pˈɔtʰɔ
ପର	pˈɔɾɔ
ଖବର	kʰˈɔbɔɾˌɔ
ଆଇ	ˈai
ଔଷଧର	ˈowsɔdʰˌɔɾɔ
ତ	ʈˈɔ
ବଳ	bˈɔl̩ˌɔː
ସରଳ	sˈɔɾɔl̩ˌɔː
The	(͡e͡n)ðə(͡o͡r)
ବହନ	bˈɔhɔnˌɔ
ବର	bˈɔɾɔ
ଜୟ	ɟˈɔj
ଆୟ	ˈaj
ନଗର	nˈɔɡɔɾˌɔ
ଦଶ	dˈɔsɔ
ଉପକରଣ	ˈupɔkˌɔɾɔnˌɔ
ଉପଶମ	ˈupɔsˌɔmɔ
ଜଗତର	ɟˈɔɡɔtˌɔɾɔ
ସଦର	sˈɔdɔɾˌɔ
ପଦ	pˈɔdɔ
ବୟସର	bɔjˈɔsɾɔ
disease	(͡e͡n)dɪzˈiːz(͡o͡r)
ସହଜ	sˈɔhɔɟ
ଚୟନ	t͡ʃˈɔjɔnˌɔ
ଛଅ	t͡ʃʰˈɔɔ
ଆମର	ˈamɔɾˌɔ
a	(͡e͡n)ˈe͡ɪ(͡o͡r)
in	(͡e͡n)ˈɪn(͡o͡r)
କଟକର	kˈɔʈkɔɾˌɔ
ଘରର	ɡˈɔɾɔɾˌɔ
ରନ	ɾˈɔnɔ
ଆସନ	ˈasɔnˌɔ
ଶହ	sˈɔh
ଆରବ	ˈaɾɔbˌɔ
ଭୟ	bʰˈɔj
ରସ	ɾˈɔs
ବନ	bˈɔnɔ
ସମତଳ	sˈɔmɔtˌɔl̩ˌɔː
ଦଶମ	dˈɔsɔmˌɔ
ପବନ	pˈɔbɔnˌɔ
medication	(͡e͡n)mˌɛdɪkˈe͡ɪʃən(͡o͡r)
ଅଇ	ˈɔi
ଗତ	ɡˈɔtɔ
ବଧ	bˈɔdʰɔ
ଭଜନ	bʰˈɔɟnɔ
ଆର	ˈaɾɔ
ଏକକ	ˈekɔkˌɔ
ସମ	sˈɔmɔ
ଇ	hɾˌɔʃʃoˈi
ଏକର	ˈekɔɾˌɔ
ରଥର	ɾˈɔtʰɔɾˌɔ
